spec,weighting,target,n_games,n_features,r2_in,rmse_in,mae_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,beta_logn,beta_logn_fold_sd,beta_weight,beta_weight_fold_sd,beta_year,corr_resid_logn,corr_cvresid_logn,spearman_resid_logn,max_abs_bandmean_resid,max_abs_band6mean_resid
Q0,ols,adj,14698,3,0.24171857164237986,0.7373469697522642,0.5640237722572337,0.24117133761104861,0.008217247679261743,0.7374085280022339,0.011447700290758691,0.47759543476092725,0.0046239201560215925,,,0.024449601733772166,-4.1167891851974606e-16,-6.292225147304766e-05,-0.0012875622590726372,0.04423720547675416,0.03325044384825396
Q0,wls_n,adj,14698,3,0.231551453066564,0.7422737236873426,0.5675555051036757,0.2307212516917226,0.011745711866156531,0.7424481145984012,0.011568097276700294,0.45140041184005786,0.006654401738528512,,,0.03113926504694908,0.013044729011016422,0.01315969347529013,0.012831447883095065,0.053148104485584394,0.053148104485584394
Q1,ols,adj,14698,4,0.5221261605011386,0.5853468940042535,0.4431839206410559,0.5217379830787884,0.003331946140934606,0.5854754746704756,0.01152673796325244,0.3637085479712719,0.004475726132538633,0.568192980322452,0.002192039683289341,0.024096658210255476,-8.475133267657659e-16,-2.6821526740367364e-05,-0.022693915445228235,0.03094492555834846,0.015321343798724312
Q1,wls_n,adj,14698,4,0.5092970906998757,0.593152010062165,0.446600291462345,0.5084638816404492,0.0035453159654287923,0.5935355626208441,0.011244762830005575,0.3781636101686361,0.005747710137559835,0.45086749360619865,0.0027594913547843514,0.026053424959963226,0.0061952574748416365,0.006318694280027876,-0.015383979290961752,0.028218427729273174,0.028218427729273174
Q2,ols,adj,14698,9,0.5321630002085621,0.5791672193356666,0.43617627467342135,0.5310693465769424,0.0026741148461382155,0.5797044662654619,0.009571458736120234,0.36446067338678345,0.004479006758891813,0.4849827142163788,0.007877331188213444,0.02515659597340936,-3.240017066875217e-15,-2.0541649129983505e-05,-0.020356920075003962,0.07059758632950988,0.018455670762717657
Q2,wls_n,adj,14698,9,0.5160965350609352,0.5890281574489037,0.44315376526043143,0.5147318529375198,0.0024069903604507156,0.589733792774094,0.010676595021335179,0.3888254429270103,0.01179259098335007,0.4247056572155744,0.007444987595345984,0.025688226250023566,0.004091557119574766,0.003993867805986088,-0.017236699414526623,0.025504225419117614,0.025504225419117614
Q3,ols,adj,14698,36,0.5610723063909644,0.5609874963623417,0.42011663006024585,0.5581643169343916,0.0034425413829477537,0.5627021349428688,0.009189462710415677,0.3936046841317367,0.0029480126868198604,0.47637791802564283,0.008059927981564114,0.027047208998810017,-3.2040375015872733e-15,6.0276020487645235e-05,-0.015756994984591238,0.07895515168068305,0.020337123563623632
Q3,wls_n,adj,14698,36,0.5411568488297887,0.5735731550982079,0.42857069079588367,0.5382095686584843,0.0016779626650825304,0.5752861234401576,0.010052192419062665,0.40349861648644036,0.01036322883922496,0.4140925307340814,0.006811477649869362,0.026211668479243496,0.007594922515421688,0.00767158208803298,-0.015569996443577303,0.028957652704763772,0.028957652704763772
Q3,gls_eff,adj,14698,36,0.5610721652391311,0.5609875865644506,0.4201105537298056,0.5581668445945591,0.00342743784756148,0.5627006502908473,0.00919268009413919,0.3937476479353876,0.0029472415212949145,0.4761591519720716,0.008035672000726956,0.02704898755627113,-7.037515672850507e-05,-1.2168924836855513e-05,-0.015857930749430198,0.07888854501085875,0.0202906673215675
Q3b,ols,adj,14698,45,0.6018630047487675,0.5342849701216574,0.39731913184915624,0.5987036895626533,0.006133217265099806,0.5362096033519376,0.0063831332252191186,,,0.47289130275809615,0.008140769674378172,,0.012538845962038898,0.012378262704915675,0.0020978190614529867,6.4646194999383715e-12,0.02645586456530546
Q3b,wls_n,adj,14698,45,0.5789723166443819,0.5494295536304246,0.4072176601328328,0.5758665360251741,0.004343429599763668,0.5512783811536719,0.006955597707650569,,,0.41441259387560647,0.005359560267289369,,0.008216235286110008,0.008622579116677211,-0.007390277709735518,0.02921101084526127,0.03435236061471659
Q3b,gls_eff,adj,14698,45,0.6018628432837019,0.5342850784616887,0.3973107203165868,0.5987060755588149,0.00611631950479501,0.5362082484641897,0.006388734440889573,,,0.47268066368324585,0.008123006991947773,,0.012586273444233898,0.012422576022307513,0.0021405381999885175,7.507457033645357e-05,0.02645191927533355
Q3b_6band,ols,adj,14698,43,0.6010515600934893,0.5348291571880555,0.39828999172826246,0.5979561026041343,0.006024215322251214,0.5367100034991503,0.006385711470625786,,,0.4736556047695106,0.008297484480444517,,0.017729280326233936,0.017619452866057955,0.0031403006610564222,0.1897205338059525,1.4628779881322377e-11
Q3b_6band,wls_n,adj,14698,43,0.5729405637931582,0.5533511938029659,0.4111666628694597,0.5698270813730992,0.0025408510679771406,0.555211982051881,0.007948313569171675,,,0.4247587107269374,0.009293296208673077,,-0.006847711083139735,-0.006262136031473886,-0.022500675365534396,0.16995661812000606,0.08160178965470045
Q4,ols,adj,14698,76,0.617200513979439,0.5238927193853802,0.3885948397496307,0.6125664479001136,0.00723148296169371,0.5268520046039022,0.006387911370134673,,,0.44096132210363215,0.008008574820073057,,0.013355782967713404,0.012819208846416458,0.0017180846042476232,1.0254870353561052e-11,0.026931830096570387
Q4,wls_n,adj,14698,76,0.5951066373002523,0.5387992950398944,0.39965476969466135,0.5903906236866063,0.00408557670093182,0.5417695412473229,0.007700281797893951,,,0.40564814965705,0.0060215124490934115,,0.009159629728140646,0.009373210719803318,-0.007659773790419419,0.02679650552321874,0.035115304624462426
Q4,gls_eff,adj,14698,76,0.61720032530279,0.5238928484951545,0.3885859299056245,0.6125691838418473,0.007221186234080166,0.5268503071531974,0.006390269574417206,,,0.4407857825841277,0.007981842234675877,,0.01340642149087175,0.012867213563855194,0.0017665956905584216,7.65041694038337e-05,0.026924804678633486
Q0_flex_year,ols,adj,14698,5,0.30949661640746573,0.7036223006559118,0.5304822650355373,0.3086206784326336,0.01114179635250467,0.7038245277060144,0.009320045707707125,0.5182899417935388,0.005209896268617266,,,,8.144302342118873e-15,-8.634542705589407e-05,0.0033616829545232794,0.03394324744575763,0.028722305431592855
Q0_flex_year,wls_n,adj,14698,5,0.28995057703300975,0.7135115036475053,0.5409350902105124,0.2885108527210952,0.01385566734627196,0.7139794216523158,0.010400244004562827,0.49852068542787437,0.004640744348727879,,,,-0.0008919345834322243,-0.0007477657998899814,0.0011746749328123245,0.03897793257340466,0.03897793257340466
Q1_core_ns,ols,adj,14698,6,0.5666554232311396,0.5574082252141216,0.4178515231757661,0.5660662920997291,0.0056207767245569,0.5576367693682929,0.009346014366535628,0.40011385107817854,0.004617146797783891,0.5468785638424676,0.0019059676208748326,,4.142037543035252e-15,-3.353861088634533e-05,-0.020645484104795706,0.028614992577241337,0.017500148941226083
Q1_core_ns,wls_n,adj,14698,6,0.551338115812364,0.5671739529480763,0.4229668329523105,0.5501682869562947,0.006413121489265245,0.5677537638484023,0.009470005884192492,0.4207199939519393,0.002912059752328545,0.44522225153026823,0.0036368614460606814,,-0.009462752138467635,-0.009382188402416367,-0.02999580978866706,0.02018327512134377,0.02018327512134377
Q1_core_ns,gls_eff,adj,14698,6,0.5666552504172466,0.5574083363587867,0.4178401156048567,0.5660669474916786,0.005611691592691402,0.5576364222345588,0.009345973259583277,0.40028343126162375,0.004605645991955058,0.5465037350486149,0.0019106548335172447,,-0.00011703630165678903,-0.00015104280011714262,-0.02076659932537185,0.028471345565782097,0.017376418972238555
Q2_structure_ns,ols,adj,14698,11,0.573400802793156,0.5530529420486058,0.4132993983303168,0.5720840800388511,0.006459715817976334,0.5537246560051645,0.007792635401546916,0.40722597870246224,0.004829625760205834,0.4843207078331458,0.007399103419924976,,-1.647090058893141e-13,-2.7510465290369035e-05,-0.020263601977774114,0.026630733239540853,0.016113418667554887
Q2_structure_ns,wls_n,adj,14698,11,0.5571422548222438,0.5634933722556259,0.4201759797809479,0.555622666185086,0.005092509083225328,0.5642992105210289,0.008658686564815566,0.44891924051008747,0.009392977238498298,0.43685844889029624,0.007524887752570903,,-0.022566638136849955,-0.02253101017845591,-0.04462579952614192,0.036839898969516865,0.036839898969516865
Q3_categories_ns,ols,adj,14698,38,0.603605571768712,0.5331144580296463,0.396072972622081,0.600838991628231,0.006164136352246228,0.5347881171532548,0.006970134508256329,0.44178557349050146,0.0033516952079127183,0.4708542759548672,0.007931624664735062,,-1.4459942269947968e-13,5.249047990867859e-05,-0.01762193750499026,0.02281638771759206,0.015772934436753205
Q3_categories_ns,wls_n,adj,14698,38,0.5825758857242094,0.5470732215461421,0.40609991513702876,0.5796225189314299,0.004389900031696666,0.5488326165534362,0.007019068037354805,0.46224353164311444,0.007535781240890776,0.41886582786367715,0.005662431480442078,,-0.019435343742212185,-0.01915640263095741,-0.04547899576234939,0.03177412903238959,0.03177412903238959
Q3_categories_ns,gls_eff,adj,14698,38,0.6036054078776432,0.5331145682389267,0.39606691467233596,0.600841284139392,0.006147555695396652,0.5347867760924204,0.006971939692884565,0.44192872217138307,0.0033528136813114427,0.47064446627768797,0.007910991671043933,,-0.00011039354817573869,-6.032786478557802e-05,-0.01775923227065596,0.0227202631399263,0.015723715056367295
Q3b_flex_volume_ns,ols,adj,14698,45,0.6018630047487675,0.5342849701216574,0.39731913184915624,0.5987036895626533,0.006133217265099806,0.5362096033519376,0.0063831332252191186,,,0.47289130275809615,0.008140769674378172,,0.012538845962038898,0.012378262704915675,0.0020978190614529867,6.4646194999383715e-12,0.02645586456530546
