debiased_rank,debiased_rating,title,year,bgg_rank,geek_rating,avg_rating,voters,game_id,base_game,weight,weight_votes,mfg_playtime,mfg_age_rec,best_players,kickstarted,is_reimplementation,num_implementations,abstract_rank,cgs_rank,childrens_rank,family_rank,party_rank,strategy_rank,thematic_rank,war_rank
1,9.09528040013065,On to Richmond II: The Union Strikes South,2023.0,6934.0,5.652,9.18,107.0,367432,1,,,,,,,,,,,,,,,,
2,9.028650696788517,System Gateway (fan expansion for Android: Netrunner),2021.0,1651.0,6.33,9.16,726.0,345976,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3,8.977420848212539,The Castles of Burgundy: Special Edition,2023.0,,8.308,9.15,7797.0,363622,1,2.8377,308.0,,,,,,,,,,,,,,
4,8.958039122979047,1817,2010.0,1719.0,6.307,8.58,782.0,63170,1,4.7162,74.0,540.0,16.0,0.0,0.0,0.0,0.0,,,,,,654,,
5,8.956375254442285,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,4294.0,5.82,9.17,226.0,383010,1,,,,,,,,,,,,,,,,
6,8.92521384695285,Arydia: The Paths We Dare Tread,2025.0,1927.0,6.244,9.25,682.0,219650,1,,,,,,,,,,,,,,,,
7,8.890933415128002,Anachrony: Infinity Box,2020.0,,6.894,8.97,1531.0,278292,1,3.9737,38.0,120.0,15.0,0.0,1.0,0.0,0.0,,,,,,,,
8,8.884816821168938,Mega Empires,2022.0,,5.568,9.01,45.0,339526,1,,,,,,,,,,,,,,,,
9,8.86098353954115,The Old Prince 1871,2022.0,5025.0,5.756,8.32,217.0,359211,1,,,,,,,,,,,,,,,,
10,8.855927992769407,Roads to Gettysburg II: Lee Strikes North,2018.0,4097.0,5.843,8.83,268.0,215565,1,3.7647,17.0,1200.0,0.0,0.0,0.0,1.0,3.0,,,,,,,,120
11,8.825017734373473,Die Festung Hamburg,2022.0,12021.0,5.553,9.44,45.0,373576,1,,,,,,,,,,,,,,,,
12,8.80865296805564,Deluxe Advanced Squad Leader,2019.0,,5.558,8.86,48.0,298535,1,,,,,,,,,,,,,,,,
13,8.802990531392028,The Elder Scrolls: Betrayal of the Second Era,2025.0,5380.0,5.731,8.85,209.0,356080,1,4.0833,324.0,,,,,,,,,,,,,14,
14,8.79722682505439,Stonewall Jackson's Way II: Battles of Bull Run,2013.0,3674.0,5.895,8.68,335.0,99358,1,3.6538,26.0,720.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,104
15,8.777789931363698,Too Many Bones: Unbreakable,2023.0,1411.0,6.428,8.84,878.0,347811,1,,,,,,,,,,,,,,,,
16,8.767812641898471,Europa Universalis: The Price of Power (Deluxe Edition),2023.0,,5.765,9.02,205.0,370448,1,,,,,,,,,,,,,,,,
17,8.755072595626958,Monikers: Monikers-er,2023.0,9380.0,5.587,8.75,61.0,404462,1,,,,,,,,,,,,,,,,
18,8.745221748331145,"Panzers Last Stand: Battles for Budapest, 1945",2021.0,6649.0,5.664,8.91,126.0,323046,1,3.5,4.0,1560.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1439
19,8.74231537559004,Hegemony: Lead Your Class to Victory – Extended Edition,2023.0,,5.76,8.85,205.0,406767,1,,,,,,,,,,,,,,,,
20,8.739179082392502,Aeon's End: The Descent,2024.0,8882.0,5.597,9.12,74.0,412268,1,,,,,,,,,,,,,,,,
21,8.716646128554157,Mage Knight: Ultimate Edition,2018.0,,7.957,8.86,7465.0,248562,1,4.6555,656.0,150.0,14.0,1.0,0.0,0.0,0.0,,,,,,,,
22,8.715588212580444,Axis Empires: Ultimate Edition,2023.0,7910.0,5.62,9.01,103.0,291434,1,,,,,,,,,,,,,,,,
23,8.710043811854664,Small World Designer Edition,2015.0,,5.847,8.94,260.0,140135,1,2.5455,11.0,80.0,8.0,0.0,1.0,1.0,1.0,,,,,,,,
24,8.70688382028891,Trickerion: Collector's Edition,2019.0,,7.253,8.76,2672.0,255668,1,4.5698,86.0,180.0,14.0,0.0,1.0,0.0,0.0,,,,,,,,
25,8.704623468588396,Orléans: Anniversary Box,2024.0,,5.668,8.97,119.0,420068,1,,,,,,,,,,,,,,,,
26,8.697015355152526,Andromeda's Edge: Deluxe Edition,2024.0,,5.805,8.85,227.0,429653,1,,,,,,,,,,,,,,,,
27,8.695643491370395,Terra Mystica: Big Box,2022.0,,5.949,8.76,358.0,356238,1,,,,,,,,,,,,,,,,
28,8.685634565357327,1985: Deadly Northern Lights,2020.0,10637.0,5.569,9.17,56.0,294594,1,4.5556,9.0,5000.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1182
29,8.678399640555977,Frosthaven,2022.0,26.0,7.929,8.8,8022.0,295770,1,4.4078,488.0,,,,,,,,,,,,13,6,
30,8.673734235342303,World in Flames Collector's Edition Deluxe,2017.0,,5.647,9.01,134.0,255484,1,4.75,8.0,4800.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
