game_id,title,year,n_obs,users_rated,adj_mean,pred,resid
255249,Monikers: More Monikers,2018.0,452,521.0,8.575100419740723,6.298711892996643,2.27638852674408
140135,Small World Designer Edition,2015.0,246,266.0,9.099995391367383,6.920052749127716,2.1799426422396664
179448,Monikers: Shmonikers,2015.0,319,326.0,8.298090461297656,6.250937610545391,2.0471528507522656
195709,Monikers: Something Something,2016.0,246,255.0,8.326053699826828,6.307901496682701,2.018152203144126
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.453626629540011,6.469382914284417,1.9842437152555945
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.355972846068445,6.374389057789305,1.9815837882791403
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.484233854417955,6.54703226369285,1.9372015907251043
4385,A Gamut of Games,1969.0,434,445.0,8.077552795635295,6.147579867823945,1.9299729278113507
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,8.027215708183324,6.097298736129163,1.9299169720541602
283151,Monikers: Classics,2019.0,263,343.0,8.44793025351443,6.537097059996949,1.9108331935174814
230262,Time's Up! Party Edition,2004.0,553,714.0,7.9139121525426015,6.03569271354821,1.8782194389943916
33434,Funkenschlag: EnBW,2007.0,198,202.0,8.695725031634872,6.865223085210152,1.8305019464247199
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,7.035635140397307,5.222607062985755,1.813028077411552
4657,Replay Baseball,1973.0,105,135.0,7.968162887011541,6.183906533706084,1.784256353305457
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,8.39368931438145,6.630315389359902,1.7633739250215488
1803,Zopp,1997.0,158,160.0,7.669769068695889,5.911560982841422,1.7582080858544664
57660,Time's Up! Edición Azul,2006.0,1365,1463.0,7.682923039538827,5.925641789498906,1.757281250039921
341489,Carrooka,2021.0,195,285.0,8.556558258411863,6.820021727320086,1.7365365310917777
8939,Der wahre Walter,1989.0,170,182.0,7.4383003530133305,5.72132148454482,1.7169788684685106
97683,Age of Rail: South Africa,2011.0,277,605.0,8.731868234394135,7.020678210865368,1.7111900235287667
147170,El Grande Decennial Edition,2006.0,978,1063.0,8.775819467745654,7.07328325187253,1.702536215873124
249768,My First Adventure: Finding the Dragon,2018.0,100,128.0,7.792955954088223,6.1011591948329436,1.6917967592552792
186279,Finska Mini,2011.0,468,566.0,7.81827053461861,6.1285001664273455,1.6897703681912644
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,176.0,8.489729500226817,6.823609622347382,1.666119877879435
541,Das Motorsportspiel,1995.0,381,399.0,7.887413009970863,6.263047094110634,1.6243659158602286
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,402.0,7.54525753295777,5.928736997809628,1.6165205351481422
188530,My Favourite Things,2015.0,375,1039.0,7.904247931315976,6.2984190229364465,1.6058289083795296
6688,Ninety-Nine,1974.0,554,616.0,7.8875174234250345,6.297347578558778,1.5901698448662565
142132,Dominion: Big Box,2011.0,106,111.0,8.261485564147062,6.684845947896775,1.5766396162502865
23421,1832: The South,2006.0,125,131.0,8.77305962867767,7.199931410524366,1.573128218153304
46158,Time's Up! Academy,2009.0,575,630.0,7.670961954710387,6.100750655402727,1.57021129930766
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,234,1126.0,9.388286665065793,7.8220423315483885,1.566244333517405
14188,Bughouse Chess,1960.0,362,377.0,7.931501559865473,6.3723230443159995,1.5591785155494735
38713,Time's Up! Edición Amarilla,2008.0,1622,1950.0,7.776110651589741,6.220561414580628,1.5555492370091137
7935,1844: Schweiz,2003.0,212,221.0,8.944929193026972,7.3904244254024185,1.5545047676245538
4485,Hotel Life,1989.0,139,143.0,7.70735981280133,6.1539008163175115,1.5534589964838181
156372,Heart of Crown: Fairy Garden,2013.0,305,350.0,8.433134886513713,6.881958713444446,1.5511761730692673
260234,Middle-Earth Strategy Battle Game: Rules Manual,2018.0,144,165.0,8.847231648214503,7.306552013716256,1.5406796344982476
62814,Tumblin-Dice Medium,2008.0,215,233.0,7.617532002847592,6.07816452033442,1.539367482513172
1757,Yacht Race,1960.0,120,131.0,7.315472178198443,5.79013756218748,1.525334616010963
58782,Bluffer,1993.0,145,168.0,7.21387351841836,5.692913295082661,1.520960223335699
161880,The Quiet Year,2013.0,407,501.0,7.934596303968436,6.414024144354471,1.5205721596139652
207951,Tintas,2016.0,312,363.0,8.108775292800281,6.589745737454299,1.5190295553459823
2794,Spinball,2001.0,171,183.0,7.513631179338536,5.995048068199793,1.5185831111387431
261588,Ascension: Year Five Collector's Edition,2019.0,107,117.0,8.343911421122245,6.827962991023474,1.5159484300987707
2981,Breaking Away,1991.0,460,472.0,7.885794837701699,6.371371262467536,1.5144235752341633
241203,Ascension: Year Four Collector's Edition,2017.0,122,131.0,8.179074364641771,6.665254988815832,1.513819375825939
37141,Time's Up! Deluxe,2008.0,1024,1053.0,7.836466049829559,6.326128548311079,1.51033750151848
159333,Fendo,2014.0,121,154.0,8.168147351318796,6.660486208569742,1.507661142749054
56995,The Twelve Doctors: Doctor Who Card Game,2009.0,140,152.0,7.738973239835753,6.2314482435311,1.507524996304653
