game_id,title,year,n_obs,users_rated,adj_mean,pred,resid
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.453626629540011,6.4730253283233825,1.9806013012166286
4385,A Gamut of Games,1969.0,434,445.0,8.077552795635295,6.1502684306466335,1.9272843649886617
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,7.035635140397307,5.16071279623946,1.8749223441578469
33434,Funkenschlag: EnBW,2007.0,198,202.0,8.695725031634872,6.860705171671944,1.8350198599629284
4657,Replay Baseball,1973.0,105,135.0,7.968162887011541,6.198275713603616,1.7698871734079251
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,8.39368931438145,6.634267958808323,1.759421355573128
1803,Zopp,1997.0,158,160.0,7.669769068695889,5.919636944284786,1.7501321244111026
8939,Der wahre Walter,1989.0,170,182.0,7.4383003530133305,5.6943585288735346,1.743941824139796
341489,Carrooka,2021.0,195,285.0,8.556558258411863,6.816824812518638,1.7397334458932256
186279,Finska Mini,2011.0,468,566.0,7.81827053461861,6.0816743339867685,1.7365962006318414
147170,El Grande Decennial Edition,2006.0,978,1063.0,8.775819467745654,7.042262725587413,1.7335567421582407
97683,Age of Rail: South Africa,2011.0,277,605.0,8.731868234394135,7.007052277672521,1.7248159567216135
249768,My First Adventure: Finding the Dragon,2018.0,100,128.0,7.792955954088223,6.074928351428946,1.7180276026592765
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,176.0,8.489729500226817,6.819567957283208,1.6701615429436085
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,402.0,7.54525753295777,5.896634743598238,1.648622789359532
188530,My Favourite Things,2015.0,375,1039.0,7.904247931315976,6.265797884842447,1.6384500464735288
541,Das Motorsportspiel,1995.0,381,399.0,7.887413009970863,6.251602409869017,1.6358106001018458
6688,Ninety-Nine,1974.0,554,616.0,7.8875174234250345,6.2970912532915815,1.590426170133453
23421,1832: The South,2006.0,125,131.0,8.77305962867767,7.191740454239776,1.581319174437894
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,234,1126.0,9.388286665065793,7.813026824088842,1.5752598409769512
14188,Bughouse Chess,1960.0,362,377.0,7.931501559865473,6.358026067958956,1.5734754919065166
7935,1844: Schweiz,2003.0,212,221.0,8.944929193026972,7.375327451933741,1.5696017410932317
4485,Hotel Life,1989.0,139,143.0,7.70735981280133,6.13925147955211,1.5681083332492198
156372,Heart of Crown: Fairy Garden,2013.0,305,350.0,8.433134886513713,6.874910439501413,1.5582244470123001
260234,Middle-Earth Strategy Battle Game: Rules Manual,2018.0,144,165.0,8.847231648214503,7.301979913500416,1.5452517347140873
62814,Tumblin-Dice Medium,2008.0,215,233.0,7.617532002847592,6.077276266233989,1.5402557366136032
2981,Breaking Away,1991.0,460,472.0,7.885794837701699,6.35973969937797,1.5260551383237289
161880,The Quiet Year,2013.0,407,501.0,7.934596303968436,6.40866280160091,1.5259335023675265
207951,Tintas,2016.0,312,363.0,8.108775292800281,6.584837049351018,1.5239382434492637
153016,Telestrations: 12 Player Party Pack,2011.0,3141,3505.0,7.964557605643798,6.444466869015441,1.5200907366283571
58782,Bluffer,1993.0,145,168.0,7.21387351841836,5.695728217621001,1.518145300797359
261588,Ascension: Year Five Collector's Edition,2019.0,107,117.0,8.343911421122245,6.827424435158884,1.5164869859633612
1757,Yacht Race,1960.0,120,131.0,7.315472178198443,5.8001084472439,1.515363730954543
220975,History Maker Golf,2017.0,131,179.0,8.41113018100622,6.896399915704299,1.514730265301921
241203,Ascension: Year Four Collector's Edition,2017.0,122,131.0,8.179074364641771,6.664922759748768,1.5141516048930033
159333,Fendo,2014.0,121,154.0,8.168147351318796,6.657734100698516,1.5104132506202799
2794,Spinball,2001.0,171,183.0,7.513631179338536,6.008999828380391,1.504631350958145
275626,Dominion: Einsteiger-Bigbox,2019.0,115,150.0,8.368446816542491,6.870273102567001,1.4981737139754898
56995,The Twelve Doctors: Doctor Who Card Game,2009.0,140,152.0,7.738973239835753,6.2434834263780346,1.4954898134577181
172844,Charms,2014.0,254,347.0,8.13592622137582,6.64888193758425,1.4870442837915707
13089,Wie ich die Welt sehe...,2004.0,366,380.0,7.22906885484346,5.74325543828178,1.4858134165616796
68199,Catchup,2010.0,135,154.0,8.018753770820885,6.533349799485411,1.485403971335474
165748,Psycho Raiders,2014.0,197,222.0,8.27438608117893,6.794448353983073,1.479937727195857
141067,History Maker Baseball,2013.0,208,268.0,8.226316042073334,6.749378141022714,1.4769379010506203
401168,nana: Christmas Edition,2022.0,100,205.0,8.160724419224373,6.6874756380134635,1.4732487812109092
76728,Freeze,2010.0,104,106.0,7.454700482965089,5.983895258762971,1.4708052242021186
1770,Aliens,1989.0,713,785.0,7.418269088648073,5.950384157211094,1.4678849314369797
237009,Urbino,2017.0,207,256.0,8.44382920781132,6.981524468407322,1.4623047394039972
4642,Sports Illustrated Baseball,1972.0,178,222.0,7.355719517337105,5.898318655090703,1.457400862246402
301480,Binho Classic,2019.0,112,237.0,8.023656962620867,6.568449112908699,1.4552078497121688
