feature,beta,sd,abs_contrib
volband_100-199,-1.731617360670282,0.4618647769462844,0.7997730660422936
volband_200-499,-1.6083783645012402,0.45378031262530516,0.7298504370631498
volband_500-999,-1.4374422269596459,0.3572913570612416,0.5135856839675451
volband_1k-2.5k,-1.2847046137528961,0.33360858191720816,0.4285884843765983
weight_c,0.47289130275809615,0.7972776674346546,0.37702567481310995
volband_2.5k-5k,-1.1237706683655608,0.23712344882398562,0.26647237657007716
ns_year_1,8.600103019460983e-06,20199.43733521448,0.17371724201799094
volband_5k-10k,-0.9862800975522995,0.1761200808989164,0.17370373056990215
ns_year_2,0.00022216745942439756,586.853234581905,0.13037969218205184
volband_10k-25k,-0.8258167286079965,0.148148373081199,0.12234340480651272
ns_year_0,0.008785817499150585,12.338565440672696,0.10840438416307682
cat_Wargame,0.292949461398298,0.3443045923620036,0.1008638448894095
cat_Movies / TV / Radio theme,-0.3293569277830107,0.21210335748755385,0.06985771019456237
volband_25k+,-0.6789561986862223,0.09644106277795829,0.06547925738098188
cat_Humor,-0.17828523614401012,0.22430558513880697,0.03999037421489257
log_max_players_c,-0.08257443084799053,0.4720379689778492,0.03897826662698731
cat_Action / Dexterity,0.14657720357452456,0.2039244978221199,0.02989068263110556
cat_Science Fiction,-0.09602820914539652,0.28571136680891396,0.02743635088714349
log_playtime_c,0.028428475465044296,0.9530041266229752,0.02709245443178722
cat_Horror,-0.11537653918808766,0.19660952324098724,0.022684126362964994
