n,se_frequentist,posterior_sd,lower_95_frequentist,lower_95_posterior,width_95_frequentist,width_95_posterior
50,0.16877786687218094,0.165499436785398,-0.3308046190694746,-0.3243788960993801,0.6616092381389492,0.6487577921987602
100,0.1193439741795195,0.1181678232240112,-0.2339141893918582,-0.23160893351906195,0.4678283787837164,0.4632178670381239
120,0.10894564460072821,0.10804871307152929,-0.2135334634174273,-0.2117754776201974,0.4270669268348546,0.4235509552403948
293,0.06972149416393149,0.06948468319406405,-0.1366541285613057,-0.13618997906036553,0.2733082571226114,0.27237995812073107
347,0.06406720213886775,0.06388331424379115,-0.1255717161921808,-0.12521129591783065,0.2511434323843616,0.2504225918356613
500,0.05337224779407705,0.05326579319815384,-0.10460960567639102,-0.10440095466838152,0.20921921135278204,0.20880190933676304
1000,0.03773987834236064,0.03770218460010459,-0.07397016155102684,-0.073896281816205,0.14794032310205368,0.14779256363241
3183,0.021153497160726554,0.02114685268585926,-0.04146085443502404,-0.04144783126428415,0.08292170887004809,0.0828956625285683
5000,0.016877786687218094,0.01687441121160716,-0.03308046190694746,-0.033073845974750035,0.06616092381389492,0.06614769194950007
12000,0.01089456446007282,0.010893656442790405,-0.02135334634174273,-0.021351566627869193,0.04270669268348546,0.042703133255738386
