decile,games,median_n,raw_mean,adj_mean
"(1.999, 2.09]",1492,111.0,6.302459803830971,6.567578272575738
"(2.09, 2.188]",1476,138.0,6.365107599822466,6.63190249923151
"(2.188, 2.29]",1452,174.0,6.385925865756519,6.651776790491936
"(2.29, 2.407]",1471,224.0,6.421292462005437,6.6965311880758005
"(2.407, 2.54]",1462,297.0,6.4505413131571565,6.7329489285232125
"(2.54, 2.702]",1474,414.0,6.525438632820518,6.827958965692188
"(2.702, 2.885]",1462,614.5,6.6327629476454195,6.945644982007159
"(2.885, 3.134]",1470,1008.0,6.744680736192006,7.0632227596517945
"(3.134, 3.503]",1469,1955.0,6.876753244420965,7.208861662760991
"(3.503, 5.086]",1470,6399.0,7.184043963925402,7.507721768354436
