candidate_id,flag_column,description,source_column,domain,n_games,n_games_pct,passes_n50_gate,mean_resid_Q3bFam,median_resid_Q3bFam,sd_resid_Q3bFam,share_top5pct_Q3bFam_pct,mean_adj,overlap_strong_n,overlap_strong_pct,beta_added,ols_se,fold_beta_mean,fold_beta_sd,fold_betas,fold_pos_5,cv_r2_ext,cv_rmse_ext,delta_cv_r2,delta_cv_rmse,spearman_vs_Q3bFam,jaccard_top1_vs_Q3bFam,jaccard_top5_vs_Q3bFam,already_in_Q3bFam,duplicate_note,prelim_assessment
solo_mech,flag_solo_mech,Solo / Solitaire Game mechanic n=1397,mechanics Solo,audience,1397,9.5,True,0.0106,0.0134,0.4643,4.1,7.554,9,23.1,0.0161,0.0175,0.0162,0.0028,+0.016 +0.017 +0.011 +0.019 +0.017,5.0,0.6033,0.5331,0.0,-0.0,1.0,1.0,0.992,False,,NO - residual <0.10 not systematic
coop_mech,flag_coop_mech,Cooperative Game mechanic n=1543 (already in Q3bFam as fam),mechanics Cooperative,audience,1543,10.5,True,-0.0,0.0278,0.538,6.4,7.22,22,56.4,,,,,,,,,,,,,,True,identical to fam_Cooperative Game,SKIP - already in Q3bFam (duplicate)
team_mech,flag_team_mech,Team-Based Game mechanic n=802,mechanics Team-Based,audience,802,5.46,True,0.0304,0.0372,0.5524,7.0,6.97,3,7.7,0.0359,0.0204,0.0359,0.0072,+0.043 +0.032 +0.026 +0.042 +0.037,5.0,0.6034,0.5331,0.0001,-0.0,0.9999,0.96,0.989,False,,NO - residual <0.10 not systematic
semi_coop,flag_semi_coop,Semi-Cooperative Game n=98,mechanics Semi-Coop,audience,98,0.67,True,-0.2517,-0.2235,0.5051,1.0,7.106,0,0.0,-0.2582,0.0544,-0.2579,0.0169,-0.244 -0.254 -0.261 -0.286 -0.245,0.0,0.6039,0.5327,0.0006,-0.0004,0.9989,1.0,0.989,False,,MONITOR - systematic but CV marginal
solo_first,flag_solo_first,solo-first design min=1 max<=2 n=691,min/max_players,audience,691,4.7,True,0.1275,0.1623,0.5077,5.8,7.344,4,10.3,0.1758,0.0237,0.1759,0.0129,+0.190 +0.174 +0.156 +0.177 +0.183,5.0,0.6047,0.5322,0.0014,-0.001,0.9973,0.947,0.919,False,,MONITOR - systematic but CV marginal
duel_1_2p,flag_duel_1_2p,1–2 player constrained max<=2 n=2555,max_players,audience,2555,17.38,True,0.08,0.1101,0.5075,5.8,7.116,8,20.5,0.2008,0.0166,0.2008,0.0104,+0.203 +0.189 +0.198 +0.196 +0.217,5.0,0.6072,0.5305,0.0038,-0.0026,0.9932,0.814,0.844,False,,NO - residual <0.10 not systematic
strict_solo,flag_strict_solo,solo-only 1p==1 max==1 n=249,players,audience,249,1.69,True,0.121,0.1471,0.4364,3.6,7.349,0,0.0,0.1409,0.0364,0.1416,0.0206,+0.155 +0.106 +0.153 +0.151 +0.143,5.0,0.6036,0.5329,0.0003,-0.0002,0.9992,0.96,0.965,False,,MONITOR - systematic but CV marginal
wargame_duel,flag_wargame_duel,Wargame & max<=2 duel wargame n=?,category+players,audience,1153,7.84,True,0.0744,0.1185,0.4771,4.0,7.344,0,0.0,0.2041,0.0259,0.204,0.0056,+0.211 +0.201 +0.197 +0.209 +0.202,5.0,0.605,0.532,0.0017,-0.0011,0.997,0.947,0.919,False,,NO - residual <0.10 not systematic
light_weight,flag_light_weight,weight <=1.5 light n~?,weight,audience,4293,29.21,True,-0.0182,0.0352,0.5962,5.8,6.316,8,20.5,-0.0589,0.0146,-0.0589,0.0082,-0.051 -0.073 -0.060 -0.056 -0.055,0.0,0.6037,0.5329,0.0004,-0.0003,0.9992,0.947,0.947,False,,NO - residual <0.10 not systematic
heavy_weight,flag_heavy_weight,weight >=3.5 heavy n~?,weight,audience,929,6.32,True,-0.0454,-0.022,0.4895,3.1,7.925,2,5.1,-0.0819,0.0235,-0.0819,0.0102,-0.091 -0.081 -0.084 -0.065 -0.088,0.0,0.6036,0.5329,0.0003,-0.0002,0.9994,0.986,0.963,False,,NO - residual <0.10 not systematic
coop_solo,flag_coop_solo,both Cooperative & Solo n~?,mechanics,audience,495,3.37,True,0.036,0.043,0.5197,7.3,7.577,9,23.1,0.0557,0.0297,0.0558,0.0181,+0.083 +0.048 +0.050 +0.035 +0.064,5.0,0.6033,0.5331,0.0,-0.0,0.9998,0.96,0.984,False,,NO - residual <0.10 not systematic
