candidate_id,flag_column,description,source_column,domain,n_games,n_games_pct,passes_n50_gate,mean_resid_Q3bFam,median_resid_Q3bFam,sd_resid_Q3bFam,share_top5pct_Q3bFam_pct,mean_adj,overlap_strong_n,overlap_strong_pct,beta_added,ols_se,fold_beta_mean,fold_beta_sd,fold_betas,fold_pos_5,cv_r2_ext,cv_rmse_ext,delta_cv_r2,delta_cv_rmse,spearman_vs_Q3bFam,jaccard_top1_vs_Q3bFam,jaccard_top5_vs_Q3bFam,already_in_Q3bFam,duplicate_note,prelim_assessment
edition_title,flag_edition_title,title contains edition/anniversary/deluxe/premium/heritage/big box/collector (heuristic),families/title,lineage,501,3.41,True,0.1157,0.1411,0.5682,10.6,7.195,2,5.1,0.1229,0.0245,0.1229,0.0187,+0.125 +0.119 +0.148 +0.127 +0.096,5,0.6039,0.5327,0.0006,-0.0004,0.9989,0.921,0.957,False,,NO
high_version,flag_high_version,n_version >=10 (many edition/version links),game_links_pass2 rel=version,lineage,588,4.0,True,-0.0071,0.0488,0.5215,2.6,7.142,0,0.0,-0.0121,0.0286,-0.0123,0.0212,+0.010 -0.005 -0.026 +0.001 -0.042,2,0.6032,0.5332,-0.0001,0.0001,1.0,1.0,0.995,False,,NO - residual <0.10 not systematic
any_version,flag_any_version,n_version >=1 (any version link),game_links_pass2,lineage,2220,15.1,True,0.0232,0.0812,0.5644,5.5,6.71,1,2.6,0.0575,0.0178,0.0574,0.009,+0.052 +0.073 +0.055 +0.056 +0.050,5,0.6036,0.533,0.0002,-0.0002,0.9995,0.947,0.96,False,,NO - residual <0.10 not systematic
multi_reimpl,flag_multi_reimpl,reimplementation count >1 (multiple reimplementations),game_links_pass2,lineage,257,1.75,True,-0.0314,0.0784,0.6122,4.3,6.864,0,0.0,-0.0965,0.0581,-0.0965,0.0104,-0.090 -0.081 -0.102 -0.102 -0.107,0,0.6034,0.5331,0.0001,-0.0,0.9999,0.973,0.989,False,,NO - residual <0.10 not systematic
game_system,flag_game_system,Admin: Game System Entries family (collectible systems),families Admin: Game System Entries,lineage,32,0.22,False,0.1619,0.1524,0.5915,18.8,6.939,0,0.0,0.1656,0.0951,0.162,0.0799,+0.242 +0.072 +0.251 +0.126 +0.119,5,0.6033,0.5332,-0.0001,0.0,0.9999,0.986,0.995,False,,"BELOW_GATE - n<50, screen/cleanup not model"
series_any,flag_series_any,any Series: family except 18xx (Wallet/Unlock/EXIT etc),families Series:,lineage,3222,21.92,True,0.0655,0.0859,0.4833,5.0,7.079,6,15.4,0.0938,0.0112,0.0938,0.008,+0.081 +0.101 +0.100 +0.094 +0.092,5,0.6051,0.5319,0.0017,-0.0012,0.9964,0.921,0.882,False,,NO - residual <0.10 not systematic
series_wallet,flag_series_wallet,Series: Wallet & Box Micro Games (Button Shy) n=58,families Series: Wallet,lineage,58,0.39,True,0.0037,0.0385,0.372,1.7,7.015,0,0.0,0.0038,0.0709,0.0048,0.0404,+0.064 -0.013 -0.042 -0.009 +0.024,2,0.6033,0.5332,-0.0001,0.0,1.0,1.0,1.0,False,,NO - residual <0.10 not systematic
series_unlock,flag_series_unlock,Series: Unlock! (Space Cowboys) n=47,families Series: Unlock!,lineage,47,0.32,False,0.2167,0.219,0.5548,14.9,7.497,1,2.6,0.2505,0.0834,0.2514,0.0369,+0.241 +0.208 +0.232 +0.301 +0.275,5,0.6035,0.533,0.0002,-0.0001,0.9996,0.986,0.981,False,,"BELOW_GATE - n<50, screen/cleanup not model"
series_exit,flag_series_exit,Series: EXIT: The Game n=36,families Series: EXIT,lineage,36,0.24,False,-0.0987,-0.0971,0.5224,8.3,7.501,0,0.0,-0.1083,0.0928,-0.108,0.0205,-0.124 -0.083 -0.103 -0.134 -0.097,0,0.6033,0.5331,0.0,-0.0,0.9999,1.0,0.997,False,,"BELOW_GATE - n<50, screen/cleanup not model"
game_family,flag_game_family,"any Game: family (franchise, e.g., Catan/Pandemic)",families Game:,lineage,2740,18.64,True,0.0318,0.0546,0.5566,7.6,7.041,17,43.6,0.046,0.0122,0.046,0.0034,+0.046 +0.045 +0.052 +0.043 +0.045,5,0.6037,0.5329,0.0004,-0.0002,0.9993,0.921,0.95,False,,NO - residual <0.10 not systematic
high_expansion,flag_high_expansion,n_expansion >=5 (sequel/expansion system proxy),game_links expansion,lineage,267,1.82,True,-0.0092,0.0358,0.4655,2.2,7.693,0,0.0,-0.0127,0.0383,-0.0125,0.0163,-0.004 -0.019 -0.028 +0.012 -0.023,1,0.6033,0.5331,-0.0,0.0,1.0,0.986,1.0,False,,NO - residual <0.10 not systematic
