spec,candidate_id,flag,n,beta,se,fold_mean,fold_sd,fold_betas,cv_r2,cv_rmse,delta_r2,delta_rmse,spearman,jaccard_top1,mean_resid_before
Q3bFam+edition_title,edition_title,flag_edition_title,501,0.12294883262141718,0.024485822964763163,0.12294450343298584,0.018663920466254598,+0.125 +0.119 +0.148 +0.127 +0.096,0.6038797086368727,0.5327398646500916,0.0005603265019332726,-0.0003802177151750463,0.9988670007011717,0.9210526315789473,0.11565914330714747
Q3bFam+high_version,high_version,flag_high_version,588,-0.012073796833273552,0.02858027819595593,-0.012272890016947851,0.021197898208098327,+0.010 -0.005 -0.026 +0.001 -0.042,0.6032157813169903,0.5331899028178146,-0.00010360081794913434,6.982045254799729e-05,0.9999902518466592,1.0,-0.007115403116534372
Q3bFam+any_version,any_version,flag_any_version,2220,0.05753035044846491,0.017793888884095707,0.0574289343950227,0.008976430144587589,+0.052 +0.073 +0.055 +0.056 +0.050,0.6035574236505993,0.5329568293995492,0.0002380415156598703,-0.00016325296571739756,0.9995094938744344,0.9466666666666667,0.023150590085179064
Q3bFam+multi_reimpl,multi_reimpl,flag_multi_reimpl,257,-0.0964576357938009,0.0581307290191989,-0.09648390522701585,0.010410925195000042,-0.090 -0.081 -0.102 -0.102 -0.107,0.6033872089333483,0.5330749289272159,6.782679840888761e-05,-4.515343805078231e-05,0.9998686768644636,0.972972972972973,-0.03143256430539526
Q3bFam+game_system,game_system,flag_game_system,32,0.16556996266451235,0.09509807455079813,0.16198637572266766,0.07986775950869175,+0.242 +0.072 +0.251 +0.126 +0.119,0.6032629854299124,0.5331564764353159,-5.639670502699534e-05,3.6394070049294847e-05,0.9998715955814886,0.9863945578231292,0.16190779171588715
Q3bFam+series_any,series_any,flag_series_any,3222,0.09375175885896828,0.011188292964469996,0.09379631941605468,0.008022356326023257,+0.081 +0.101 +0.100 +0.094 +0.092,0.6050592807444509,0.531939227692751,0.0017398986095115143,-0.0011808546725156077,0.9963918711811858,0.9210526315789473,0.06548156207071808
Q3bFam+series_wallet,series_wallet,flag_series_wallet,58,0.0037965660215739105,0.07087958392425883,0.004781113130585213,0.040438406836766964,+0.064 -0.013 -0.042 -0.009 +0.024,0.6032559283838976,0.5331626047719276,-6.345375104177542e-05,4.2522406660916445e-05,0.9999998208934139,1.0,0.00368799269074227
Q3bFam+series_unlock,series_unlock,flag_series_unlock,47,0.25054538103058455,0.08342217048013793,0.251407892007065,0.03688020346441632,+0.241 +0.208 +0.232 +0.301 +0.275,0.6035149563118704,0.5329930587638765,0.00019557417693094603,-0.00012702360139016378,0.9995762700341425,0.9863945578231292,0.21668443728678838
Q3bFam+series_exit,series_exit,flag_series_exit,36,-0.10827390716429675,0.09284758543838072,-0.10800685388236608,0.02052234309607067,-0.124 -0.083 -0.103 -0.134 -0.097,0.6033497441919151,0.5331002820574445,3.036205697570793e-05,-1.9800307822115393e-05,0.9999301040932058,1.0,-0.09874366630561851
Q3bFam+game_family,game_family,flag_game_family,2740,0.04599163552245991,0.01222408554849466,0.04602515296157443,0.0033933249243364894,+0.046 +0.045 +0.052 +0.043 +0.045,0.6036801694770701,0.5328758206576232,0.0003607873421307417,-0.0002442617076434672,0.9993488297226176,0.9210526315789473,0.031765219640668516
Q3bFam+high_expansion,high_expansion,flag_high_expansion,267,-0.012682859924253095,0.038274339030916614,-0.012457610429738888,0.01633954368245047,-0.004 -0.019 -0.028 +0.012 -0.023,0.603288973429747,0.5331405042752169,-3.0408705192441765e-05,2.0421909950218975e-05,0.9999942314996119,0.9863945578231292,-0.009178183975116496
Q3bFam+solo_mech,solo_mech,flag_solo_mech,1397,0.0160909925367518,0.017507205999144296,0.016156273054453406,0.0027529549815218796,+0.016 +0.017 +0.011 +0.019 +0.017,0.6033359972102059,0.5331091297335326,1.6615075266512846e-05,-1.0952631734006957e-05,0.9999538413620626,1.0,0.010636465607227991
Q3bFam+coop_mech,coop_mech,flag_coop_mech,1543,,,,,,,,,,,,-7.190037432722013e-12
Q3bFam+team_mech,team_mech,flag_team_mech,802,0.035909085977496896,0.020431043581104716,0.03589758155398286,0.007195192026122711,+0.043 +0.032 +0.026 +0.042 +0.037,0.6033826591236245,0.5330791208988839,6.327698868513476e-05,-4.096146638277176e-05,0.9998530023435772,0.959731543624161,0.030354746011450492
Q3bFam+semi_coop,semi_coop,flag_semi_coop,98,-0.2582155742128569,0.05439357137455784,-0.2579272074858779,0.01693705751831404,-0.244 -0.254 -0.261 -0.286 -0.245,0.6039315184793936,0.5327095954134977,0.0006121363444542283,-0.00041048695176892913,0.9989139212185867,1.0,-0.2516883374148727
Q3bFam+solo_first,solo_first,flag_solo_first,691,0.17578846388422925,0.023721034156605723,0.17585419127079513,0.012886819881412569,+0.190 +0.174 +0.156 +0.177 +0.183,0.6047450684993916,0.5321681493083819,0.0014256863644521722,-0.0009519330568847906,0.9972953837381792,0.9466666666666667,0.1274940714427582
Q3bFam+duel_1_2p,duel_1_2p,flag_duel_1_2p,2555,0.200791275434869,0.016588542196590093,0.20082640213774,0.010388265299890266,+0.203 +0.189 +0.198 +0.196 +0.217,0.6071654957779009,0.530536568001291,0.0038461136429615017,-0.0025835143639756364,0.9932250326345138,0.8136645962732919,0.0800358415013051
Q3bFam+strict_solo,strict_solo,flag_strict_solo,249,0.14092702252067313,0.036368649423629905,0.14161449690359654,0.02063118581152791,+0.155 +0.106 +0.153 +0.151 +0.143,0.6036415331179712,0.5329067710626125,0.00032215098303178813,-0.0002133113026541178,0.9992423517113508,0.959731543624161,0.12099437872393533
Q3bFam+wargame_duel,wargame_duel,flag_wargame_duel,1153,0.2040849207187339,0.025893347657856433,0.2039597933745033,0.005640920929851262,+0.211 +0.201 +0.197 +0.209 +0.202,0.6050093208711426,0.5319870706933661,0.001689938736203156,-0.0011330116719004968,0.9970365621591505,0.9466666666666667,0.07441092905472356
Q3bFam+light_weight,light_weight,flag_light_weight,4293,-0.05893605554716543,0.014586704613208844,-0.058884476992909975,0.00820495296107091,-0.051 -0.073 -0.060 -0.056 -0.055,0.6036893111030676,0.5328660259519874,0.00036992896812815257,-0.00025405641327924666,0.99918040361018,0.9466666666666667,-0.018242724237630382
Q3bFam+heavy_weight,heavy_weight,flag_heavy_weight,929,-0.08193062170506019,0.02345094850926408,-0.08192264583315059,0.010194810768018633,-0.091 -0.081 -0.084 -0.065 -0.088,0.6036117649978425,0.532921983196579,0.00029238286290311777,-0.00019809916868762656,0.9993794595527328,0.9863945578231292,-0.045354188440135036
Q3bFam+coop_solo,coop_solo,flag_coop_solo,495,0.05567729743777403,0.029733020132612593,0.055821973066582785,0.018062771302325115,+0.083 +0.048 +0.050 +0.035 +0.064,0.603339973798013,0.5331067850849894,2.0591663073554756e-05,-1.3297280277213552e-05,0.9998244554400647,0.959731543624161,0.03600480940888631
