base_title,game_id,title,year,weight,resid_Q3bFam,in_pruned
,152241,Ultimate Werewolf,2014,1.15,0.643,False
,140457,Ultimate Werewolf: Inquisition,2013,1.68,0.447,False
,2265,Ultimate Stratego,1997,2.1,-0.32,False
,42336,Ultimate Tic-Tac-Toe,2008,2.0,0.001,False
,920,Ultimate Outburst,1999,1.36,0.472,False
,3874,Ultimate Mastermind,1972,2.26,-0.321,False
,67148,Ultimate Werewolf: Compact Edition,2010,1.44,0.913,False
,38159,Ultimate Werewolf: Ultimate Edition,2008,1.49,0.784,False
,311920,Ultimate Werewolf: Extreme,2021,2.4,0.955,False
,152242,Ultimate Werewolf: Deluxe Edition,2014,1.51,0.679,False
,12304,Deluxe Pass the Pigs,2004,1.07,-0.319,False
,206715,Ultimate Werewolf Legacy,2018,2.5,0.003,False
,329591,Ultimate Railroads,2021,3.26,0.481,False
,100679,Ultimate Warriorz,2011,1.3,0.512,False
one night,180956,One Night Ultimate Vampire,2016,1.59,0.053,False
one night,204431,One Night Ultimate Alien,2017,1.9,0.071,False
one night,147949,One Night Ultimate Werewolf,2014,1.38,0.067,False
one night,163166,One Night Ultimate Werewolf: Daybreak,2015,1.41,0.576,False
one night,255293,One Night Ultimate Super Villains,2019,1.5,0.193,False
puerto rico,3076,Puerto Rico,2002,3.27,0.287,False
puerto rico,108687,Puerto Rico,2011,3.22,0.96,False
puerto rico,165332,Puerto Rico,2007,3.08,1.457,False
puerto rico,318985,Puerto Rico,2020,3.04,0.464,False
century: golem,232832,Century: Golem Edition,2017,1.71,0.55,False
century: golem,283619,Century: Golem Edition – Eastern Mountains,2019,2.19,0.255,False
century: golem,312318,Century: Golem Edition – An Endless World,2020,2.14,0.374,False
room 25,127024,Room 25,2013,1.93,0.003,False
room 25,212956,Room 25 Ultimate,2016,2.14,0.998,False
the champion of the wild,186904,The Champion of the Wild,2018,1.2,0.711,False
the champion of the wild,295503,The Champion of the Wild (Second Edition),2019,1.2,1.045,False
last will,201856,Last Will,2016,2.5,0.736,False
last will,97842,Last Will,2011,2.72,0.118,False
