candidate,flag_col,description,n,pct,mean_resid_before,median_before,beta_added,se_beta,fold_betas,fold_consistent,cv_R2_base,cv_R2_extended,cv_delta_R2,spearman_vs_Q3bFam,jaccard_top1,jaccard_top5,belongs_in,decision
edition_title,flag_edition_title,title edition heuristic (501),501,3.4086270240849093,0.11565914329773037,0.14114769706546504,0.12294883262141715,0.024485815295668418,+0.125 +0.119 +0.148 +0.127 +0.096,5/5,0.6033193821348115,0.6038797086367526,0.0005603265019410442,0.9988670007011717,0.9210526315789473,0.9573333333333334,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
edition_collectors,flag_ed_collectors,Collector's Edition (per-pattern),21,0.14287658184787044,0.1785608164079421,0.18008921072868045,0.1799563212477779,0.11654139276060971,+0.230 +0.204 +0.063 +0.233 +0.178,5/5,0.6033193821348115,0.6033183686983744,-1.0134364371028326e-06,0.9999671692586325,0.972972972972973,0.9972789115646259,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
edition_ultimate,flag_ed_ultimate,Ultimate Edition,7,0.04762552728262349,0.4853267491062739,0.47071555881661453,0.487830189257742,0.20156546466836076,+0.384 +0.542 +0.479 +0.552 +0.503,5/5,0.6033193821348115,0.6034414484696973,0.00012206633488576202,0.9996570442813245,1.0,0.9972789115646259,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
edition_kickstarter,flag_ed_kickstarter,Kickstarter Edition,15,0.10205470131990747,0.42849490809973706,0.5071217218161674,0.4307501838255952,0.1376841569479313,+0.428 +0.414 +0.429 +0.439 +0.443,5/5,0.6033193821348115,0.6035833220141693,0.0002639398793577996,0.9995335251771069,1.0,0.9918588873812755,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
edition_second,flag_ed_second_edition,Second Edition,112,0.7620084365219758,0.20054113629208242,0.17321216243687232,0.20430717625936132,0.05071370684632117,+0.203 +0.210 +0.215 +0.218 +0.172,5/5,0.6033193821348115,0.6037514806387524,0.0004320985039408809,0.9991291410543401,0.972972972972973,0.989159891598916,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
game_system,flag_game_system,Admin: Game System Entries (32),32,0.21771669614913594,0.1619077917087574,0.15237864463401962,0.16556996266451193,0.09509807145027643,+0.242 +0.072 +0.251 +0.126 +0.119,5/5,0.6033193821348115,0.6032629854299879,-5.6396704823602484e-05,0.9998715955814886,0.9863945578231292,0.9945652173913043,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
series_any,flag_series_any,any Series: except 18xx (3222),3222,21.921349843516126,0.06548156206264033,0.08593657558890078,0.0937517588589677,0.011188292774278985,+0.081 +0.101 +0.100 +0.094 +0.092,5/5,0.6033193821348115,0.6050592807449471,0.0017398986101355707,0.9963918711811858,0.9210526315789473,0.882051282051282,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
game_family,flag_game_family,any Game: family (2740),2740,18.641992107769763,0.031765219631993365,0.054581230098688316,0.04599163552246056,0.012223994844200387,+0.046 +0.045 +0.052 +0.043 +0.045,5/5,0.6033193821348115,0.6036801694770147,0.00036078734220323927,0.9993488297226176,0.9210526315789473,0.949535192563081,screening/eligibility,keep Q3bFam (no add) — belongs_in screening/eligibility
solo_mech,flag_solo_mech,Solo mech (1397),1397,9.504694516260717,0.010636465594450431,0.013417465606585743,0.016090992536751735,0.01750720233715206,+0.016 +0.017 +0.011 +0.019 +0.017,5/5,0.6033193821348115,0.6033359972101182,1.661507530670292e-05,0.9999538413620626,1.0,0.9918588873812755,model,keep Q3bFam (no add) — belongs_in model
team_mech,flag_team_mech,Team-Based (802),802,5.45652469723772,0.030354746002429222,0.037235898127987,0.035909085977497576,0.020431044189416228,+0.043 +0.032 +0.026 +0.042 +0.037,5/5,0.6033193821348115,0.6033826591236292,6.327698881769539e-05,0.9998530023435772,0.959731543624161,0.989159891598916,model,keep Q3bFam (no add) — belongs_in model
