base_title,game_id_a,title_a,year_a,weight_a,game_id_b,title_b,year_b,weight_b,designer_overlap,year_diff,weight_diff,corroborated,already_pruned_either,n_group
one night,180956,One Night Ultimate Vampire,2016,1.59,147949,One Night Ultimate Werewolf,2014,1.38,True,2,0.206,True,False,5
one night,147949,One Night Ultimate Werewolf,2014,1.38,180956,One Night Ultimate Vampire,2016,1.59,True,2,0.206,True,False,5
one night,163166,One Night Ultimate Werewolf: Daybreak,2015,1.41,180956,One Night Ultimate Vampire,2016,1.59,True,1,0.182,True,False,5
one night,255293,One Night Ultimate Super Villains,2019,1.5,180956,One Night Ultimate Vampire,2016,1.59,True,3,0.088,True,False,5
puerto rico,3076,Puerto Rico,2002,3.27,165332,Puerto Rico,2007,3.08,True,5,0.189,True,False,4
puerto rico,108687,Puerto Rico,2011,3.22,165332,Puerto Rico,2007,3.08,True,4,0.147,True,False,4
puerto rico,165332,Puerto Rico,2007,3.08,3076,Puerto Rico,2002,3.27,True,5,0.189,True,False,4
century: golem,283619,Century: Golem Edition – Eastern Mountains,2019,2.19,312318,Century: Golem Edition – An Endless World,2020,2.14,True,1,0.05,True,False,3
century: golem,312318,Century: Golem Edition – An Endless World,2020,2.14,283619,Century: Golem Edition – Eastern Mountains,2019,2.19,True,1,0.05,True,False,3
room 25,127024,Room 25,2013,1.93,212956,Room 25 Ultimate,2016,2.14,True,3,0.213,True,False,2
room 25,212956,Room 25 Ultimate,2016,2.14,127024,Room 25,2013,1.93,True,3,0.213,True,False,2
the champion of the wild,186904,The Champion of the Wild,2018,1.2,295503,The Champion of the Wild (Second Edition),2019,1.2,True,1,0.0,True,False,2
the champion of the wild,295503,The Champion of the Wild (Second Edition),2019,1.2,186904,The Champion of the Wild,2018,1.2,True,1,0.0,True,False,2
last will,201856,Last Will,2016,2.5,97842,Last Will,2011,2.72,True,5,0.216,True,False,2
last will,97842,Last Will,2011,2.72,201856,Last Will,2016,2.5,True,5,0.216,True,False,2
arkham horror: the card game,205637,Arkham Horror: The Card Game,2016,3.57,359609,Arkham Horror: The Card Game (Revised Edition),2021,3.74,True,5,0.177,True,False,2
arkham horror: the card game,359609,Arkham Horror: The Card Game (Revised Edition),2021,3.74,205637,Arkham Horror: The Card Game,2016,3.57,True,5,0.177,True,False,2
tokyo highway,215463,Tokyo Highway,2016,1.41,261901,Tokyo Highway,2018,1.46,True,2,0.046,True,False,2
tokyo highway,261901,Tokyo Highway,2018,1.46,215463,Tokyo Highway,2016,1.41,True,2,0.046,True,False,2
viticulture,128621,Viticulture,2013,2.95,183394,Viticulture Essential Edition,2015,2.9,True,2,0.047,True,False,2
viticulture,183394,Viticulture Essential Edition,2015,2.9,128621,Viticulture,2013,2.95,True,2,0.047,True,False,2
pandánte,140163,Pandánte,2014,1.95,174852,Pandánte (Second Edition),2015,2.1,True,1,0.153,True,False,2
pandánte,174852,Pandánte (Second Edition),2015,2.1,140163,Pandánte,2014,1.95,True,1,0.153,True,False,2
kitchen rush,223953,Kitchen Rush,2017,2.19,287938,Kitchen Rush (Revised Edition),2019,2.12,True,2,0.07,True,False,2
