game_id,title,n_obs,adj_mean,residual_Q3bFam,SE,hiddenness,ref_penetration,hobby_well_known,is_solo_first,is_duel,is_edition,outcome_pass2,outcome_pass5_final,move_type,reason
392513,Mindbug: Beyond Eternity,510,8.386,0.786,0.0528,eligible,0.00182,0,0,1,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient | monitor: euro_duel (max≤2 Euro not wargame not solo, 1079 7.3% pop, spec 0.833, insufficient 21.5% — broader than wargame, monitor)"
157026,Ascension: Realms Unraveled,1154,7.753,0.752,0.0351,eligible,0.00412,0,0,0,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient"
43262,Neuroshima Hex! Duel,838,7.8,0.85,0.0412,eligible,0.00299,0,0,1,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient | monitor: euro_duel (max≤2 Euro not wargame not solo, 1079 7.3% pop, spec 0.833, insufficient 21.5% — broader than wargame, monitor)"
224678,Baseball Highlights: 2045 – Spring Training,176,7.707,0.894,0.09,eligible,0.00063,0,1,1,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient | monitor: solo_first (min1 max≤2, 691 4.7% pop, spec 0.901, insufficient 34.4% vs 23% overall, cross 80.5% vs 86.2% — monitoring: general criteria not triggered; thresholds not mode-specific)"
338697,CATAN: 3D Edition,341,8.029,0.928,0.0646,eligible,0.00121,0,0,0,1,strong_hidden_gem_evidence,excluded_not_eligible,lost_strong,"hard_exclude high confidence via deterministic game_links/contained_in/version + Game:/Series: + designer/year/weight (e.g., reimplementation_remake), confidence high — binding per §1 | note: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitoring: high 189 borderline 308 eligible 4, not model)"
373835,Unlock! Kids: Stories from the Past,252,8.077,1.206,0.0752,eligible,0.0009,0,0,0,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient"
296345,Sherlock Holmes Consulting Detective: The Baker Street Irreg,1404,8.415,0.826,0.0319,eligible,0.00502,1,0,0,0,strong_hidden_gem_evidence,niche_but_high_quality,lost_strong,"hobby_well_known ref_penetration 0.502% >0.5% of hobby core 279108 despite n_obs<1700 — numerically obscure but hobby-obscure order gap (eligible 0.146% vs exclude 3.47%, max eligible 0.589%) — binding per §4 | note: hobby_well_known ref_penetration 0.502% >0.5% (360 eligible 2.95%, max eligible 0.589% wargame, 0% >1% — monitoring not hard hiddenness gate)"
153498,Kamisado Max,155,7.602,1.124,0.0959,eligible,0.00055,0,0,1,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient | monitor: euro_duel (max≤2 Euro not wargame not solo, 1079 7.3% pop, spec 0.833, insufficient 21.5% — broader than wargame, monitor)"
331259,Sleeping Gods: Kickstarter Edition,315,8.676,1.031,0.0672,eligible,0.00113,0,0,0,1,strong_hidden_gem_evidence,excluded_not_eligible,lost_strong,"hard_exclude high confidence via deterministic game_links/contained_in/version + Game:/Series: + designer/year/weight (e.g., reimplementation_remake), confidence high — binding per §1 | note: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitoring: high 189 borderline 308 eligible 4, not model)"
62814,Tumblin-Dice Medium,215,7.614,1.533,0.0814,eligible,0.00077,0,0,0,0,strong_hidden_gem_evidence,plausible_hidden_gem,lost_strong,"good+underrated+hidden but one dimension borderline/moderate (or borderline hiddenness, or Q4 0.50-0.60, or cross borderline) — not decisive niche/insufficient"
147190,Yggdrasil (Second Edition with Asgard Expansion),250,7.942,1.096,0.0755,eligible,0.00089,0,0,0,1,niche_but_high_quality,strong_hidden_gem_evidence,gained_strong,"strong: hidden eligible; quality robust LB 7.79>=7.0; Q4 robust 1.07>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.94 resid 1.10 — passes all 6 dimensions | monitor: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitori"
212956,Room 25 Ultimate,873,7.596,1.051,0.0404,eligible,0.00311,0,0,0,1,niche_but_high_quality,strong_hidden_gem_evidence,gained_strong,"strong: hidden eligible; quality robust LB 7.52>=7.0; Q4 robust 1.02>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.60 resid 1.05 — passes all 6 dimensions | monitor: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitori"
367396,Avalon: Big Box,398,8.347,0.937,0.0598,eligible,0.00142,0,0,0,1,niche_but_high_quality,strong_hidden_gem_evidence,gained_strong,"strong: hidden eligible; quality robust LB 8.23>=7.0; Q4 robust 0.86>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.35 resid 0.94 — passes all 6 dimensions | monitor: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitori"
317030,Quest: Avalon Big Box Edition,322,8.284,1.079,0.0665,eligible,0.00115,0,0,0,1,niche_but_high_quality,strong_hidden_gem_evidence,gained_strong,"strong: hidden eligible; quality robust LB 8.15>=7.0; Q4 robust 0.98>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 8.28 resid 1.08 — passes all 6 dimensions | monitor: edition_title (title pattern 501 3.41% pop, per-pattern n<50 below gate, niche enriched 24.5% vs strong 5.1% — monitori"
