pattern_label,pattern_regex,n_games,pct_pop,mean_resid_Q3bFam,median_resid,share_top5_pct,overlap_strong_n,overlap_plausible_n,overlap_niche_n,overlap_insufficient_n,overlap_1700_eligible_n,passes_n50_gate,beta_added,ols_se,fold_betas,fold_pos_5,cv_r2_ext,delta_cv_r2,spearman_vs_Q3bFam,jaccard_top1,jaccard_top5,with_Game_family_n,with_high_link_n,would_keep,screening_strong_39_to,note
collectors,(?i)collector'?s?\s*edition,21,0.14,0.1786,0.1801,33.3,0,0,8,0,8,False,,,,,,,,,,15,3,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
ultimate,(?i)ultimate\s*edition,7,0.05,0.4853,0.4707,14.3,0,0,1,0,1,False,,,,,,,,,,5,2,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
kickstarter,(?i)kickstarter,16,0.11,0.3631,0.3612,18.8,1,2,0,0,3,False,,,,,,,,,,4,3,False,n<50 no CV — 39->38 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
complete_collector,(?i)complete\s*collector,1,0.01,1.2661,1.2661,100.0,0,0,1,0,1,False,,,,,,,,,,1,0,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
essential,(?i)essential\s*edition,3,0.02,0.5215,0.5969,0.0,0,0,0,0,0,False,,,,,,,,,,2,1,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
second_edition,(?i)second\s*edition,112,0.76,0.2005,0.1732,7.1,0,0,7,0,6,True,0.2043,0.0507,+0.203 +0.210 +0.215 +0.218 +0.172,5.0,0.6038,0.0004,0.9991,0.973,0.989,29,10,False,39->39 if hard (model Jaccard 0.973),heterogeneous per-pattern below gate except edition_any/second_edition
anniversary,(?i)anniversary,12,0.08,0.1395,0.3764,33.3,0,0,4,0,4,False,,,,,,,,,,6,2,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
deluxe,(?i)deluxe,35,0.24,0.2317,0.2534,11.4,0,0,3,0,3,False,,,,,,,,,,15,1,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
3d_edition,(?i)3d\s*edition,1,0.01,0.9278,0.9278,100.0,1,0,0,0,1,False,,,,,,,,,,1,1,False,n<50 no CV — 39->38 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
premium,(?i)premium,1,0.01,0.399,0.399,0.0,0,0,0,0,0,False,,,,,,,,,,1,0,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
big_box,(?i)big\s*box,8,0.05,0.8607,0.9532,62.5,0,0,5,0,5,False,,,,,,,,,,7,0,False,n<50 no CV — 39->39 hypothetical but below gate,heterogeneous per-pattern below gate except edition_any/second_edition
edition_any,(?i)(edition|anniversary|deluxe|premium|heritage|big box|collector|ultimate|essential|revised|second edition|kickstarter),501,3.41,0.1157,0.1411,10.6,2,6,40,7,53,True,0.1229,0.0245,+0.125 +0.119 +0.148 +0.127 +0.096,5.0,0.6039,0.0006,0.9989,0.921,0.957,246,47,False,39->37 if hard (model Jaccard 0.921),heterogeneous per-pattern below gate except edition_any/second_edition
