hidden_bucket,n_games,pct_pop,mean_n_obs,median_n_obs,mean_ref_penetration,median_ref_penetration,p90_ref_penetration,share_high_penetration_gt5pct
eligible_<1700,12186,82.90923935229283,416.59740686033155,267.0,0.001464400278469361,0.0009315390458173897,0.003489688579331298,0.0
borderline_1700-2500,694,4.721730847734386,2034.9697406340058,1998.5,0.0072350702747191456,0.007110150909325423,0.008515341731516116,0.0
exclude_>2500,1818,12.369029799972786,9712.531353135313,5164.0,0.03467218559997508,0.01843193315849062,0.07571656849678259,0.1771177117711771
eligible_<1700_pen_ge1pct,0,0.0,,,,,,
eligible_<1700_pen_ge5pct,0,0.0,,,,,,
eligible_<1700_pen_ge10pct,0,0.0,,,,,,
eligible_<1700_pen_ge20pct,0,0.0,,,,,,
eligible_<1700_pen_ge50pct,0,0.0,,,,,,
eligible_<1700_pen_ge80pct,0,0.0,,,,,,
wargame_eligible_pen_gt20pct,0,0.0,,,,,,
