bucket,n,mean_pen,median_pen,p90,max_pen,share_gt_0_5pct,share_gt_1pct,share_gt_5pct,category
eligible,12186,0.0014644002784693108,0.0009315390458173,0.0034896885793312,0.0060729180102325,0.029542097488921712,0.0,0.0,
borderline,694,0.007235070274719097,0.00711015090932535,0.008515341731516031,0.0089284434699112,1.0,0.0,0.0,
exclude,1818,0.03467218559997502,0.0184319331584906,0.07571656849678256,0.4357596342634392,1.0,0.8971397139713971,0.1771177117711771,
,33,0.0018026040533456454,0.0014331369935652,,0.0038658870401421,0.0,,,strong_hidden_gem_evidence
,165,0.0019485885989174538,0.0013435659314673,,0.0084375940496152,0.07272727272727272,,,plausible_hidden_gem
,165,0.0014765871015064394,0.0008491336686873,,0.008896197887556,0.03636363636363636,,,niche_but_high_quality
,119,0.0005804204823938623,0.0004406896255213,,0.0078535907247373,0.008403361344537815,,,insufficient_evidence
,25,0.004744256703498239,0.0020780486406695,,0.0348861372658612,0.24,,,eligibility_hard_exclude
,61,0.0016284312764997706,0.0008240537712999,,0.0139336744199378,0.06557377049180328,,,eligibility_borderline
,446,0.0029964773749762605,0.0008742135660747,,0.0827493300084555,0.08968609865470852,,,eligibility_eligible
