game_id,title,year,n_obs,adj_mean,expected_Q3bFam,resid_Q3bFam,resid_Q4Fam,se_adj,lower_bound_adj,hiddenness_bucket,eligibility_flag,confidence,max_eco,taxonomy,overlap_status_prop7c,sensitivity_class_prop7c,has_broad_specialist,has_niche_drop,n_supported_ge10,spec_primary_share_ge10,tvd_volume_global,ref_penetration,hobby_well_known,is_solo_first,is_duel,is_wargame_duel,is_euro_duel,is_edition_title,is_volume_sequel,final_outcome_category,final_reason,screening_evidence_final_reason
12,Ra,1999.0,27540,8.040775564758325,7.424339622304419,0.6164359424539061,0.6015797802317415,0.007191484154628,8.026680255815254,exclude,eligible,eligible,19,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,False,True,4,,0.0843872598544089,0.098671482006965,1,0,0,0,0,0,0,excluded_popular_not_hidden,"hidden exclude >2500 (n_obs 27540 mean 9713 vs eligible 417, penetration 9.87% vs eligible 0.146%)","hidden exclude >2500 (n_obs 27540 mean 9713 vs eligible 417, penetration 9.87% vs eligible 0.146%) | note: ecosystem max_eco 19 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates); hobby_well_known ref_penetration 9.867% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
2641,"Barbarian, Kingdom & Empire",1983.0,123,7.504335064481186,6.557518017979588,0.9468170465015984,0.9763452887763008,0.1076088375982068,7.2934217427887,eligible,eligible,eligible,0,insufficient_evidence,insufficient_overlap,insufficient_overlap,True,False,3,0.926829268292683,0.0748282300326151,0.0004048612006821,0,0,0,0,0,0,0,insufficient_evidence,"insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 3, spec 0.93, max_w 2874.3148872154165)","insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 3, spec 0.93, max_w 2874.3148872154165)"
4688,Angola,1988.0,540,8.532192604514535,7.256964832903307,1.2752277716112277,1.1921475751620498,0.0513574693852763,8.431531964519394,eligible,eligible,eligible,16,moderate_audience_selectivity,borderline_overlap,strongly_sensitive,True,False,4,0.9666666666666668,0.1302838973816299,0.0018809923040543,0,0,0,0,0,0,0,niche_but_high_quality,high spec 0.97>0.95 (q75 0.96) — specialist,"high spec 0.97>0.95 (q75 0.96) — specialist | note: ecosystem max_eco 16 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
5243,Montage,1973.0,209,7.713078492508855,6.339803739090195,1.3732747534186602,1.3376136001988843,0.0825519531152329,7.551276664402999,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,2,,0.4473116446606396,0.0007452312366539,0,0,0,0,0,0,0,niche_but_high_quality,high TVD 0.45>0.35 — audience divergence,high TVD 0.45>0.35 — audience divergence
5369,Hordes of the Things,1991.0,253,7.5083972175308284,6.681739451002565,0.8266577665282631,0.8569867319695943,0.0750309137158037,7.361336626647853,eligible,eligible,eligible,3,moderate_audience_selectivity,insufficient_overlap,insufficient_overlap,True,False,7,0.8972332015810277,0.0747300098061902,0.0008240537712999,0,0,0,0,0,0,0,insufficient_evidence,"insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 7, spec 0.90, max_w 10229.090345484505)","insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 7, spec 0.90, max_w 10229.090345484505)"
5452,"DAK: The Campaign in North Africa, 1940-1942",1997.0,196,8.401652134454874,7.592897207498757,0.8087549269561176,0.7436472958498364,0.0852456958425139,8.234570570603546,eligible,eligible,eligible,18,high_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,4,0.9897959183673468,0.0432232845784488,0.0004980151052639,0,0,1,1,0,0,0,niche_but_high_quality,taxonomy high_audience_selectivity — specialist-dependent,"taxonomy high_audience_selectivity — specialist-dependent | note: wargame_duel (Wargame & max≤2, 1153 7.8% pop, spec 0.906, insufficient 47.7% vs Euro 21.5% — doubly niche monitor); ecosystem max_eco 18 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
5686,Stargrunt II,1996.0,145,7.625455827965627,6.8507555711331065,0.7747002568325208,0.8155705551233225,0.0991097760339054,7.431200666939173,eligible,eligible,eligible,0,insufficient_evidence,insufficient_overlap,insufficient_overlap,True,False,3,0.8413793103448276,0.1474300234357391,0.0004442724680052,0,0,0,0,0,0,0,insufficient_evidence,"insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 3, spec 0.84, max_w 3469.00609754914)","insufficient_overlap (prop insufficient 34.4% solo_first vs 23% overall, 33.3% duel, 47.7% wargame_duel vs Euro 21.5%) + cross thin or unidentified counterfactual — valid we can't tell (n_sup 3, spec 0.84, max_w 3469.00609754914)"
8045,Princes of the Renaissance,2003.0,2339,7.864250860940865,7.349963528559249,0.514287332381616,0.4880858727170674,0.0246766036122978,7.815884717860761,borderline,eligible,eligible,0,high_audience_selectivity,borderline_overlap,strongly_sensitive,True,False,7,0.9581017528858486,0.2513402134198611,0.008362354357453,1,0,0,0,0,0,0,niche_but_high_quality,taxonomy high_audience_selectivity — specialist-dependent,"taxonomy high_audience_selectivity — specialist-dependent | note: hobby_well_known ref_penetration 0.836% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990.0,174,7.863286095732696,6.85448405313198,1.008802042600716,0.950855061724325,0.0904744333384248,7.685956206389383,eligible,eligible,eligible,0,high_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,3,0.942528735632184,0.1083495636656241,0.0005410092150708,0,0,0,0,0,0,0,niche_but_high_quality,taxonomy high_audience_selectivity — specialist-dependent,taxonomy high_audience_selectivity — specialist-dependent
12608,Chess960,1996.0,158,8.110360596352983,6.8773613229811446,1.2329992733718385,1.223780063061911,0.0949449679809969,7.924268459110229,eligible,eligible,eligible,0,low_audience_selectivity,adequate_overlap,moderately_sensitive,True,False,1,,0.1459300981043225,0.0005517577425226,0,0,1,0,1,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.92>=7.0; Q4 robust 1.22>=0.60; taxonomy low_audience_selectivity; overlap adequate_overlap; sens moderately_sensitive; cross broad (n_sup 1 has_broad True, no niche_drop); adj 8.11 resid 1.23 (≥P32) — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.92>=7.0; Q4 robust 1.22>=0.60; taxonomy low_audience_selectivity; overlap adequate_overlap; sens moderately_sensitive; cross broad (n_sup 1 has_broad True, no niche_drop); adj 8.11 resid 1.23 (≥P32) — passes all 6 dimensions per definition | monitor: euro_duel (max≤2 Euro not wargame not solo, 1079 7.3% pop spec 0.833 insufficient 21.5% vs wargame 47.7% — broader than wargame, monitor)"
12897,La Bataille de Ligny,1991.0,217,7.976467959678571,7.507374858079409,0.4690931015991619,0.461949529048427,0.0810159686511251,7.817676661122365,eligible,eligible,eligible,12,high_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,3,0.9815668202764976,0.1328446069866696,0.0005625062699743,0,0,1,1,0,0,0,niche_but_high_quality,taxonomy high_audience_selectivity — specialist-dependent,"taxonomy high_audience_selectivity — specialist-dependent | note: wargame_duel (Wargame & max≤2, 1153 7.8% pop, spec 0.906, insufficient 47.7% vs Euro 21.5% — doubly niche monitor); ecosystem max_eco 12 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
17133,Railways of the World,2005.0,12114,8.025144865549422,7.656967570831476,0.3681772947179453,0.1603221848250129,0.0108431810968845,8.003892230599527,exclude,eligible,eligible,4,low_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,4,,0.0607865240869081,0.0432520744657981,1,0,0,0,0,0,0,excluded_popular_not_hidden,"hidden exclude >2500 (n_obs 12114 mean 9713 vs eligible 417, penetration 4.33% vs eligible 0.146%)","hidden exclude >2500 (n_obs 12114 mean 9713 vs eligible 417, penetration 4.33% vs eligible 0.146%) | note: hobby_well_known ref_penetration 4.325% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
22766,Die Siedler von Catan: Das Kartenspiel – 10th Anniversary Special Edition Tin Box,2006.0,395,7.634883303726444,6.679174518754236,0.9557087849722086,0.92046508156118,0.0600484702383417,7.517188302059294,eligible,hard_exclude,high,40,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,4,,0.0818271317033273,0.0014008914112099,0,0,1,0,1,1,0,excluded_not_eligible,"hard_exclude high confidence via deterministic game_links/contained_in/version + Game:/Series: + designer/year/weight + BGG page — binding per 6A (reason: contained_in target of 278 (Catan Card Game) via game_links contained_in + families ['Game: Catan', 'Game: Catan Card Game'] + title 'Die Siedler von )","hard_exclude high confidence via deterministic game_links/contained_in/version + Game:/Series: + designer/year/weight + BGG page — binding per 6A (reason: contained_in target of 278 (Catan Card Game) via game_links contained_in + families ['Game: Catan', 'Game: Catan Card Game'] + title 'Die Siedler von ) | note: euro_duel (max≤2 Euro not wargame not solo, 1079 7.3% pop spec 0.833 insufficient 21.5% vs wargame 47.7% — broader than wargame, monitor); edition_title (title pattern 132/1581 8.3% pool vs 501/14698 3.41% pop, per-pattern n<50 below gate, niche enriched — monitoring); ecosystem max_eco 40 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
23604,The World Cup Game,2006.0,741,7.527375316005767,6.540834485851095,0.986540830154672,0.9525128233265648,0.0438421043953026,7.441444791390974,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,4,,0.2846445252732605,0.0026441377531278,0,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.44>=7.0; Q4 robust 0.95>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 4 has_broad True, no niche_drop); adj 7.53 resid 0.99 (≥P32) — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.44>=7.0; Q4 robust 0.95>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 4 has_broad True, no niche_drop); adj 7.53 resid 0.99 (≥P32) — passes all 6 dimensions per definition"
30645,Tammany Hall,2007.0,4375,7.773017390778109,7.275112712103322,0.4979046786747867,0.4619801530056397,0.0180431129230355,7.73765288944896,exclude,eligible,eligible,0,low_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,4,,0.1594540105248511,0.0156570216546999,1,0,0,0,0,0,0,excluded_popular_not_hidden,"hidden exclude >2500 (n_obs 4375 mean 9713 vs eligible 417, penetration 1.57% vs eligible 0.146%)","hidden exclude >2500 (n_obs 4375 mean 9713 vs eligible 417, penetration 1.57% vs eligible 0.146%) | note: hobby_well_known ref_penetration 1.566% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
30957,Tribune: Primus Inter Pares,2007.0,4660,7.681127930775768,7.336554745456357,0.34457318531941,0.4340919305566775,0.0174826610442467,7.646861915129044,exclude,eligible,eligible,0,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,False,True,4,,0.218860264356856,0.016685297447583,1,0,0,0,0,0,0,excluded_popular_not_hidden,"hidden exclude >2500 (n_obs 4660 mean 9713 vs eligible 417, penetration 1.67% vs eligible 0.146%)","hidden exclude >2500 (n_obs 4660 mean 9713 vs eligible 417, penetration 1.67% vs eligible 0.146%) | note: hobby_well_known ref_penetration 1.669% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
31627,Ticket to Ride: Nordic Countries,2007.0,14132,7.858752074705099,7.257429497407639,0.6013225772974602,0.5032501468392807,0.0100391901796588,7.839075261952968,exclude,borderline,borderline,21,low_audience_selectivity,borderline_overlap,moderately_sensitive,False,True,4,,0.0744729798920346,0.0505431589205612,1,0,0,0,0,0,0,excluded_popular_not_hidden,"hidden exclude >2500 (n_obs 14132 mean 9713 vs eligible 417, penetration 5.05% vs eligible 0.146%)","hidden exclude >2500 (n_obs 14132 mean 9713 vs eligible 417, penetration 5.05% vs eligible 0.146%) | note: borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard, 230 total pool borderline); ecosystem max_eco 21 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates); hobby_well_known ref_penetration 5.054% >0.5% (360 eligible 2.95%, max 0.589% wargame, 0% >1% — monitoring)"
