game_id,title,year,n_obs,adj_mean,expected_Q3bFam,residual_Q3bFam,residual_Q4Fam,SE,lower_bound_adj,hiddenness_bucket,eligibility_flag,confidence,max_eco,taxonomy,overlap_status_prop7c,sensitivity_class_prop7c,has_broad_specialist,has_niche_drop,n_supported_ge10,spec_primary_share_ge10,tvd_volume_global,ref_penetration,hobby_well_known,is_solo_first,is_duel,is_wargame_duel,is_euro_duel,is_edition_title,final_outcome_category,final_reason,screening_evidence_final_reason
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,7.54142635668983,5.865516804987347,1.675909551702483,1.6041756285978517,0.0613028818034207,7.421272708355126,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.6965699208443272,0.098880594342443,0.0013435659314673,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.42>=7.0; Q4 robust 1.60>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.54 resid 1.68 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.42>=7.0; Q4 robust 1.60>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.54 resid 1.68 — passes all 6 dimensions per definition"
275972,Star Trek: Alliance – Dominion War Campaign,2021.0,193,8.586067013741074,7.245367226005122,1.340699787735952,1.3244635555031223,0.0859056723713636,8.417691895893201,eligible,eligible,eligible,2,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,6,0.7772020725388601,0.0898179361812925,0.0006843229144273,0,1,1,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.42>=7.0; Q4 robust 1.32>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 6 has_broad True, no niche_drop); adj 8.59 resid 1.34 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.42>=7.0; Q4 robust 1.32>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 6 has_broad True, no niche_drop); adj 8.59 resid 1.34 — passes all 6 dimensions per definition | monitor: solo_first (min1 max≤2, 691 4.7% pop, spec 0.901, insufficient 34.4% vs 23% overall, cross 80.5% vs 86.2% — monitoring: general criteria not triggered; thresholds not mode-specific)"
244258,The Red Dragon Inn 7: The Tavern Crew,2018.0,310,7.855604716276058,6.541730332767488,1.3138743835085709,1.4141990850659347,0.0677828224813342,7.722750384212643,eligible,eligible,eligible,11,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,6,0.667741935483871,0.2296324705992541,0.0010820184301417,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.72>=7.0; Q4 robust 1.41>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 6 has_broad True, no niche_drop); adj 7.86 resid 1.31 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.72>=7.0; Q4 robust 1.41>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 6 has_broad True, no niche_drop); adj 7.86 resid 1.31 — passes all 6 dimensions per definition | monitor: ecosystem max_eco 11 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
340216,Heredity: The Book of Swan,2023.0,176,8.627492692999917,7.381937554599792,1.2455551384001249,1.144853577018866,0.089958905305302,8.451173238601525,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,6,0.8352272727272727,0.0789818079822536,0.0006269974346847,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.45>=7.0; Q4 robust 1.14>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 6 has_broad True, no niche_drop); adj 8.63 resid 1.25 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.45>=7.0; Q4 robust 1.14>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 6 has_broad True, no niche_drop); adj 8.63 resid 1.25 — passes all 6 dimensions per definition"
319604,Ricochet: A la poursuite du Comte courant,2020.0,223,7.738709549479767,6.572476004494614,1.166233544985153,1.1060003200943411,0.0799186362394187,7.582069022450506,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,5,0.8789237668161435,0.0930779148061687,0.0007918081889447,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.58>=7.0; Q4 robust 1.11>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 7.74 resid 1.17 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.58>=7.0; Q4 robust 1.11>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 7.74 resid 1.17 — passes all 6 dimensions per definition"
252432,Zoo Break,2019.0,178,7.970369187843468,6.836759539770428,1.1336096480730395,1.1104013043589207,0.0894520905382537,7.79504309038849,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,5,0.848314606741573,0.1325724695938719,0.0006269974346847,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.80>=7.0; Q4 robust 1.11>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 7.97 resid 1.13 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.80>=7.0; Q4 robust 1.11>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 7.97 resid 1.13 — passes all 6 dimensions per definition"
41090,Magnate,2008.0,210,7.683532630210059,6.559574248022903,1.1239583821871555,1.0950519031937338,0.0823551662963296,7.522116504269253,eligible,eligible,eligible,3,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,4,0.8523809523809524,0.1854349629058035,0.0007452312366539,0,0,1,0,1,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.52>=7.0; Q4 robust 1.10>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 4 has_broad True, no niche_drop); adj 7.68 resid 1.12 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.52>=7.0; Q4 robust 1.10>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 4 has_broad True, no niche_drop); adj 7.68 resid 1.12 — passes all 6 dimensions per definition | monitor: euro_duel (max≤2 Euro not wargame not solo, 1402 7.3% pop spec 0.833 insufficient 21.5% vs wargame 47.7% — broader than wargame, monitor)"
377969,Marvel United: Multiverse,2024.0,405,8.598492892011315,7.492820722619099,1.105672169392216,1.1419167935019845,0.0593024975489745,8.482259996815324,eligible,eligible,eligible,4,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8567901234567902,0.0526073085305435,0.0014331369935652,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.48>=7.0; Q4 robust 1.14>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.60 resid 1.11 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.48>=7.0; Q4 robust 1.14>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.60 resid 1.11 — passes all 6 dimensions per definition"
147190,Yggdrasil (Second Edition with Asgard Expansion),2013.0,250,7.941970165184061,6.845903818343208,1.0960663468408525,1.0718412389236225,0.0754797566847212,7.794029842082007,eligible,borderline,borderline,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.816,0.0409519332293753,0.0008921277784943,0,0,0,0,0,1,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.79>=7.0; Q4 robust 1.07>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.94 resid 1.10 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.79>=7.0; Q4 robust 1.07>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.94 resid 1.10 — passes all 6 dimensions per definition | monitor: edition_title (title pattern 55/532 10.3% pool vs 501/14698 3.41% pop, per-pattern n<50 below gate, niche enriched — monitoring); borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard exclude per 6A, 61 total pool borderline)"
317030,Quest: Avalon Big Box Edition,2021.0,322,8.283888142620466,7.205181709709015,1.078706432911451,0.9779570293974942,0.0665077966124016,8.153532861260159,eligible,borderline,borderline,5,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,5,0.7981366459627329,0.0924072008092812,0.0011536752798199,0,0,0,0,0,1,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.15>=7.0; Q4 robust 0.98>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 8.28 resid 1.08 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.15>=7.0; Q4 robust 0.98>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 5 has_broad True, no niche_drop); adj 8.28 resid 1.08 — passes all 6 dimensions per definition | monitor: edition_title (title pattern 55/532 10.3% pool vs 501/14698 3.41% pop, per-pattern n<50 below gate, niche enriched — monitoring); borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard exclude per 6A, 61 total pool borderline)"
