game_id,title,pass6_p80_outcome,pass7_final_outcome,direction,eligibility_flag_final,reason_final
4385,A Gamut of Games,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"compilation container: contained_in target from 2 distinct bases (e.g., [789, 3406]) — candidate is anthology/compilatio"
9963,Santorini,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Santorini' eco 3 token 'santor' in title 'Santorini' + not canonical base (max 38946 vs this
12166,Funkenschlag,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
32928,Mü and Lots More,strong_hidden_gem_evidence,excluded_not_eligible,lost (strong->niche/plausible),hard_exclude,multi-game/container entry via categories Game System + description 'Compendium of intriguing trick-taking games.' (e.g.
41090,Magnate,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
43262,Neuroshima Hex! Duel,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
62814,Tumblin-Dice Medium,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,size/edition variant 'Tumblin-Dice Medium' stripped base 'Tumblin-Dice' indicates variant via title pattern Medium/Max/P
75448,Tanto Cuore: Romantic Vacation,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Tanto Cuore' eco 6 token 'tanto ' in title 'Tanto Cuore: Romantic Vacation' + not canonical 
94902,Dungeons & Dragons Starter Set,strong_hidden_gem_evidence,excluded_not_eligible,lost (strong->niche/plausible),hard_exclude,"multi-game/container entry via categories Game System + description '' (e.g., Pyramid Arcade 441 games in box) via famil"
124839,Hoplomachus: The Lost Cities,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Hoplomachus' eco 5 token 'hoplom' in title 'Hoplomachus: The Lost Cities' + not canonical ba
138704,Northern Pacific,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"established series derivative via families Series: Cube Rails eco 33 (≥20, like Series: Unlock! 47, Series: Adventures I"
139131,Hoplomachus: Rise of Rome,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Hoplomachus: Rise of Rome' shares prefix 'hoplomachus' with 3 games in pool (e.g., group m"
147190,Yggdrasil (Second Edition with Asgard Expansion),strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Yggdrasil (Second Edition with Asgard Expansion)' contains edition pattern but no version/contained_in li
152765,Thunderstone Advance: Worlds Collide,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Thunderstone Advance: Worlds Collide' shares prefix 'thunderstone advance' with 2 games in
153498,Kamisado Max,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,size/edition variant 'Kamisado Max' stripped base 'Kamisado' indicates variant via title pattern Medium/Max/Pocket etc +
156372,Heart of Crown: Fairy Garden,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Heart of Crown: Fairy Garden' shares prefix 'heart of crown' with 2 games in pool (e.g., g"
180543,"Exceed: Red Horizon – Reese, Heidi, Nehtali, and Vincent",strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"family-title overlap 'Game: Exceed Fighting System' eco 8 token 'exceed' in title 'Exceed: Red Horizon – Reese, Heidi, N"
180942,A Touch of Evil: Dark Gothic – Colonial Horror,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: A Touch of Evil: Dark Gothic' eco 2 token 'a touc' in title 'A Touch of Evil: Dark Gothic – 
187926,Islebound: Kickstarter Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Islebound: Kickstarter Edition' contains edition pattern but no version/contained_in link and no Game: fa
187988,Pyramid Arcade,strong_hidden_gem_evidence,excluded_not_eligible,lost (strong->niche/plausible),hard_exclude,"multi-game/container entry via categories Game System + description 'Twenty-two pyramid games in one box.' (e.g., Pyrami"
189190,9 Lives,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"established series derivative via families Series: Small Box Big Game (Allplay) eco 22 (≥20, like Series: Unlock! 47, Se"
194923,Techno Bowl: Arcade Football Unplugged,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Techno Bowl: Arcade Football Unplugged' contains edition pattern but no version/contained_in link and no 
200456,Ascension X: War of Shadows,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,version target of 2228 (War of the Ring) via game_links version + families ['Game: Ascension Deck Building'] but title '
204728,BattleCON: Trials of Indines,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'BattleCON: Trials of Indines' shares prefix 'battlecon' with 5 games in pool (e.g., group "
212346,Shadows of Brimstone: Forbidden Fortress,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Shadows of Brimstone: Forbidden Fortress' shares prefix 'shadows of brimstone' with 6 game
212370,Omen: Edge of the Aegean,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Omen: Edge of the Aegean' shares prefix 'omen' with 4 games in pool (e.g., group max n_obs"
212956,Room 25 Ultimate,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Room 25 Ultimate' contains edition pattern but no version/contained_in link and no Game: family — borderl
214296,Tenkatoitsu,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
214988,Railways of Nippon,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Railways of the World' eco 4 token 'railwa' in title 'Railways of Nippon' + not canonical ba
218933,Warhammer Quest: Shadows Over Hammerhal,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Warhammer Quest: Shadows Over Hammerhal' shares prefix 'warhammer quest' with 2 games in p
219217,Arena: The Contest,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
219650,Arydia: The Paths We Dare Tread,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
224678,Baseball Highlights: 2045 – Spring Training,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Baseball Highlights: 2045 – Spring Training' shares prefix 'baseball highlights' with 4 ga
228399,Okko Chronicles: Cycle of Water – Quest into Darkness,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Okko' eco 2 token 'okko' in title 'Okko Chronicles: Cycle of Water – Quest into Darkness' + 
231962,Krazy Wordz,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Krazy Wordz' shares prefix 'krazy wordz' with 2 games in pool (e.g., group max n_obs 1080 "
233261,Tidal Blades 2: Rise of the Unfolders,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,volume/sequel derivative 'Tidal Blades 2: Rise of the Unfolders' contains volume pattern (\d+:) + no Game: family but fu
247104,Blitz Bowl,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
251551,Dale of Merchants Collection,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Dale of Merchants Collection' contains edition pattern (Medium/Max/Pocket/Collector etc) + families ['Gam
251830,Alhambra: Mega Box,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Alhambra: Mega Box' contains edition pattern (Medium/Max/Pocket/Collector etc) + families ['Game: Alhambr
257145,Teenage Mutant Ninja Turtles Adventures: City Fall,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Teenage Mutant Ninja Turtles Adventures: City Fall' shares prefix 'teenage mutant ninja tu
257601,The Duke: Lord's Legacy,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
263192,Teenage Mutant Ninja Turtles Adventures: Change is Constant,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
265752,Exceed: Street Fighter – Ryu Box,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Exceed: Street Fighter – Ryu Box' contains edition pattern (Medium/Max/Pocket/Collector etc) + families [
266448,Imperium: The Contention,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
270871,Agemonia,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,version target of 2511 (Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases) via game_links version b
