game_id,title,year,n_obs,adj_mean,resid_Q3bFam,resid_Q4Fam,se_adj,hiddenness_bucket,ref_penetration,hobby_well_known,spec_primary_share_ge10,spec_primary_share_ge20,tvd_volume_global,overlap_status_prop7c,sensitivity_class_prop7c,max_weight_prop7c,n_supported_ge10,has_broad_specialist,has_niche_drop,taxonomy,is_solo_first,is_duel,is_wargame_duel,is_euro_duel,is_coop,is_edition_title,is_volume_sequel,is_container,eligibility_flag,confidence,max_eco
12,Ra,1999.0,27540,8.040775564758325,0.6164359424539061,0.6015797802317415,0.007191484154628,exclude,0.098671482006965,1,,,0.0843872598544089,adequate_overlap,stable_under_exposure_adjustment,1349.229115248863,4,False,True,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,19
2641,"Barbarian, Kingdom & Empire",1983.0,123,7.504335064481186,0.9468170465015984,0.9763452887763008,0.1076088375982068,eligible,0.0004048612006821,0,0.926829268292683,0.8373983739837398,0.0748282300326151,insufficient_overlap,insufficient_overlap,2874.3148872154165,3,True,False,insufficient_evidence,0,0,0,0,0,0,0,0,eligible,eligible,0
4688,Angola,1988.0,540,8.532192604514535,1.2752277716112277,1.1921475751620498,0.0513574693852763,eligible,0.0018809923040543,0,0.9666666666666668,0.8981481481481481,0.1302838973816299,borderline_overlap,strongly_sensitive,1904.4520566746296,4,True,False,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,16
5243,Montage,1973.0,209,7.713078492508855,1.3732747534186602,1.3376136001988843,0.0825519531152329,eligible,0.0007452312366539,0,,,0.4473116446606396,borderline_overlap,moderately_sensitive,466.9799059378618,2,True,False,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
5369,Hordes of the Things,1991.0,253,7.5083972175308284,0.8266577665282631,0.8569867319695943,0.0750309137158037,eligible,0.0008240537712999,0,0.8972332015810277,0.7628458498023716,0.0747300098061902,insufficient_overlap,insufficient_overlap,10229.090345484505,7,True,False,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,3
5452,"DAK: The Campaign in North Africa, 1940-1942",1997.0,196,8.401652134454874,0.8087549269561176,0.7436472958498364,0.0852456958425139,eligible,0.0004980151052639,0,0.9897959183673468,0.8979591836734694,0.0432232845784488,borderline_overlap,moderately_sensitive,1460.661088329941,4,True,False,high_audience_selectivity,0,1,1,0,0,0,0,0,eligible,eligible,18
5686,Stargrunt II,1996.0,145,7.625455827965627,0.7747002568325208,0.8155705551233225,0.0991097760339054,eligible,0.0004442724680052,0,0.8413793103448276,0.7103448275862069,0.1474300234357391,insufficient_overlap,insufficient_overlap,3469.00609754914,3,True,False,insufficient_evidence,0,0,0,0,0,0,0,0,eligible,eligible,0
8045,Princes of the Renaissance,2003.0,2339,7.864250860940865,0.514287332381616,0.4880858727170674,0.0246766036122978,borderline,0.008362354357453,1,0.9581017528858486,0.8909790508764429,0.2513402134198611,borderline_overlap,strongly_sensitive,760.4140070642339,7,True,False,high_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990.0,174,7.863286095732696,1.008802042600716,0.950855061724325,0.0904744333384248,eligible,0.0005410092150708,0,0.942528735632184,0.8275862068965517,0.1083495636656241,borderline_overlap,moderately_sensitive,1381.58297395466,3,True,False,high_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
12608,Chess960,1996.0,158,8.110360596352983,1.2329992733718385,1.223780063061911,0.0949449679809969,eligible,0.0005517577425226,0,,,0.1459300981043225,adequate_overlap,moderately_sensitive,513.1601543488134,1,True,False,low_audience_selectivity,0,1,0,1,0,0,0,0,eligible,eligible,0
12897,La Bataille de Ligny,1991.0,217,7.976467959678571,0.4690931015991619,0.461949529048427,0.0810159686511251,eligible,0.0005625062699743,0,0.9815668202764976,0.912442396313364,0.1328446069866696,borderline_overlap,moderately_sensitive,1532.7736210817966,3,True,False,high_audience_selectivity,0,1,1,0,0,0,0,0,eligible,eligible,12
17133,Railways of the World,2005.0,12114,8.025144865549422,0.3681772947179453,0.1603221848250129,0.0108431810968845,exclude,0.0432520744657981,1,,,0.0607865240869081,adequate_overlap,stable_under_exposure_adjustment,1046.0640395491607,4,True,False,low_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,4
23604,The World Cup Game,2006.0,741,7.527375316005767,0.986540830154672,0.9525128233265648,0.0438421043953026,eligible,0.0026441377531278,0,,,0.2846445252732605,borderline_overlap,moderately_sensitive,1540.6331644893262,4,True,False,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
30645,Tammany Hall,2007.0,4375,7.773017390778109,0.4979046786747867,0.4619801530056397,0.0180431129230355,exclude,0.0156570216546999,1,,,0.1594540105248511,adequate_overlap,stable_under_exposure_adjustment,1097.0816348893352,4,True,False,low_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
30957,Tribune: Primus Inter Pares,2007.0,4660,7.681127930775768,0.34457318531941,0.4340919305566775,0.0174826610442467,exclude,0.016685297447583,1,,,0.218860264356856,adequate_overlap,stable_under_exposure_adjustment,884.7182543444069,4,False,True,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,0
31627,Ticket to Ride: Nordic Countries,2007.0,14132,7.858752074705099,0.6013225772974602,0.5032501468392807,0.0100391901796588,exclude,0.0505431589205612,1,,,0.0744729798920346,borderline_overlap,moderately_sensitive,1777.881053373556,4,False,True,low_audience_selectivity,0,0,0,0,0,0,0,0,borderline,borderline,21
31954,"A Victory Denied: Crisis at Smolensk, July-September, 1941",2009.0,415,7.618768712069449,0.3711639390100538,0.2774334186303369,0.0585836528310325,eligible,0.0013292345615317,0,0.9734939759036144,0.8746987951807229,0.0646322291931752,borderline_overlap,strongly_sensitive,3033.181672656606,4,False,True,moderate_audience_selectivity,0,1,1,0,0,0,0,0,eligible,eligible,16
41006,Ordo,2009.0,109,7.683836580063044,0.7993909167099531,0.8007879969741065,0.1143107954518981,eligible,0.0003475357209395,0,,,0.2214835448636005,insufficient_overlap,insufficient_overlap,719.0244324003781,2,False,True,insufficient_evidence,0,1,0,1,0,0,0,0,eligible,eligible,0
62230,Wild Blue Yonder,2017.0,303,8.031898303663032,0.5500321058185591,0.6831469098427476,0.0685613217679009,eligible,0.001028275792883,0,0.9273927392739274,0.8217821782178217,0.0721601263645176,borderline_overlap,strongly_sensitive,4657.398223190966,4,True,False,moderate_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,6
62972,The Barbarossa Campaign,2010.0,227,8.058188629726226,0.514652086637442,0.5509066231338142,0.0792113777619322,eligible,0.0007631454490734,0,0.9118942731277532,0.8325991189427313,0.1122927907045116,borderline_overlap,moderately_sensitive,2793.885594761769,4,True,False,moderate_audience_selectivity,1,1,1,0,0,0,0,0,eligible,eligible,0
63170,1817,2010.0,764,9.360258130891465,0.6523831175404489,0.6714702174206195,0.0431771345054873,eligible,0.002715794602806,0,0.5942408376963351,0.2971204188481675,0.1646920060371921,insufficient_overlap,insufficient_overlap,16298.596960519855,6,False,True,moderate_audience_selectivity,0,0,0,0,0,0,0,0,borderline,borderline,81
65901,Age of Industry,2010.0,3039,7.920078271521391,0.3334365820825189,0.1880213172968092,0.0216488656768091,exclude,0.0108775097811599,1,0.974662717999342,0.922671931556433,0.2616066359185426,borderline_overlap,moderately_sensitive,631.1956992052137,7,True,False,high_audience_selectivity,0,0,0,0,0,0,0,0,eligible,eligible,10
65936,"The Blitzkrieg Legend: The Battle for France, 1940",2012.0,233,8.35601293763169,0.3516127502772495,0.2833990835127817,0.0781848370450462,eligible,0.0006592430170399,0,0.9957081545064378,0.9399141630901288,0.0971674202814957,borderline_overlap,moderately_sensitive,1907.254301789871,3,True,False,high_audience_selectivity,0,1,1,0,0,0,0,0,eligible,eligible,18
