binary_pair,users,observations,median_n,pct_of_binary_users
adjacent_9_10,659,11928,12.0,34.45
adjacent_8_9,467,6976,12.0,24.41
adjacent_7_8,308,4917,13.0,16.1
wide_8_10,185,2873,12.0,9.67
extreme_1_10,123,5660,15.0,6.43
wide_7_10,58,754,12.0,3.03
adjacent_6_7,26,466,12.0,1.36
extreme_5_10,23,738,15.0,1.2
wide_6_10,18,244,13.0,0.94
wide_6_8,14,170,11.0,0.73
wide_7_9,9,144,11.0,0.47
extreme_2_10,5,61,12.0,0.26
extreme_3_10,3,33,10.0,0.16
extreme_4_10,3,40,12.0,0.16
extreme_1_9,3,42,15.0,0.16
adjacent_5_6,2,24,12.0,0.1
adjacent_4_5,2,33,16.5,0.1
wide_5_8,2,24,12.0,0.1
adjacent_1_2,1,11,11.0,0.05
extreme_2_9,1,51,51.0,0.05
wide_5_7,1,11,11.0,0.05
