threshold,baseline,reps,p_single_value,p_k_le2,p_modal_ge80,p_modal_ge90,p_modal_eq100,p_entropy_lt05,p_top2_ge95,p_binary_extreme,p_binary_adjacent
1,uniform_1_to_10,200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,empirical_universe,200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,uniform_1_to_10,200000,0.009865,0.28126,0.009865,0.009865,0.009865,0.009865,0.28126,0.09056,0.05323
3,empirical_universe,200000,0.047095,0.499115,0.047095,0.047095,0.047095,0.047095,0.499115,0.012865,0.230065
5,uniform_1_to_10,200000,8.5e-05,0.01333,0.00435,8.5e-05,8.5e-05,8.5e-05,0.01333,0.00439,0.002545
5,empirical_universe,200000,0.003185,0.108775,0.047385,0.003185,0.003185,0.003185,0.108775,0.00108,0.0675
10,uniform_1_to_10,200000,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
10,empirical_universe,200000,0.0,0.003005,0.00161,0.000105,0.0,0.000105,0.003005,0.0,0.002705
20,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,empirical_universe,200000,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.000105,0.0,1.5e-05
50,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,empirical_universe,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,empirical_universe,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
