base_title,game_id,title,year,weight,resid_Q3bFam,in_pruned
,152241,Ultimate Werewolf,2014.0,1.1538,0.643,False
,140457,Ultimate Werewolf: Inquisition,2013.0,1.6818,0.4474,False
,2265,Ultimate Stratego,1997.0,2.1,-0.3199,False
,42336,Ultimate Tic-Tac-Toe,2008.0,2.0,0.0012,False
,920,Ultimate Outburst,1999.0,1.3571,0.4718,False
,3874,Ultimate Mastermind,1972.0,2.2623,-0.3214,False
,67148,Ultimate Werewolf: Compact Edition,2010.0,1.4444,0.9129,False
,38159,Ultimate Werewolf: Ultimate Edition,2008.0,1.494,0.7835,False
,311920,Ultimate Werewolf: Extreme,2021.0,2.4,0.9548,False
,152242,Ultimate Werewolf: Deluxe Edition,2014.0,1.5106,0.6795,False
,12304,Deluxe Pass the Pigs,2004.0,1.0714,-0.3188,False
,206715,Ultimate Werewolf Legacy,2018.0,2.5,0.0034,False
,329591,Ultimate Railroads,2021.0,3.2555,0.4814,False
,100679,Ultimate Warriorz,2011.0,1.2973,0.5116,False
one night,180956,One Night Ultimate Vampire,2016.0,1.5882,0.0526,False
one night,204431,One Night Ultimate Alien,2017.0,1.8966,0.0708,False
one night,147949,One Night Ultimate Werewolf,2014.0,1.382,0.0674,False
one night,163166,One Night Ultimate Werewolf: Daybreak,2015.0,1.4065,0.5757,False
one night,255293,One Night Ultimate Super Villains,2019.0,1.5,0.1935,False
puerto rico,3076,Puerto Rico,2002.0,3.2661,0.2873,False
puerto rico,108687,Puerto Rico,2011.0,3.2239,0.9603,True
puerto rico,165332,Puerto Rico,2007.0,3.0769,1.4572,True
puerto rico,318985,Puerto Rico,2020.0,3.0377,0.4636,True
century: golem,232832,Century: Golem Edition,2017.0,1.7089,0.5497,False
century: golem,283619,Century: Golem Edition – Eastern Mountains,2019.0,2.1905,0.2552,False
century: golem,312318,Century: Golem Edition – An Endless World,2020.0,2.14,0.3741,False
room 25,127024,Room 25,2013.0,1.9304,0.0031,False
room 25,212956,Room 25 Ultimate,2016.0,2.1429,0.9983,False
the champion of the wild,186904,The Champion of the Wild,2018.0,1.2,0.7107,False
the champion of the wild,295503,The Champion of the Wild (Second Edition),2019.0,1.2,1.0453,False
last will,201856,Last Will,2016.0,2.5,0.7356,True
last will,97842,Last Will,2011.0,2.7157,0.1177,False
arkham horror: the card game,205637,Arkham Horror: The Card Game,2016.0,3.5671,-0.0451,False
arkham horror: the card game,359609,Arkham Horror: The Card Game (Revised Edition),2021.0,3.7443,0.5463,False
tokyo highway,215463,Tokyo Highway,2016.0,1.4118,0.0807,False
tokyo highway,261901,Tokyo Highway,2018.0,1.4583,0.0792,True
viticulture,128621,Viticulture,2013.0,2.9487,0.0566,False
viticulture,183394,Viticulture Essential Edition,2015.0,2.902,0.1598,False
pandánte,140163,Pandánte,2014.0,1.9474,-0.0579,False
pandánte,174852,Pandánte (Second Edition),2015.0,2.1,0.7657,False
kitchen rush,223953,Kitchen Rush,2017.0,2.1935,0.1707,False
kitchen rush,287938,Kitchen Rush (Revised Edition),2019.0,2.1233,0.3617,False
aquasphere,289223,AquaSphere,2019.0,3.8571,0.4341,True
aquasphere,159508,AquaSphere,2014.0,3.6786,-0.2462,False
blitzkrieg!: world war two in 20 minutes,347521,Blitzkrieg!: World War Two in 20 Minutes,2021.0,1.72,0.2708,True
blitzkrieg!: world war two in 20 minutes,258210,Blitzkrieg!: World War Two in 20 Minutes,2019.0,1.908,-0.0554,False
the ancient world,259298,The Ancient World (Second Edition),2019.0,2.8571,0.1386,False
the ancient world,147253,The Ancient World,2014.0,2.7345,0.095,False
gem rush,251350,Gem Rush (Second Edition),2018.0,2.0,0.0759,False
gem rush,145393,Gem Rush,2013.0,1.7857,0.2338,False
chai,328636,Chai (Deluxe Edition),2020.0,2.0,-0.1083,False
chai,253185,Chai,2019.0,1.7097,-0.1358,False
illuminati,859,Illuminati,1982.0,2.4842,-0.3195,True
illuminati,28,Illuminati,1987.0,2.6538,-0.2961,False
cornerstone,86415,Cornerstone Essential,2010.0,1.6667,0.6022,False
cornerstone,38429,Cornerstone,2008.0,1.6786,1.1901,False
lignum,222407,Lignum (Second Edition),2017.0,4.0964,0.2976,False
lignum,174155,Lignum,2015.0,3.814,0.1932,False
alien vs predator: the hunt begins,149896,Alien vs Predator: The Hunt Begins,2015.0,3.48,-0.699,False
alien vs predator: the hunt begins,226009,Alien vs Predator: The Hunt Begins (Second Edition),2017.0,3.5556,-0.1213,False
camel up,153938,Camel Up,2014.0,1.5025,-0.1811,False
camel up,260605,Camel Up (Second Edition),2018.0,1.5114,0.1985,False
flash duel:,184145,Flash Duel: Revised Second Edition,2015.0,1.6667,1.1944,False
flash duel:,107190,Flash Duel: Second Edition,2011.0,1.6102,0.6484,False
tiny epic defenders,238656,Tiny Epic Defenders (Second Edition),2018.0,2.05,0.0334,False
tiny epic defenders,155708,Tiny Epic Defenders,2015.0,1.8165,-0.493,False
tsukuyumi: full moon down,299450,Tsukuyumi: Full Moon Down (Second Edition),2020.0,3.6552,0.0179,False
tsukuyumi: full moon down,185538,Tsukuyumi: Full Moon Down,2018.0,3.7742,0.1817,False
yggdrasil,147190,Yggdrasil (Second Edition with Asgard Expansion),2013.0,2.3889,1.0601,False
yggdrasil,71671,Yggdrasil,2011.0,2.5983,-0.0411,False
mag·blast,6209,Mag·Blast (Second Edition),2002.0,1.5455,0.3512,False
mag·blast,944,Mag·Blast,1998.0,1.5789,0.2395,False
zombie in my pocket,41372,Zombie in My Pocket,2010.0,1.375,-0.2276,True
zombie in my pocket,33468,Zombie in My Pocket,2007.0,1.3009,0.1028,False
shipwrights of the north sea,249889,Shipwrights of the North Sea (Second Edition),2017.0,2.4545,0.0631,False
shipwrights of the north sea,75547,Shipwrights of the North Sea,2014.0,2.3067,-0.2117,False
fleet: the dice game,328326,Fleet: The Dice Game (Second Edition),2020.0,2.2273,0.7698,False
fleet: the dice game,245961,Fleet: The Dice Game,2018.0,2.505,0.5289,False
vanuatu,104020,Vanuatu,2011.0,3.2906,0.2971,False
vanuatu,193927,Vanuatu (Second Edition),2016.0,3.2787,0.4798,False
project: elite,171726,Project: ELITE,2016.0,2.4483,0.4206,False
project: elite,256999,Project: ELITE,2020.0,2.4638,0.3358,False
the cousins' war,224133,The Cousins' War,2017.0,2.0,0.116,False
the cousins' war,262818,The Cousins' War (Second Edition),2018.0,2.1176,0.1818,False
elevenses for one,158882,Elevenses for One,2014.0,1.2609,-0.0237,False
elevenses for one,200430,Elevenses for One,2016.0,1.25,0.3803,False
lord of the rings: the confrontation,18833,Lord of the Rings: The Confrontation,2005.0,2.1934,0.9834,False
lord of the rings: the confrontation,3201,Lord of the Rings: The Confrontation,2002.0,2.1494,0.7159,False
trick shot,256707,Trick Shot,2021.0,2.3684,0.6489,False
trick shot,359612,Trick Shot (Second Edition),2024.0,2.5,0.5953,False
council of verona,165469,Council of Verona (Second Edition),2014.0,1.5882,-0.0275,False
council of verona,140863,Council of Verona,2013.0,1.3714,-0.1255,False
onirim,156336,Onirim (Second Edition),2014.0,1.6111,0.0526,False
onirim,71836,Onirim,2010.0,1.6517,-0.0573,False
europa universalis: the price of power,254127,Europa Universalis: The Price of Power,2023.0,4.7021,-0.0282,False
europa universalis: the price of power,370448,Europa Universalis: The Price of Power (Deluxe Edition),2023.0,4.6,0.6997,False
