game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket,hidden_bucket
12,27540,27540,0.098671482006965,exclude_>2500,exclude_>2500
173,7719,7623,0.027312008254869,exclude_>2500,exclude_>2500
178,217,213,0.0007631454490734,eligible_<1700,eligible_<1700
180,139,138,0.0004944322627799,eligible_<1700,eligible_<1700
181,34214,33414,0.1197170987574702,exclude_>2500,exclude_>2500
183,148,147,0.0005266778451352,eligible_<1700,eligible_<1700
185,713,691,0.0024757441563839,eligible_<1700,eligible_<1700
190,202,202,0.0007237341817504,eligible_<1700,eligible_<1700
195,106,102,0.0003654499333591,eligible_<1700,eligible_<1700
199,5828,5810,0.0208163148315347,exclude_>2500,exclude_>2500
206,317,317,0.0011357610674004,eligible_<1700,eligible_<1700
214,2876,2866,0.0102684265588947,exclude_>2500,exclude_>2500
424,1053,1026,0.0036759963884947,eligible_<1700,eligible_<1700
481,3669,3659,0.0131096206486378,exclude_>2500,exclude_>2500
483,12881,12618,0.0452083064620147,exclude_>2500,exclude_>2500
486,243,239,0.0008562993536552,eligible_<1700,eligible_<1700
487,274,266,0.0009530361007208,eligible_<1700,eligible_<1700
497,638,633,0.0022679392923169,eligible_<1700,eligible_<1700
499,388,381,0.0013650629863708,eligible_<1700,eligible_<1700
507,176,174,0.0006234145922008,eligible_<1700,eligible_<1700
509,786,778,0.0027874514524843,eligible_<1700,eligible_<1700
510,223,223,0.0007989738739126,eligible_<1700,eligible_<1700
514,587,572,0.0020493859007982,eligible_<1700,eligible_<1700
519,115,115,0.0004120268856499,eligible_<1700,eligible_<1700
828,383,363,0.0013005718216604,eligible_<1700,eligible_<1700
834,1056,1045,0.0037440703956891,eligible_<1700,eligible_<1700
853,348,346,0.0012396634994339,eligible_<1700,eligible_<1700
855,3469,3455,0.0123787207819195,exclude_>2500,exclude_>2500
865,222,210,0.0007523969216217,eligible_<1700,eligible_<1700
866,183,174,0.0006234145922008,eligible_<1700,eligible_<1700
869,541,537,0.0019239864138613,eligible_<1700,eligible_<1700
870,543,534,0.0019132378864095,eligible_<1700,eligible_<1700
908,3063,3042,0.0108990068360634,exclude_>2500,exclude_>2500
916,110,109,0.0003905298307465,eligible_<1700,eligible_<1700
929,8138,8075,0.0289314530575977,exclude_>2500,exclude_>2500
935,526,515,0.0018451638792152,eligible_<1700,eligible_<1700
937,306,299,0.0010712699026899,eligible_<1700,eligible_<1700
940,172,172,0.000616248907233,eligible_<1700,eligible_<1700
950,432,429,0.0015370394255986,eligible_<1700,eligible_<1700
954,125,125,0.0004478553104891,eligible_<1700,eligible_<1700
982,499,462,0.0016552732275678,eligible_<1700,eligible_<1700
988,471,466,0.0016696045975034,eligible_<1700,eligible_<1700
1017,995,994,0.0035613454290095,eligible_<1700,eligible_<1700
1032,1914,1668,0.0059761812631669,borderline_1700-2500,borderline_1700-2500
1037,638,622,0.0022285280249939,eligible_<1700,eligible_<1700
1467,269,260,0.0009315390458173,eligible_<1700,eligible_<1700
1468,105,100,0.0003582842483913,eligible_<1700,eligible_<1700
1470,230,228,0.0008168880863321,eligible_<1700,eligible_<1700
1477,122,114,0.000408444043166,eligible_<1700,eligible_<1700
1484,1618,1574,0.0056393940696791,eligible_<1700,eligible_<1700
1491,1215,1208,0.0043280737205669,eligible_<1700,eligible_<1700
1916,300,288,0.0010318586353669,eligible_<1700,eligible_<1700
1919,398,315,0.0011285953824326,eligible_<1700,eligible_<1700
1920,332,316,0.0011321782249165,eligible_<1700,eligible_<1700
1931,781,763,0.0027337088152256,eligible_<1700,eligible_<1700
1961,614,603,0.0021604540177995,eligible_<1700,eligible_<1700
1969,133,123,0.0004406896255213,eligible_<1700,eligible_<1700
1987,115,100,0.0003582842483913,eligible_<1700,eligible_<1700
1992,892,861,0.0030848273786491,eligible_<1700,eligible_<1700
1998,149,148,0.0005302606876191,eligible_<1700,eligible_<1700
2000,150,146,0.0005230950026513,eligible_<1700,eligible_<1700
2002,144,141,0.0005051807902317,eligible_<1700,eligible_<1700
2004,386,376,0.0013471487739513,eligible_<1700,eligible_<1700
2040,165,159,0.0005696719549421,eligible_<1700,eligible_<1700
2073,518,417,0.0014940453157917,eligible_<1700,eligible_<1700
2078,182,137,0.000490849420296,eligible_<1700,eligible_<1700
2079,585,455,0.0016301933301804,eligible_<1700,eligible_<1700
2091,131,123,0.0004406896255213,eligible_<1700,eligible_<1700
2099,106,106,0.0003797813032947,eligible_<1700,eligible_<1700
2114,615,606,0.0021712025452513,eligible_<1700,eligible_<1700
2121,150,134,0.0004801008928443,eligible_<1700,eligible_<1700
2130,356,349,0.0012504120268856,eligible_<1700,eligible_<1700
2133,574,556,0.0019920604210556,eligible_<1700,eligible_<1700
2138,105,83,0.0002973759261647,eligible_<1700,eligible_<1700
2157,157,149,0.000533843530103,eligible_<1700,eligible_<1700
2168,561,499,0.0017878383994726,eligible_<1700,eligible_<1700
2179,424,422,0.0015119595282113,eligible_<1700,eligible_<1700
2180,179,176,0.0006305802771686,eligible_<1700,eligible_<1700
2206,230,211,0.0007559797641056,eligible_<1700,eligible_<1700
2212,402,393,0.0014080570961778,eligible_<1700,eligible_<1700
2213,207,185,0.0006628258595239,eligible_<1700,eligible_<1700
2214,162,146,0.0005230950026513,eligible_<1700,eligible_<1700
2223,29272,28601,0.1024728778823967,exclude_>2500,exclude_>2500
2604,1325,1301,0.0046612780715708,eligible_<1700,eligible_<1700
2608,494,473,0.0016946844948908,eligible_<1700,eligible_<1700
2613,259,233,0.0008348022987517,eligible_<1700,eligible_<1700
2641,123,113,0.0004048612006821,eligible_<1700,eligible_<1700
2645,125,115,0.0004120268856499,eligible_<1700,eligible_<1700
2651,64071,64071,0.2295563007867922,exclude_>2500,exclude_>2500
2667,257,253,0.0009064591484299,eligible_<1700,eligible_<1700
2669,578,561,0.0020099746334752,eligible_<1700,eligible_<1700
2672,384,381,0.0013650629863708,eligible_<1700,eligible_<1700
2693,255,250,0.0008957106209782,eligible_<1700,eligible_<1700
2707,123,121,0.0004335239405534,eligible_<1700,eligible_<1700
2716,123,122,0.0004371067830373,eligible_<1700,eligible_<1700
2721,124,115,0.0004120268856499,eligible_<1700,eligible_<1700
