game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
1493,1853,18XX,507,132,126,0.3916913946587537,0.37388724035608306,0.27204301075268816,0.25268817204301075,337,930,211,0.6604938271604939
7823,1837: Rail Building in the Austro-Hungarian Empire,18XX,103,66,63,0.19584569732937684,0.18694362017804153,0.09462365591397849,0.09247311827956989,337,930,274,0.13580246913580246
12750,1860: Railways on the Isle of Wight,18XX,982,281,264,0.8338278931750742,0.7833827893175074,0.610752688172043,0.5849462365591398,337,930,73,0.9629629629629629
250621,18Lilliput,18XX,936,139,134,0.4124629080118694,0.39762611275964393,0.3053763440860215,0.28817204301075267,337,930,203,0.7160493827160493
282435,1882: Assiniboia,18XX,717,208,198,0.6172106824925816,0.5875370919881305,0.4397849462365591,0.4161290322580645,337,930,139,0.8148148148148148
346248,18Korea,18XX,104,37,37,0.10979228486646884,0.10979228486646884,0.06881720430107527,0.06559139784946237,337,930,300,0.012345679012345678
23421,1832: The South,18XX,125,83,82,0.24629080118694363,0.2433234421364985,0.11397849462365592,0.11290322580645161,337,930,255,0.3333333333333333
173574,1836Jr,18XX,187,95,94,0.2818991097922849,0.2789317507418398,0.16129032258064516,0.15806451612903225,337,930,243,0.4567901234567901
253607,1822CA,18XX,153,93,90,0.27596439169139464,0.26706231454005935,0.14086021505376345,0.13548387096774195,337,930,247,0.41975308641975306
272538,1828,18XX,194,111,109,0.3293768545994065,0.32344213649851633,0.17096774193548386,0.16881720430107527,337,930,228,0.5864197530864198
1447,1841: Railways in Northern Italy,18XX,343,163,153,0.4836795252225519,0.4540059347181009,0.2849462365591398,0.2731182795698925,337,930,184,0.7530864197530864
21436,18FL,18XX,217,104,103,0.3086053412462908,0.3056379821958457,0.16881720430107527,0.16451612903225807,337,930,234,0.5493827160493827
82272,Railroad Barons,18XX,320,77,73,0.228486646884273,0.2166172106824926,0.14301075268817204,0.13333333333333333,337,930,264,0.22839506172839505
96026,18OE: On the Rails of the Orient Express,18XX,291,122,116,0.3620178041543027,0.34421364985163205,0.1967741935483871,0.1870967741935484,337,930,221,0.6296296296296297
163841,18CZ,18XX,751,208,195,0.6172106824925816,0.5786350148367952,0.4376344086021505,0.410752688172043,337,930,142,0.8024691358024691
227143,1867: The Railways of Canada,18XX,106,63,60,0.18694362017804153,0.17804154302670624,0.08709677419354839,0.08494623655913978,337,930,277,0.09259259259259259
286205,18NewEngland,18XX,198,109,106,0.32344213649851633,0.314540059347181,0.16881720430107527,0.15913978494623657,337,930,231,0.5679012345679012
313129,18MS: The Railroads Come to Mississippi,18XX,309,104,101,0.3086053412462908,0.2997032640949555,0.2075268817204301,0.1989247311827957,337,930,236,0.5246913580246914
1823,1829,18XX,237,54,53,0.16023738872403562,0.1572700296735905,0.10215053763440861,0.0935483870967742,337,930,284,0.07407407407407407
20646,1824: Austria-Hungary,18XX,154,90,90,0.26706231454005935,0.26706231454005935,0.13548387096774195,0.13333333333333333,337,930,247,0.41975308641975306
23817,1861: The Railways of the Russian Empire,18XX,642,213,202,0.6320474777448071,0.599406528189911,0.4021505376344086,0.3817204301075269,337,930,135,0.8395061728395061
30771,18West,18XX,111,77,72,0.228486646884273,0.21364985163204747,0.10967741935483871,0.1064516129032258,337,930,265,0.20987654320987653
300127,1840: Vienna Tramways,18XX,188,91,87,0.27002967359050445,0.258160237388724,0.15053763440860216,0.14623655913978495,337,930,250,0.37037037037037035
360242,1822PNW,18XX,168,85,80,0.2522255192878338,0.23738872403560832,0.14193548387096774,0.14086021505376345,337,930,257,0.32098765432098764
2612,18AL,18XX,730,165,157,0.4896142433234421,0.4658753709198813,0.3387096774193548,0.3172043010752688,337,930,180,0.7777777777777778
4613,1854,18XX,117,78,78,0.2314540059347181,0.2314540059347181,0.11505376344086021,0.11290322580645161,337,930,259,0.2962962962962963
18485,18MEX,18XX,647,252,242,0.7477744807121661,0.7181008902077152,0.5032258064516129,0.4870967741935484,337,930,95,0.9259259259259259
43845,18Ardennes,18XX,101,66,65,0.19584569732937684,0.19287833827893175,0.0978494623655914,0.0956989247311828,337,930,272,0.1728395061728395
66837,1862: Railway Mania in the Eastern Counties,18XX,1216,265,247,0.7863501483679525,0.7329376854599406,0.5688172043010753,0.5333333333333333,337,930,90,0.9382716049382716
245532,18GB: The Railways of Great Britain,18XX,123,85,83,0.2522255192878338,0.24629080118694363,0.12043010752688173,0.11720430107526882,337,930,254,0.345679012345679
253608,18Chesapeake,18XX,1732,219,205,0.6498516320474778,0.6083086053412463,0.5505376344086022,0.5150537634408602,337,930,132,0.8518518518518519
325191,18Mag: Hungarian Railway History,18XX,193,93,90,0.27596439169139464,0.26706231454005935,0.15161290322580645,0.14516129032258066,337,930,247,0.41975308641975306
359211,The Old Prince 1871,18XX,215,101,95,0.2997032640949555,0.2818991097922849,0.16881720430107527,0.16236559139784945,337,930,242,0.47530864197530864
1313,1826: Railroading in France and Belgium from 1826,18XX,158,88,87,0.26112759643916916,0.258160237388724,0.13978494623655913,0.13548387096774195,337,930,250,0.37037037037037035
17405,1846: The Race for the Midwest,18XX,2998,319,297,0.9465875370919882,0.8813056379821959,0.8376344086021505,0.7774193548387097,337,930,40,0.9876543209876543
21182,1850: The MidWest,18XX,115,66,64,0.19584569732937684,0.18991097922848665,0.1010752688172043,0.0978494623655914,337,930,273,0.15432098765432098
277030,1824: Austrian-Hungarian Railway,18XX,324,133,127,0.39465875370919884,0.3768545994065282,0.23333333333333334,0.22365591397849463,337,930,210,0.6790123456790124
421,1830: Railways & Robber Barons,18XX,5628,326,305,0.9673590504451038,0.9050445103857567,0.9161290322580645,0.8365591397849462,337,930,32,1.0
422,1835,18XX,720,137,129,0.4065281899109792,0.3827893175074184,0.2709677419354839,0.24731182795698925,337,930,208,0.691358024691358
76417,Poseidon,18XX,1180,159,148,0.47181008902077154,0.4391691394658754,0.3096774193548387,0.2903225806451613,337,930,189,0.7407407407407407
183308,1844/1854,18XX,450,147,140,0.4362017804154303,0.41543026706231456,0.26881720430107525,0.25483870967741934,337,930,197,0.7283950617283951
292187,1861: Railways of the Russian Empire & 1867: Railways of Canada,18XX,458,106,100,0.314540059347181,0.29673590504451036,0.22688172043010751,0.2172043010752688,337,930,237,0.5
344937,18 India,18XX,198,93,89,0.27596439169139464,0.26409495548961426,0.14838709677419354,0.14193548387096774,337,930,248,0.3950617283950617
365357,Railways of the Lost Atlas,18XX,277,43,41,0.12759643916913946,0.12166172106824925,0.08709677419354839,0.08172043010752689,337,930,296,0.024691358024691357
3097,1849: The Game of Sicilian Railways,18XX,942,265,248,0.7863501483679525,0.7359050445103857,0.5913978494623656,0.556989247311828,337,930,89,0.9506172839506173
5684,18EU,18XX,420,165,156,0.4896142433234421,0.4629080118694362,0.3043010752688172,0.28817204301075267,337,930,181,0.7654320987654321
13924,1829 Mainline,18XX,151,62,60,0.18397626112759644,0.17804154302670624,0.10215053763440861,0.0989247311827957,337,930,277,0.09259259259259259
23540,Shikoku 1889,18XX,2196,285,267,0.8456973293768546,0.7922848664688428,0.7043010752688172,0.6612903225806451,337,930,70,0.9753086419753086
306257,18 Los Angeles,18XX,132,77,76,0.228486646884273,0.22551928783382788,0.12473118279569892,0.12258064516129032,337,930,261,0.2654320987654321
308305,21Moon,18XX,164,65,62,0.19287833827893175,0.18397626112759644,0.12688172043010754,0.11935483870967742,337,930,275,0.12345679012345678
