game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
12,Ra,Other,ALL,1.0,27540,8.040775564758325,0.6599010876702046,0.0
13,CATAN,Economic,0-4,0.2892195995058948,34418,,,
13,CATAN,Economic,5-19,0.404796517734847,48171,,,
13,CATAN,Economic,ge20,0.3059838827592582,36413,,,
47,Chinatown,Economic,0-4,0.0521686643097352,604,,,
47,Chinatown,Economic,5-19,0.2287660601879796,2652,,,
47,Chinatown,Economic,ge20,0.719065275502285,8339,,,
1,Die Macher,Economic,0-4,0.020387007601935,117,,,
1,Die Macher,Economic,5-19,0.1385625431928127,801,,,
1,Die Macher,Economic,ge20,0.8410504492052523,4868,,,
2,Dragonmaster,Other,ALL,1.0,589,6.878955030954789,0.6926991716877502,0.0
3,Samurai,Other,ALL,1.0,16336,7.824501675976537,0.6805410204020623,0.0
4,Tal der Könige,Other,ALL,1.0,356,7.036958594810162,0.8471538497330267,0.0
5,Acquire,Economic,0-4,0.0761550509005481,1555,,,
5,Acquire,Economic,5-19,0.292873923257635,5983,,,
5,Acquire,Economic,ge20,0.6309710258418167,12892,,,
7,Cathedral,Other,ALL,1.0,3582,6.726738055398506,0.6461041761693748,0.0
8,Lords of Creation,Other,ALL,1.0,210,6.390646764586606,0.7784223528354506,0.0
9,El Caballero,Other,ALL,1.0,1453,6.885714376279768,0.8232232926172646,0.0
10,Elfenland,Other,ALL,1.0,8988,6.997701291538556,0.6775658026591737,0.0
11,Bohnanza,Other,ALL,1.0,47031,7.29418289074409,0.5280260053136622,0.0
74,Apples to Apples,Party,0-4,0.2240765346797767,4215,,,
74,Apples to Apples,Party,5-19,0.4389051288865267,8258,,,
74,Apples to Apples,Party,ge20,0.3370183364336965,6341,,,
14,Basari,Other,ALL,1.0,1722,7.18832344122302,0.7234242683308598,0.0
15,Cosmic Encounter,Other,ALL,1.0,3860,7.206148876049696,0.6957130058661278,0.0
16,MarraCash,Economic,0-4,0.0085543199315654,9,,,
16,MarraCash,Economic,5-19,0.06928999144568,80,,,
16,MarraCash,Economic,ge20,0.9221556886227544,1078,,,
17,Button Men,Other,ALL,1.0,810,6.551266462135327,0.6347778294436709,0.0
18,RoboRally,Other,ALL,1.0,23442,7.319738283138892,0.63932181245919,0.0
19,Wacky Wacky West,Other,ALL,1.0,1966,6.6467051848292185,0.7247310819762054,0.0
20,Full Metal Planète,Other,ALL,1.0,739,7.716994678043291,0.7652929592394608,0.0
22,Magic Realm,Other,ALL,1.0,2043,7.545390548031938,0.8343799357262734,0.0
23,Divine Right,Wargame,0-4,0.0489864864864864,28,,,
23,Divine Right,Wargame,5-19,0.2719594594594595,161,,,
23,Divine Right,Wargame,ge20,0.6790540540540541,402,,,
24,Twilight Imperium,Wargame,0-4,0.1031976744186046,70,,,
24,Twilight Imperium,Wargame,5-19,0.2950581395348837,202,,,
24,Twilight Imperium,Wargame,ge20,0.6017441860465116,414,,,
25,Battlemist,Wargame,0-4,0.0727848101265822,22,,,
25,Battlemist,Wargame,5-19,0.2816455696202531,88,,,
25,Battlemist,Wargame,ge20,0.6455696202531646,204,,,
26,Age of Renaissance,Economic,0-4,0.0761727821644217,163,,,
26,Age of Renaissance,Economic,5-19,0.2438457965629354,524,,,
26,Age of Renaissance,Economic,ge20,0.6799814212726428,1464,,,
27,Supremacy: The Game of the Superpowers,Wargame,0-4,0.1073318216175359,142,,,
27,Supremacy: The Game of the Superpowers,Wargame,5-19,0.3340891912320484,442,,,
27,Supremacy: The Game of the Superpowers,Wargame,ge20,0.5585789871504158,739,,,
28,Illuminati,Other,ALL,1.0,5017,6.648420458754305,0.6538538065802415,0.0
30,Dark Tower,Other,ALL,1.0,1292,6.879209334103786,0.5923976002645167,0.0
