spec,weighting,target,intercept,log_n_active,year_c,weight_c,log_playtime_c,min_players_c,log_max_players_c,is_reimpl_num,log_n_impl_c,ns_year_0
Q0,ols,adj,5.709923394921316,0.47759543476092725,0.024449601733772166,,,,,,,
Q0,wls_n,adj,5.830463415203229,0.45140041184005786,0.03113926504694908,,,,,,,
Q1,ols,adj,5.961685040276906,0.3637085479712719,0.024096658210255476,0.568192980322452,,,,,,
Q1,wls_n,adj,5.951093557770205,0.3781636101686361,0.026053424959963226,0.45086749360619865,,,,,,
Q2,ols,adj,5.969933269691126,0.36446067338678345,0.02515659597340936,0.4849827142163788,0.06367615805878447,-0.036600526461526305,-0.14087897874416766,0.07770941113592711,0.08860980535283178,
Q2,wls_n,adj,5.930934950095517,0.3888254429270103,0.025688226250023566,0.4247056572155744,0.011478429482935659,0.011910954395384867,-0.12717531282502653,0.1519650756560282,-0.02754495517077288,
Q3,ols,adj,5.897482954525749,0.3936046841317367,0.027047208998810017,0.47637791802564283,0.04014553943258532,-0.040425122584607204,-0.09271144806918664,0.07083598378407832,0.08911662467010832,
Q3,wls_n,adj,5.929902197574201,0.40349861648644036,0.026211668479243496,0.4140925307340814,0.02826250275714909,0.006476989216071934,-0.0993705798272242,0.14781347230673386,-0.03911121193494159,
Q3,gls_eff,adj,5.897172760571231,0.3937476479353876,0.02704898755627113,0.4761591519720716,0.04013528964845217,-0.04026271062750795,-0.09276714122239237,0.071326145676418,0.08862607854048164,
Q3b,ols,adj,-9.67696625319296,,,0.47289130275809615,0.028428475465044296,0.01882053499666144,-0.08257443084799053,0.03366830127164429,0.042249640994971686,0.008785817499150585
Q3b,wls_n,adj,-26.38175113785365,,,0.41441259387560647,0.011372311080113976,0.042643491652724075,-0.12047472672065719,0.11482635255575482,-0.025814431454571175,0.01826874411675047
Q3b,gls_eff,adj,-9.713182893305149,,,0.47268066368324585,0.028416186252078698,0.018955457957324135,-0.08264550200362174,0.034012172857057765,0.04179914432733483,0.008806390405428714
Q3b_6band,ols,adj,-9.664704477772293,,,0.4736556047695106,0.028217536154480607,0.018099264374790983,-0.08234326050802464,0.03706093043494581,0.07076874621539654,0.008906058427769372
Q3b_6band,wls_n,adj,-29.290514015747167,,,0.4247587107269374,-0.0007450735415630365,0.036734014833442116,-0.11102132646568223,0.1508784585669773,0.04383655722014263,0.020436094502001536
Q4,ols,adj,-10.036641870726674,,,0.44096132210363215,0.03278410626475936,0.027173918185734447,-0.07679812021281796,0.029022956019806756,0.046432861200913944,0.009004857350265683
Q4,wls_n,adj,-24.816365639996647,,,0.40564814965705,0.019711044696793856,0.04738851222552776,-0.12151670720525987,0.11662188549298325,-0.03204752261523236,0.01740798206917396
Q4,gls_eff,adj,-10.071815942898185,,,0.4407857825841277,0.03276668881491562,0.02733995154110247,-0.07687721665978653,0.02933254893921866,0.045970902546004,0.009024848288890941
Q0_flex_year,ols,adj,-2.3753241581792643,0.5182899417935388,,,,,,,,0.003726095714229672
Q0_flex_year,wls_n,adj,-37.09884881090777,0.49852068542787437,,,,,,,,0.021128778988953607
Q1_core_ns,ols,adj,-5.1999359503358695,0.40011385107817854,,0.5468785638424676,,,,,,0.005272670852874462
Q1_core_ns,wls_n,adj,-29.144499843350374,0.4207199939519393,,0.44522225153026823,,,,,,0.01726066516048715
Q1_core_ns,gls_eff,adj,-5.251396780630423,0.40028343126162375,,0.5465037350486149,,,,,,0.005298305042119735
Q2_structure_ns,ols,adj,-7.6090565460088335,0.40722597870246224,,0.4843207078331458,0.05290741411803384,0.021479942952097077,-0.14212606228836816,0.03788222236302385,0.032277787879982756,0.0064681225486679095
Q2_structure_ns,wls_n,adj,-26.173047399473283,0.44891924051008747,,0.43685844889029624,-0.0017351966616542252,0.0527972891543719,-0.1383952160592724,0.12240940929528696,-0.057118303799038136,0.015741456140020538
Q3_categories_ns,ols,adj,-12.086406940485233,0.44178557349050146,,0.4708542759548672,0.028259329605242165,0.01899324355169126,-0.08365022114157596,0.028959082573395165,0.03146354062616234,0.008645715155775686
Q3_categories_ns,wls_n,adj,-27.814323446638237,0.46224353164311444,,0.41886582786367715,0.011757389050437737,0.04478578344304799,-0.11061529007342785,0.11503963278026876,-0.0665257258118002,0.016557747517693948
Q3_categories_ns,gls_eff,adj,-12.127537784747794,0.44192872217138307,,0.47064446627768797,0.02825109146267366,0.01912939374886348,-0.08371685593171836,0.029280130774863702,0.03098110729440819,0.008666244689033133
Q3b_flex_volume_ns,ols,adj,-9.67696625319296,,,0.47289130275809615,0.028428475465044296,0.01882053499666144,-0.08257443084799053,0.03366830127164429,0.042249640994971686,0.008785817499150585
Q3b_flex_volume_ns,wls_n,adj,-26.38175113785365,,,0.41441259387560647,0.011372311080113976,0.042643491652724075,-0.12047472672065719,0.11482635255575482,-0.025814431454571175,0.01826874411675047
