spec,hist_spec,weighting,pass1_cv_r2,pass2_cv_r2,delta_r2,pass1_cv_rmse,pass2_cv_rmse
Q0,Q0_linear,ols,0.19615443940357585,0.24117133761104861,0.04501689820747276,0.7814717075476549,0.7374085280022339
Q0,Q0_linear,wls_n,0.18327271721349853,0.2307212516917226,0.047448534478224086,0.7876864061263336,0.7424481145984012
Q1,Q1_core,ols,0.5396687557326767,0.5217379830787884,-0.017930772653888316,0.5913159910405579,0.5854754746704756
Q1,Q1_core,wls_n,0.5160184321702583,0.5084638816404492,-0.007554550529809134,0.6062915897068998,0.5935355626208441
Q2,Q2_structure,ols,0.5458338773263559,0.5310693465769424,-0.01476453074941353,0.5873309252151576,0.5797044662654619
Q2,Q2_structure,wls_n,0.5194738775450579,0.5147318529375198,-0.004742024607538142,0.6041007798918506,0.589733792774094
Q3,Q3_categories,ols,0.5704413447807412,0.5581643169343916,-0.012277027846349542,0.5711578260471478,0.5627021349428688
Q3,Q3_categories,wls_n,0.5383027110747538,0.5382095686584843,-9.314241626945385e-05,0.592157175091826,0.5752861234401576
Q3,Q3_categories,gls_eff,0.5700984460491045,0.5581668445945591,-0.011931601454545415,0.5713905585064252,0.5627006502908473
Q3b,Q3b_flex_volume,ols,0.5821894267159451,0.5987036895626533,0.016514262846708205,0.5632644174688681,0.5362096033519376
Q3b,Q3b_flex_volume,wls_n,0.5599494763791414,0.5758665360251741,0.01591705964603274,0.5780952815852046,0.5512783811536719
Q3b_6band,Q3b_flex_volume,ols,0.5821894267159451,0.5979561026041343,0.015766675888189252,0.5632644174688681,0.5367100034991503
Q3b_6band,Q3b_flex_volume,wls_n,0.5599494763791414,0.5698270813730992,0.009877604993957845,0.5780952815852046,0.555211982051881
Q4,Q4_mechanics,ols,0.5849415737618434,0.6125664479001136,0.027624874138270195,0.5613963760608438,0.5268520046039022
Q4,Q4_mechanics,wls_n,0.5513902960234909,0.5903906236866063,0.03900032766311545,0.5836963604991625,0.5417695412473229
Q0_flex_year,Q0_flex_year,ols,0.29470547236047845,0.3086206784326336,0.013915206072155129,0.7319934595190879,0.7038245277060144
Q0_flex_year,Q0_flex_year,wls_n,0.2699481192058035,0.2885108527210952,0.018562733515291696,0.7447104734912614,0.7139794216523158
