vol_band,rank_in_band,game_id,title,year,n_active,users_rated_active,users_rated_pop_scrape,raw_active_mean,adj_mean_g,expected_quality_g,residual,residual_cv,SE,post_SD,residual_lb_95,residual_lb_95_post,adj_lb_95,categories,mechanics,weight,playing_time
1-99,1,435330,Pondscape,2025,1,874.000000,874.000000,10.000000,11.553487,7.616149,3.937337,3.940132,1.194070,0.699892,1.596960,2.565549,9.213109,"[""Animals"", ""Card Game"", ""Environmental""]","[""Grid Coverage"", ""Hand Management""]",2.000000,35.000000
1-99,2,428589,Thief's Market,2025,3,137.000000,137.000000,10.000000,10.461312,7.584599,2.876713,2.881048,0.689397,0.538838,1.525496,1.820591,9.110095,"[""Card Game"", ""Dice"", ""Fantasy""]","[""Dice Rolling"", ""Die Icon Resolution"", ""I Cut, You Choose"", ""Open Drafting"", ""Take That"", ""Turn Order: Claim Action""]",2.000000,60.000000
1-99,3,434131,Tolleno,2025,1,140.000000,140.000000,9.000000,9.843972,7.625596,2.218376,2.214854,1.194070,0.699892,-0.122001,0.846588,7.503594,"[""City Building""]","[""Area Majority / Influence"", ""Area Movement"", ""Contracts"", ""Map Addition"", ""Tile Placement"", ""Variable Player Powers""]",2.000000,48.000000
1-99,4,404462,Monikers: Monikers-er,2023,61,131.000000,131.000000,8.745902,9.111916,6.914104,2.197813,2.184549,0.152885,0.150545,1.898158,1.902744,8.812262,"[""Party Game""]",[],1.000000,60.000000
1-99,5,436804,Opération Zèbre,2025,1,137.000000,137.000000,9.000000,9.310400,7.148794,2.161606,2.164110,1.194070,0.699892,-0.178772,0.789818,6.970022,"[""Deduction"", ""Party Game"", ""Spies / Secret Agents"", ""Trivia""]","[""Communication Limits"", ""Cooperative Game"", ""Line Drawing"", ""Paper-and-Pencil"", ""Push Your Luck"", ""Targeted Clues"", ""Team-Based Game""]",1.000000,45.000000
1-99,6,436591,Brightcast,2025,2,141.000000,141.000000,9.500000,9.374230,7.222175,2.152055,2.143174,0.844335,0.603813,0.497158,0.968581,7.719333,"[""Card Game"", ""Fantasy""]","[""Hand Management"", ""Interrupts"", ""Set Collection"", ""Take That""]",1.200000,15.000000
1-99,7,436038,Hercules and the 12 Labors,2025,2,546.000000,546.000000,10.000000,9.906601,7.781959,2.124642,2.119283,0.844335,0.603813,0.469745,0.941168,8.251704,"[""Card Game"", ""Dice"", ""Fantasy"", ""Mythology""]","[""Dice Rolling"", ""Events"", ""Solo / Solitaire Game"", ""Storytelling""]",2.352900,60.000000
1-99,8,127333,Schnipp & Weg,2012,81,100.000000,100.000000,7.739506,8.271405,6.147759,2.123645,2.118543,0.132674,0.131137,1.863604,1.866617,8.011363,"[""Action / Dexterity"", ""Children's Game""]","[""Flicking""]",1.000000,15.000000
1-99,9,203560,Fall of Magic,2015,86,100.000000,100.000000,8.129070,8.319539,6.243025,2.076514,2.054827,0.128760,0.127353,1.824144,1.826902,8.067170,"[""Fantasy""]","[""Storytelling""]",1.500000,0.000000
1-99,10,428284,Here Lies,2025,2,240.000000,240.000000,10.000000,9.615908,7.583409,2.032499,2.038592,0.844335,0.603813,0.377603,0.849026,7.961011,"[""Deduction"", ""Murder / Mystery""]","[""Acting"", ""Cooperative Game"", ""Deduction"", ""Drawing"", ""Hand Management"", ""Memory"", ""Questions and Answers"", ""Spelling"", ""Storytelling"", ""Variable Player Powers""]",1.857100,50.000000
100-199,1,120269,Red White & Blue Racin': Stock Car Action Game,2012,133,185.000000,185.000000,8.472932,8.453627,6.461752,1.991875,1.990265,0.103539,0.102803,1.788938,1.790380,8.250690,"[""Racing"", ""Sports""]","[""Dice Rolling""]",1.923100,45.000000
100-199,2,33434,Funkenschlag: EnBW,2007,198,202.000000,202.000000,8.215253,8.695725,6.846966,1.848759,1.850948,0.084859,0.084452,1.682436,1.683232,8.529402,"[""Economic"", ""Industry / Manufacturing""]","[""Auction / Bidding"", ""Network and Route Building""]",3.166700,120.000000
100-199,3,24996,Start Player: A Kinda Collectible Card Game,2006,181,192.000000,192.000000,6.516879,7.035635,5.192216,1.843419,1.866786,0.088755,0.088290,1.669460,1.670371,6.861676,"[""Card Game"", ""Collectible Components"", ""Comic Book / Strip"", ""Humor""]",[],1.000000,1.000000
100-199,4,4657,Replay Baseball,1973,105,135.000000,135.000000,7.889619,7.968163,6.177611,1.790552,1.786334,0.116529,0.115483,1.562155,1.564205,7.739765,"[""Card Game"", ""Sports""]",[],2.500000,30.000000
100-199,5,1803,Zopp,1997,158,160.000000,160.000000,7.247468,7.669769,5.895684,1.774085,1.770977,0.094995,0.094426,1.587894,1.589010,7.483579,"[""Action / Dexterity""]",[],1.176500,40.000000
100-199,6,341489,Carrooka,2021,195,285.000000,285.000000,8.248667,8.556558,6.810623,1.745935,1.752122,0.085509,0.085093,1.578337,1.579152,8.388960,"[""Action / Dexterity"", ""Sports""]","[""Flicking"", ""Slide / Push""]",1.100000,60.000000
100-199,7,331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019,132,160.000000,160.000000,7.911970,8.393689,6.659071,1.734618,1.707433,0.103930,0.103186,1.530914,1.532373,8.189986,"[""Card Game"", ""Exploration"", ""Puzzle"", ""Real-time"", ""Science Fiction""]","[""Cooperative Game"", ""Storytelling""]",1.666700,60.000000
100-199,8,8939,Der wahre Walter,1989,170,182.000000,182.000000,7.100000,7.438300,5.723214,1.715087,1.707720,0.091581,0.091071,1.535588,1.536588,7.258802,"[""Party Game""]","[""Betting and Bluffing"", ""Voting""]",1.200000,60.000000
100-199,9,249768,My First Adventure: Finding the Dragon,2018,100,128.000000,128.000000,7.540000,7.792956,6.087478,1.705477,1.711162,0.119407,0.118282,1.471440,1.473644,7.558918,"[""Book"", ""Children's Game"", ""Exploration"", ""Fantasy"", ""Medieval""]","[""Cooperative Game"", ""Storytelling""]",1.000000,20.000000
100-199,10,351600,Mortum: Medieval Detective – The Shelter,2022,131,176.000000,176.000000,8.056870,8.489730,6.864889,1.624840,1.640582,0.104326,0.103574,1.420360,1.421835,8.285250,"[""Adventure"", ""Deduction"", ""Fantasy""]","[""Cooperative Game"", ""Storytelling""]",1.400000,240.000000
200-499,1,255249,Monikers: More Monikers,2018,452,521.000000,521.000000,8.260490,8.575100,6.303153,2.271948,2.287789,0.056164,0.056046,2.161866,2.162098,8.465018,"[""Card Game"", ""Humor"", ""Mature / Adult"", ""Party Game""]","[""Acting"", ""Open Drafting"", ""Role Playing""]",1.000000,60.000000
200-499,2,140135,Small World Designer Edition,2015,246,266.000000,266.000000,8.899735,9.099995,6.897886,2.202109,2.185290,0.076131,0.075837,2.052892,2.053469,8.950778,"[""Civilization"", ""Fantasy"", ""Territory Building""]","[""Area Majority / Influence"", ""Area Movement"", ""Dice Rolling"", ""Variable Player Powers""]",2.583300,80.000000
200-499,3,179448,Monikers: Shmonikers,2015,319,326.000000,326.000000,8.004577,8.298090,6.243129,2.054962,2.067382,0.066855,0.066656,1.923926,1.924317,8.167054,"[""Party Game""]","[""Acting"", ""Open Drafting"", ""Role Playing""]",1.000000,60.000000
200-499,4,195709,Monikers: Something Something,2016,246,255.000000,255.000000,8.037602,8.326054,6.297531,2.028523,2.026115,0.076131,0.075837,1.879306,1.879882,8.176837,"[""Party Game""]","[""Acting"", ""Open Drafting"", ""Role Playing""]",1.000000,60.000000
200-499,5,221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017,465,484.000000,484.000000,8.042226,8.355973,6.361579,1.994394,1.994742,0.055374,0.055260,1.885862,1.886084,8.247440,"[""Party Game""]","[""Acting"", ""Open Drafting"", ""Role Playing""]",1.000000,60.000000
200-499,6,283151,Monikers: Classics,2019,263,343.000000,343.000000,8.188067,8.447930,6.524379,1.923552,1.925509,0.073630,0.073364,1.779238,1.779759,8.303616,"[""Party Game""]",[],1.000000,60.000000
200-499,7,4385,A Gamut of Games,1969,434,445.000000,445.000000,7.760449,8.077553,6.156662,1.920891,1.914359,0.057317,0.057191,1.808549,1.808796,7.965211,"[""Abstract Strategy"", ""Book"", ""Card Game"", ""Deduction"", ""Dice"", ""Sports""]",[],2.323500,30.000000
200-499,8,186279,Finska Mini,2011,468,566.000000,566.000000,7.431510,7.818271,6.088620,1.729650,1.742841,0.055196,0.055084,1.621466,1.621686,7.710087,"[""Action / Dexterity"", ""Party Game""]","[""Player Elimination""]",1.153800,30.000000
200-499,9,97683,Age of Rail: South Africa,2011,277,605.000000,605.000000,7.735632,8.731868,7.004559,1.727309,1.729843,0.071745,0.071499,1.586690,1.587172,8.591249,"[""Economic"", ""Trains"", ""Transportation""]","[""Action Drafting"", ""Alliances"", ""Auction / Bidding"", ""Stock Holding"", ""Victory Points as a Resource""]",3.000000,60.000000
200-499,10,541,Das Motorsportspiel,1995,381,399.000000,399.000000,7.444081,7.887413,6.258111,1.629302,1.635195,0.061174,0.061021,1.509400,1.509700,7.767512,"[""Racing"", ""Real-time"", ""Sports""]","[""Roll / Spin and Move"", ""Simulation"", ""Track Movement""]",2.000000,120.000000
500-999,1,283152,Monikers: Serious Nonsense,2019,500,609.000000,609.000000,8.205110,8.484234,6.548902,1.935332,1.953004,0.053400,0.053299,1.830667,1.830866,8.379569,"[""Humor"", ""Mature / Adult"", ""Party Game""]","[""Acting"", ""Open Drafting"", ""Role Playing""]",1.000000,60.000000
500-999,2,230262,Time's Up! Party Edition,2004,553,714.000000,714.000000,7.574985,7.913912,6.050583,1.863329,1.887045,0.050777,0.050690,1.763806,1.763978,7.814389,"[""Humor"", ""Party Game""]","[""Acting"", ""Memory"", ""Team-Based Game""]",1.133300,90.000000
500-999,3,147170,El Grande Decennial Edition,2006,978,1063.000000,1063.000000,8.327623,8.775819,7.053479,1.722340,1.709138,0.038182,0.038145,1.647503,1.647576,8.700982,"[""Medieval"", ""Political""]","[""Area Majority / Influence"", ""Auction / Bidding"", ""Auction: Multiple Lot"", ""Hand Management"", ""Secret Unit Deployment"", ""Simultaneous Action Selection"", ""Turn Order: Auction"", ""Variable Phase Order"", ""Variable Player Powers""]",2.948700,90.000000
500-999,4,6688,Ninety-Nine,1974,554,616.000000,616.000000,7.179744,7.887517,6.302155,1.585363,1.593954,0.050731,0.050644,1.485930,1.486101,7.788084,"[""Card Game""]","[""Hand Management"", ""Predictive Bid"", ""Trick-taking""]",2.078900,60.000000
500-999,5,46158,Time's Up! Academy,2009,575,630.000000,630.000000,7.341328,7.670962,6.109329,1.561633,1.576852,0.049796,0.049714,1.464033,1.464194,7.573361,"[""Humor"", ""Party Game""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",1.090900,30.000000
500-999,6,1770,Aliens,1989,713,785.000000,785.000000,7.217324,7.418269,5.951700,1.466570,1.486226,0.044718,0.044658,1.378922,1.379039,7.330621,"[""Fighting"", ""Horror"", ""Movies / TV / Radio theme"", ""Science Fiction""]","[""Cooperative Game"", ""Dice Rolling"", ""Scenario / Mission / Campaign Game"", ""Square Grid"", ""Variable Player Powers""]",2.225400,90.000000
500-999,7,3097,1849: The Game of Sicilian Railways,1998,942,1057.000000,1057.000000,8.091201,8.924294,7.486355,1.437939,1.445283,0.038905,0.038866,1.361685,1.361762,8.848040,"[""Economic"", ""Post-Napoleonic"", ""Trains"", ""Transportation""]","[""Auction / Bidding"", ""Investment"", ""Network and Route Building"", ""Stock Holding"", ""Tile Placement""]",4.162800,180.000000
500-999,8,295260,It's a Wonderful World: Heritage Edition,2019,921,995.000000,995.000000,8.372770,8.647916,7.244861,1.403055,1.381666,0.039346,0.039305,1.325937,1.326017,8.570798,"[""Card Game"", ""Civilization"", ""Science Fiction""]","[""Open Drafting"", ""Scenario / Mission / Campaign Game"", ""Set Collection""]",2.325000,60.000000
500-999,9,322045,Cartographers Heroes: Collector's Edition,2021,706,819.000000,819.000000,8.139697,8.433111,7.077199,1.355912,1.358036,0.044939,0.044879,1.267831,1.267950,8.345029,"[""Fantasy"", ""Territory Building""]","[""Bingo"", ""Grid Coverage"", ""Line Drawing"", ""Paper-and-Pencil"", ""Solo / Solitaire Game""]",2.090900,45.000000
500-999,10,345976,System Gateway (fan expansion for Android: Netrunner),2021,660,1025.000000,1025.000000,9.091182,9.455062,8.112489,1.342572,1.359807,0.046479,0.046412,1.251473,1.251605,9.363962,"[""Bluffing"", ""Card Game"", ""Fan Expansion"", ""Science Fiction"", ""Third-party Expansion""]","[""Action Points"", ""Deck Construction"", ""Hand Management"", ""Race"", ""Secret Unit Deployment"", ""Take That"", ""Variable Player Powers""]",3.500000,45.000000
1k-2.5k,1,57660,Time's Up! Edición Azul,2006,1365,1463.000000,1463.000000,7.369732,7.682923,5.923459,1.759464,1.761367,0.032319,0.032297,1.696118,1.696162,7.619577,"[""Humor"", ""Movies / TV / Radio theme"", ""Party Game""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",1.220300,45.000000
1k-2.5k,2,38713,Time's Up! Edición Amarilla,2008,1622,1950.000000,1950.000000,7.545384,7.776111,6.230354,1.545757,1.527620,0.029649,0.029631,1.487645,1.487680,7.717999,"[""Humor"", ""Party Game""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",1.074100,30.000000
