game_id,title,year,n_obs,users_rated_pop,rank_current,weight,cat_str,adj_mean,se,post_sd,z,lb_adj,lb_adj_post,lower_1,lower_1_96,lower_post_1_96,expected_quality_pref,underratedness_pref,min_alt_resid,n_decile,vol_band_label,gate_adj_ge_7_0,gate_adj_ge_7_3,gate_adj_ge_7_5,gate_adj_ge_7_6,gate_adj_ge_7_8,gate_adj_ge_8_0,gate_adj_ge_p50,gate_adj_ge_p75,gate_adj_ge_p90,gate_lower196_ge_6_8,gate_lower196_ge_7_0,gate_lower196_ge_7_2,gate_lower1_ge_7_0,gate_lower1_ge_7_2,gate_lower_post196_ge_7_0,gate_adj75_and_lower196_70,gate_adj73_and_lower196_70,gate_adj_p75_and_lower196_70,gate_adj75_and_lower1_70
255249,Monikers: More Monikers,2018.0,452,521.0,3227.0,1.0,Card Game; Humor; Mature / Adult; Party Game,8.575100419740723,0.056164333461957316,0.0560459990967448,40.451787386583405,8.465018326155286,8.465250261511104,8.518936086278766,8.465018326155286,8.465250261511104,6.303152743828454,2.271947675912269,2.1775906449677116,D7,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140135,Small World Designer Edition,2015.0,246,266.0,,2.5833,Civilization; Fantasy; Territory Building,9.099995391367383,0.07613112948498164,0.07583718239119763,28.925216360405496,8.95077837757682,8.951354513880636,9.023864261882402,8.95077837757682,8.951354513880636,6.897885999252242,2.2021093921151405,2.1730016316275034,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179448,Monikers: Shmonikers,2015.0,319,326.0,4747.0,1.0,Party Game,8.298090461297656,0.06685509112221476,0.06665576642038216,30.73755194604677,8.167054482698115,8.167445159113708,8.231235370175442,8.167054482698115,8.167445159113708,6.24312862507089,2.0549618362267665,1.8707341218839106,D6,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195709,Monikers: Something Something,2016.0,246,255.0,5504.0,1.0,Party Game,8.326053699826828,0.07613112948498164,0.07583718239119763,26.645113955035704,8.176836686036264,8.17741282234008,8.249922570341846,8.176836686036264,8.17741282234008,6.297531079173913,2.0285226206529146,1.8620260094236851,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,3607.0,1.0,Party Game,8.355972846068445,0.05537367535070639,0.055260258533507065,36.017006273510006,8.24744044238106,8.247662739342772,8.300599170717739,8.24744044238106,8.247662739342772,6.361578833574747,1.9943940124936983,1.75440541822827,D7,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283152,Monikers: Serious Nonsense,2019.0,500,609.0,2928.0,1.0,Humor; Mature / Adult; Party Game,8.484233854417955,0.05340043864348165,0.05329869782500807,36.241872383931714,8.379568994676731,8.379768406680938,8.430833415774472,8.379568994676731,8.379768406680938,6.548901971854917,1.9353318825630375,1.961280749037103,D7,500-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,731.0,1.1895,Humor; Movies / TV / Radio theme; Party Game,8.027215708183324,0.01982149204496052,0.019816276005554107,97.33036943649174,7.988365583775201,7.988375807212438,8.007394216138364,7.988365583775201,7.988375807212438,6.097982564664834,1.9292331435184895,1.679417786165093,D10,2.5k-5k,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283151,Monikers: Classics,2019.0,263,343.0,,1.0,Party Game,8.44793025351443,0.0736295171339382,0.07336350550679736,26.124735926140474,8.303616399931911,8.304137782721108,8.374300736380492,8.303616399931911,8.304137782721108,6.5243785620210595,1.9235516914933708,1.7872213214028267,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4385,A Gamut of Games,1969.0,434,445.0,,2.3235,Abstract Strategy; Book; Card Game; Deduction; Dice; Sports,8.077552795635295,0.057317199380590704,0.05719144385920347,33.5133390557693,7.965211084849337,7.965457565671256,8.020235596254704,7.965211084849337,7.965457565671256,6.156662059066429,1.9208907365688663,1.8471629865065147,D7,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230262,Time's Up! Party Edition,2004.0,553,714.0,3245.0,1.1333,Humor; Party Game,7.9139121525426015,0.05077702602452552,0.05068953138739593,36.69630356306717,7.814389181534532,7.8145606710233055,7.863135126518076,7.814389181534532,7.8145606710233055,6.050582991516851,1.8633291610257503,1.8258689834621196,D7,500-999,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
