game_id,title,year,n_obs,users_rated_pop,rank_current,bayes_rating,raw_mean,adj_mean,se,post_sd,z,lb_adj,lb_adj_post,resid_lb,expected_quality_pref,underratedness_pref,underratedness_cv_pref,underratedness_wls_pref,underratedness_ols_Q3,underratedness_wls_Q3,min_alt_resid,cv_diff,n_decile,n_tertile,vol_band_label,year_flag,is_reimplementation,reimplements_name,num_weights,weight,playing_time,cat_count,cat_str,mech_count,mech_str,mean_delta_pool,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_own,chi2_volume_band,screening_disposition,reason
255249,Monikers: More Monikers,2018.0,452,521.0,3227.0,5.99567,8.260490420353984,8.575100419740723,0.056164333461957316,0.0560459990967448,40.451787386583405,8.465018326155286,8.465250261511104,2.1618655823268327,6.303152743828454,2.271947675912269,2.2575439447253665,2.329177665517884,2.1775906449677116,2.2431455998983125,2.1775906449677116,0.014403731186902746,D7,mid,200-499,2000-2019,False,,2.0,1.0,60.0,4,Card Game; Humor; Mature / Adult; Party Game,3,Acting; Open Drafting; Role Playing,-0.3146099993867349,0.1703539823008849,0.3938053097345132,0.0243362831858407,0.8448275862068966,21.323785221583684,robust_underrated,"robust underrated candidate — resid 2.27 n=452 SE 0.056 z=40.5 min_alt 2.18 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
140135,Small World Designer Edition,2015.0,246,266.0,,5.82036,8.899735365853658,9.099995391367383,0.07613112948498164,0.07583718239119763,28.925216360405496,8.95077837757682,8.951354513880636,2.0528923783245765,6.897885999252242,2.2021093921151405,2.187653719951772,2.1730016316275034,2.203701182338138,2.23055235145556,2.1730016316275034,0.014455672163368405,D5,mid,200-499,2000-2019,False,,12.0,2.5833,80.0,3,Civilization; Fantasy; Territory Building,4,Area Majority / Influence; Area Movement; Dice Rolling; Variable Player Powers,-0.2002600255137262,0.3008130081300813,0.5162601626016261,0.0365853658536585,0.6951219512195121,41.21384899205965,robust_underrated,"robust underrated candidate — resid 2.20 n=246 SE 0.076 z=28.9 min_alt 2.17 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
179448,Monikers: Shmonikers,2015.0,319,326.0,4747.0,5.80693,8.004576802507836,8.298090461297656,0.06685509112221476,0.06665576642038216,30.73755194604677,8.167054482698115,8.167445159113708,1.9239258576272256,6.24312862507089,2.0549618362267665,2.050073417487841,1.8786191919829935,2.0332221050117747,1.8707341218839106,1.8707341218839106,0.004888418738925537,D6,mid,200-499,2000-2019,False,,3.0,1.0,60.0,1,Party Game,3,Acting; Open Drafting; Role Playing,-0.2935136587898178,0.1943573667711599,0.4043887147335423,0.0250783699059561,0.8714733542319749,9.520572633358288,robust_underrated,"robust underrated candidate — resid 2.05 n=319 SE 0.067 z=30.7 min_alt 1.87 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
195709,Monikers: Something Something,2016.0,246,255.0,5504.0,5.74923,8.03760162601626,8.326053699826828,0.07613112948498164,0.07583718239119763,26.645113955035704,8.176836686036264,8.17741282234008,1.8793056068623506,6.297531079173913,2.0285226206529146,2.062406682848211,1.8620260094236851,2.0447129372108144,1.904146442867785,1.8620260094236851,0.033884062195296494,D5,mid,200-499,2000-2019,False,,1.0,1.0,60.0,1,Party Game,3,Acting; Open Drafting; Role Playing,-0.2884520738105622,0.1910569105691057,0.4105691056910569,0.024390243902439,0.8699186991869918,15.895525350925949,robust_underrated,"robust underrated candidate — resid 2.03 n=246 SE 0.076 z=26.6 min_alt 1.86 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,3607.0,5.93869,8.042225806451613,8.355972846068445,0.05537367535070639,0.055260258533507065,36.017006273510006,8.24744044238106,8.247662739342772,1.8858616088063138,6.361578833574747,1.9943940124936983,1.985730533561691,1.8379657682226824,1.9090268004847113,1.75440541822827,1.75440541822827,0.008663478932007251,D7,mid,200-499,2000-2019,False,,4.0,1.0,60.0,1,Party Game,3,Acting; Open Drafting; Role Playing,-0.3137470396168255,0.1591397849462365,0.3741935483870968,0.0236559139784946,0.8236559139784946,25.99087880140936,robust_underrated,"robust underrated candidate — resid 1.99 n=465 SE 0.055 z=36.0 min_alt 1.75 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
283152,Monikers: Serious Nonsense,2019.0,500,609.0,2928.0,6.05274,8.205110000000001,8.484233854417955,0.05340043864348165,0.05329869782500807,36.241872383931714,8.379568994676731,8.379768406680938,1.8306670228218134,6.548901971854917,1.9353318825630375,1.961280749037103,1.9930853034769314,1.989681694752913,2.045524503673068,1.961280749037103,0.02594886647406547,D7,mid,500-999,2000-2019,False,,8.0,1.0,60.0,3,Humor; Mature / Adult; Party Game,3,Acting; Open Drafting; Role Playing,-0.279123854417952,0.126,0.37,0.02,0.868,37.75584124751523,robust_underrated,"robust underrated candidate — resid 1.94 n=500 SE 0.053 z=36.2 min_alt 1.96 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,731.0,6.82542,7.669094116836588,8.027215708183324,0.01982149204496052,0.019816276005554107,97.33036943649174,7.988365583775201,7.988375807212438,1.890383019110367,6.097982564664834,1.9292331435184895,1.927369978195248,1.6876050699290381,2.0085203183944307,1.679417786165093,1.679417786165093,0.001863165323241489,D10,high,2.5k-5k,2000-2019,False,,95.0,1.1895,60.0,3,Humor; Movies / TV / Radio theme; Party Game,4,Acting; Communication Limits; Memory; Team-Based Game,-0.3581215913467317,0.2424910443648388,0.4866354367594379,0.0198401763571231,0.6332322953981813,251.8696561949893,robust_underrated,"robust underrated candidate — resid 1.93 n=3629 SE 0.020 z=97.3 min_alt 1.68 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
283151,Monikers: Classics,2019.0,263,343.0,,5.83367,8.188067186311788,8.44793025351443,0.0736295171339382,0.07336350550679736,26.124735926140474,8.303616399931911,8.304137782721108,1.779237837910852,6.5243785620210595,1.9235516914933708,1.959681391970852,1.7872213214028267,1.906742842710992,1.8111129523888785,1.7872213214028267,0.03612970047748121,D5,mid,200-499,2000-2019,False,,4.0,1.0,60.0,1,Party Game,0,,-0.2598630672026435,0.1292775665399239,0.3460076045627376,0.0342205323193916,0.8821292775665399,17.27951144960226,robust_underrated,"robust underrated candidate — resid 1.92 n=263 SE 0.074 z=26.1 min_alt 1.79 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
4385,A Gamut of Games,1969.0,434,445.0,,5.8584,7.760449447004609,8.077552795635295,0.057317199380590704,0.05719144385920347,33.5133390557693,7.965211084849337,7.965457565671256,1.8085490257829084,6.156662059066429,1.9208907365688663,1.91168336005577,2.179765380908762,1.8471629865065147,2.0679924639412945,1.8471629865065147,0.009207376513096222,D7,mid,200-499,pre2000,False,,34.0,2.3235,30.0,6,Abstract Strategy; Book; Card Game; Deduction; Dice; Sports,0,,-0.3171033486306887,0.368663594470046,0.6036866359447004,0.0230414746543778,0.7880184331797235,127.8145610394037,robust_underrated,"robust underrated candidate — resid 1.92 n=434 SE 0.057 z=33.5 min_alt 1.85 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
230262,Time's Up! Party Edition,2004.0,553,714.0,3245.0,5.99295,7.574985388788428,7.9139121525426015,0.05077702602452552,0.05068953138739593,36.69630356306717,7.814389181534532,7.8145606710233055,1.7638061900176802,6.050582991516851,1.8633291610257503,1.8736244304799436,1.8258689834621196,1.9075483937687592,1.864492909995925,1.8258689834621196,0.010295269454193345,D7,mid,500-999,2000-2019,False,,15.0,1.1333,90.0,2,Humor; Party Game,3,Acting; Memory; Team-Based Game,-0.338926763754166,0.18625678119349,0.3526220614828209,0.0325497287522604,0.7305605786618445,19.65052437198341,robust_underrated,"robust underrated candidate — resid 1.86 n=553 SE 0.051 z=36.7 min_alt 1.83 (stable across Q3b/Q4/WLS; >=100 floor passed, >=200, >=0.60, min_alt>=0.30, z>=5)"
