game_id,title,year,n_obs,adj_mean,resid_Q3bFam,resid_Q4Fam,SE,lower_bound_adj,hiddenness_bucket,families,designers,n_version_tgt,n_version_src,n_contained_tgt,n_contained_src,n_reimplements_src,n_reimplementation_src,n_expansion_src,n_expansion_tgt,n_integration_tgt,is_reimplementation,is_expansion,is_game_system,is_edition_title,max_eco,eco_tokens,game_links_as_target,game_links_as_source,eligibility_flag,confidence,reason,evidence,eco_flag,eco_confidence
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,131,8.447093894085006,1.9936540594520784,1.9806763685888156,0.1042713143786963,8.24272211790276,eligible,"[""Sports: Auto Racing""]","[""Keith Avallone""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,title 'Red White & Blue Racin': Stock Car Action Game' year 2012.0 weight 1.92 designers ['Keith Avallone'] n_obs 131 adj 8.45 resid 1.99 | families ['Sports: Auto Racing'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens ),none,none
4385,A Gamut of Games,1969.0,434,8.074748244439382,1.9529358035829425,1.9587624149546825,0.0572869408176073,7.962465840436872,eligible,"[""Players: Games with Solitaire Rules"", ""Series: Gamut of Games (Sid Sackson)""]","[""Sid Sackson""]",0,10,2,0,0,0,0,0,0,0,0,0,0,5,Series: Gamut of Games (Sid Sackson),2,50,eligible,eligible,"contained_in target from 2 distinct bases (e.g., [789, 3406]) — candidate is compilation container (like A Gamut of Games book) not an edition variant of single base 789; no hard exclusion, eligible","title 'A Gamut of Games' year 1969.0 weight 2.32 designers ['Sid Sackson'] n_obs 434 adj 8.07 resid 1.95 | families ['Players: Games with Solitaire Rules', 'Series: Gamut of Games (Sid Sackson)'] (0 Game: 1 Series:) | game_links as_target 2 (version_tgt 0 contained_tgt 2 reimpl_tgt 0 integration_tgt 0) as_source 50 (version_src 10 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 5 (Game max 0 Series max 5 tokens Series: Gamut of Games (Sid Sackson)) | compilation: contained_in multi-base [789, 3406] not hard",none,none
33434,Funkenschlag: EnBW,2007.0,198,8.694110770076955,1.8987326420154569,1.7734517118141753,0.0848140692926634,8.527875194263334,eligible,"[""Game: Power Grid"", ""Promotional: Board Games""]","[""Friedemann Friese""]",0,0,0,0,0,0,0,0,0,0,0,0,0,8,Game: Power Grid,1,0,eligible,eligible,,"title 'Funkenschlag: EnBW' year 2007.0 weight 3.17 designers ['Friedemann Friese'] n_obs 198 adj 8.69 resid 1.90 | families ['Game: Power Grid', 'Promotional: Board Games'] (1 Game: 0 Series:) | game_links as_target 1 (version_tgt 0 contained_tgt 0 reimpl_tgt 1 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 8 (Game max 8 Series max 0 tokens Game: Power Grid)",none,none
4657,Replay Baseball,1973.0,103,7.978247154421985,1.8025578561840243,1.8279765388631413,0.1175931119315639,7.74776465503612,eligible,"[""Players: Games with Solitaire Rules"", ""Players: Two-Player Only Games"", ""Sports: Baseball""]","[""Peter Ventura""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Replay Baseball' year 1973.0 weight 2.50 designers ['Peter Ventura'] n_obs 103 adj 7.98 resid 1.80 | families ['Players: Games with Solitaire Rules', 'Players: Two-Player Only Games', 'Sports: Baseball'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
97683,Age of Rail: South Africa,2011.0,277,8.731969342439568,1.7767815451137476,1.722170107267203,0.0717068444612192,8.591423927295578,eligible,"[""Category: Combinatorial"", ""Continents: Africa"", ""Country: South Africa"", ""Crowdfunding: Kickstarter"", ""Series: Cube Rails"", ""Series: Iron Rail (Capstone Games)"", ""Series: Prairie Railroads (Winsome)""]","[""John Bohrer""]",0,0,0,0,0,0,0,0,0,0,0,0,0,33,Series: Cube Rails;Series: Iron Rail (Capstone Games);Series: Prairie Railroads (Winsome),0,0,eligible,eligible,,"title 'Age of Rail: South Africa' year 2011.0 weight 3.00 designers ['John Bohrer'] n_obs 277 adj 8.73 resid 1.78 | families ['Category: Combinatorial', 'Continents: Africa', 'Country: South Africa', 'Crowdfunding: Kickstarter'] (0 Game: 3 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 33 (Game max 0 Series max 33 tokens Series: Cube Rails;Series: Iron Rail (Capstone Games);Series: Prairie Railroads (Winsome))",none,none
186279,Finska Mini,2011.0,468,7.816398671008494,1.7598105780019138,1.8134418341504783,0.0551667715797317,7.708271798712219,eligible,[],"[""(Uncredited)""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,title 'Finska Mini' year 2011.0 weight 1.15 designers ['(Uncredited)'] n_obs 468 adj 7.82 resid 1.76 | families [] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens ),none,none
1803,Zopp,1997.0,158,7.667323849066769,1.7523496363884623,1.7249611797053743,0.0949449679809969,7.481231711824014,eligible,"[""Mechanism: Finger Flicking Games"", ""Sports: Football / Soccer""]","[""Anton Karger""]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,eligible,eligible,,"title 'Zopp' year 1997.0 weight 1.18 designers ['Anton Karger'] n_obs 158 adj 7.67 resid 1.75 | families ['Mechanism: Finger Flicking Games', 'Sports: Football / Soccer'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 2 (version_src 2 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
341489,Carrooka,2021.0,195,8.554627332404891,1.7484965230713527,1.7303145183894395,0.0854639950369319,8.387117902132504,eligible,"[""Crowdfunding: Kickstarter"", ""Sports: Billiards / Snooker / Pool"", ""Traditional Games: Carrom""]","[""Jack Furnival""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Carrooka' year 2021.0 weight 1.10 designers ['Jack Furnival'] n_obs 195 adj 8.55 resid 1.75 | families ['Crowdfunding: Kickstarter', 'Sports: Billiards / Snooker / Pool', 'Traditional Games: Carrom'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,8.391370545565449,1.7111579430701551,1.7149396712573406,0.1038755963880404,8.18777437664489,eligible,"[""Category: Escape Room Games"", ""Components: Digital Hybrid \u2013 App/Website Required"", ""Series: Unlock! (Space Cowboys)"", ""Theme: Mad Science / Mad Scientist"", ""Theme: Time Travel""]","[""Guillaume Montiage""]",0,0,0,0,0,0,0,0,0,0,0,0,0,47,Series: Unlock! (Space Cowboys),0,0,eligible,eligible,,"title 'Unlock!: Timeless Adventures – Verloren im Zeitstrudel!' year 2019.0 weight 1.67 designers ['Guillaume Montiage'] n_obs 132 adj 8.39 resid 1.71 | families ['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)', 'Theme: Mad Science / Mad Scientist'] (0 Game: 1 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 47 (Game max 0 Series max 47 tokens Series: Unlock! (Space Cowboys))",none,none
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,7.54142635668983,1.675909551702483,1.6041756285978517,0.0613028818034207,7.421272708355126,eligible,[],"[""James Wallis""]",0,7,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,eligible,eligible,,title 'The Extraordinary Adventures of Baron Munchausen' year 1998.0 weight 1.46 designers ['James Wallis'] n_obs 379 adj 7.54 resid 1.68 | families [] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 7 (version_src 7 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens ),none,none
