game_id,title,year,n_obs,adj_mean,expected_Q3bFam,resid_Q3bFam,resid_Q4Fam,SE,lower_bound_adj,hiddenness_bucket,families,designers,categories,mechanics,n_version_tgt,n_version_src,n_contained_tgt,n_contained_src,n_reimplements_src,n_reimplementation_src,n_reimpl_tgt,n_expansion_src,n_expansion_tgt,n_integration_tgt,is_reimplementation,is_expansion,is_game_system,is_edition_title,is_volume_sequel,is_container,max_eco,eco_tokens,game_links_as_target,game_links_as_source,eligibility_flag,confidence,reason,evidence,related_id,related_title,family_related,bgg_page_fetch_status,bgg_page_snippet,bgg_description_source,bgg_description_snippet
12,Ra,1999.0,27540,8.040775564758325,7.424339622304419,0.6164359424539061,0.6015797802317415,0.007191484154628069,8.026680255815254,exclude,"[""Ancient: Egypt"", ""Crowdfunding: Gamefound"", ""Game: Ra"", ""Misc: BGG Hall of Fame"", ""Misc: Dice Tower Hall of Fame"", ""Misc: LongPack Games"", ""Mythology: Egyptian"", ""Series: Alea Big Box"", ""Series: Book Box (DiceTree)"", ""Series: Euro Classics (Reiner Knizia)""]","[""Reiner Knizia""]","[""Ancient"", ""Mythology""]","[""Auction / Bidding"", ""Auction: Once Around"", ""Closed Economy Auction"", ""Constrained Bidding"", ""Hidden Victory Points"", ""Push Your Luck"", ""Set Collection""]",0,31,0,1,0,4,0,1,0,0,0,0,0,0,0,0,19,Game: Ra;Series: Alea Big Box;Series: Book Box (DiceTree);Series: Euro Classics (Reiner Knizia),0,39,eligible,eligible,,"title 'Ra' year 1999.0 weight 2.30 designers ['Reiner Knizia'] n_obs 27540 adj 8.04 resid 0.62 Q4 0.60 SE 0.0072 LB 8.03 hidden exclude cats ['Ancient', 'Mythology'] mechs ['Auction / Bidding', 'Auction: Once Around', 'Closed Economy Auction'] | families ['Ancient: Egypt', 'Crowdfunding: Gamefound', 'Game: Ra', 'Misc: BGG Hall of Fame'] (1 Game: 3 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 39 (version_src 31 contained_src 1 reimplements_src 0 reimpl_src 4 expansion_src 1) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 19 (Game max 4 Series max 19 tokens Game: Ra;Series: Alea Big Box;Series: Book Box (DiceTree);Series: Euro Classics (Reiner Knizia)) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Bid to acquire the most valuable sets of Egyptian artifacts and resources.' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Bid to acquire the most valuable sets of Egyptian artifacts and resources.'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Bid to acquire the most valuable sets of Egyptian artifacts and resources.,games_pass2.parquet,Bid to acquire the most valuable sets of Egyptian artifacts and resources.
2641,"Barbarian, Kingdom & Empire",1983.0,123,7.504335064481186,6.5575180179795876,0.9468170465015984,0.9763452887763009,0.10760883759820682,7.2934217427887,eligible,"[""Ancient: Rome"", ""Components: Map (Continental / National scale)"", ""Continents: Europe"", ""Digital Implementations: VASSAL"", ""History: Barbarian migrations and invasions"", ""History: Roman Empire"", ""Region: Mediterranean Sea""]","[""Erik Wilson""]","[""Ancient"", ""Civilization"", ""Economic"", ""Medieval"", ""Wargame""]","[""Area Movement"", ""Dice Rolling"", ""Ratio / Combat Results Table"", ""Simulation""]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,eligible,eligible,,"title 'Barbarian, Kingdom & Empire' year 1983.0 weight 2.76 designers ['Erik Wilson'] n_obs 123 adj 7.50 resid 0.95 Q4 0.98 SE 0.1076 LB 7.29 hidden eligible cats ['Ancient', 'Civilization', 'Economic'] mechs ['Area Movement', 'Dice Rolling', 'Ratio / Combat Results Table'] | families ['Ancient: Rome', 'Components: Map (Continental / National scale)', 'Continents: Europe', 'Digital Implementations: VASSAL'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 1 (version_src 1 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Lead a European barbarian tribe to kingdom to empire and back again.' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Lead a European barbarian tribe to kingdom to empire and back again.'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Lead a European barbarian tribe to kingdom to empire and back again.,games_pass2.parquet,Lead a European barbarian tribe to kingdom to empire and back again.
4688,Angola,1988.0,540,8.532192604514535,7.256964832903307,1.2752277716112275,1.1921475751620498,0.051357469385276334,8.431531964519394,eligible,"[""Continents: Africa"", ""Country: Angola"", ""Digital Implementations: VASSAL"", ""History: Angolan Civil War"", ""History: Cold War"", ""Series: International Games (MMP)"", ""War Level of Command: Strategic""]","[""Phil Kendall""]","[""Civil War"", ""Modern Warfare"", ""Wargame""]","[""Area Majority / Influence"", ""Campaign / Battle Card Driven"", ""Communication Limits"", ""Movement Points"", ""Secret Unit Deployment"", ""Simulation"", ""Team-Based Game""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Series: International Games (MMP),0,0,eligible,eligible,,"title 'Angola' year 1988.0 weight 3.18 designers ['Phil Kendall'] n_obs 540 adj 8.53 resid 1.28 Q4 1.19 SE 0.0514 LB 8.43 hidden eligible cats ['Civil War', 'Modern Warfare', 'Wargame'] mechs ['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Communication Limits'] | families ['Continents: Africa', 'Country: Angola', 'Digital Implementations: VASSAL', 'History: Angolan Civil War'] (0 Game: 1 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 16 (Game max 0 Series max 16 tokens Series: International Games (MMP)) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Fast paced and dynamic wargame exploration of the Angolan Civil War of the 1970's.' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Fast paced and dynamic wargame exploration of the Angolan Civil War of the 1970's.'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Fast paced and dynamic wargame exploration of the Angolan Civil War of the 1970's.,games_pass2.parquet,Fast paced and dynamic wargame exploration of the Angolan Civil War of the 1970's.
5243,Montage,1973.0,209,7.713078492508855,6.339803739090195,1.3732747534186602,1.3376136001988845,0.08255195311523299,7.551276664402999,eligible,"[""Components: 15 x 15 Grids"", ""Components: Sand Timers"", ""Crowdfunding: Kickstarter""]","[""Joli Quentin Kansil"", ""Rick Soued""]","[""Word Game""]","[""Area Majority / Influence"", ""Pattern Recognition"", ""Real-Time"", ""Spelling"", ""Team-Based Game"", ""Tile Placement""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Montage' year 1973.0 weight 2.54 designers ['Joli Quentin Kansil', 'Rick Soued'] n_obs 209 adj 7.71 resid 1.37 Q4 1.34 SE 0.0826 LB 7.55 hidden eligible cats ['Word Game'] mechs ['Area Majority / Influence', 'Pattern Recognition', 'Real-Time'] | families ['Components: 15 x 15 Grids', 'Components: Sand Timers', 'Crowdfunding: Kickstarter'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Give a clue that can be solved by your partner but stump your opponents.' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Give a clue that can be solved by your partner but stump your opponents.'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Give a clue that can be solved by your partner but stump your opponents.,games_pass2.parquet,Give a clue that can be solved by your partner but stump your opponents.
5369,Hordes of the Things,1991.0,253,7.5083972175308284,6.681739451002565,0.8266577665282631,0.8569867319695943,0.07503091371580374,7.361336626647853,eligible,"[""Components: Miniature agnostic"", ""Game: DBx""]","[""Philip C. Barker"", ""Sue Laflin Barker"", ""Richard Bodley Scott""]","[""Book"", ""Fantasy"", ""Miniatures"", ""Wargame""]","[""Action Points"", ""Dice Rolling"", ""Measurement Movement"", ""Variable Player Powers""]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,Game: DBx,1,0,eligible,eligible,,"title 'Hordes of the Things' year 1991.0 weight 2.47 designers ['Philip C. Barker', 'Sue Laflin Barker', 'Richard Bodley Scott'] n_obs 253 adj 7.51 resid 0.83 Q4 0.86 SE 0.0750 LB 7.36 hidden eligible cats ['Book', 'Fantasy', 'Miniatures'] mechs ['Action Points', 'Dice Rolling', 'Measurement Movement'] | families ['Components: Miniature agnostic', 'Game: DBx'] (1 Game: 0 Series:) | game_links as_target 1 (version_tgt 0 contained_tgt 0 reimpl_tgt 1 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 3 (Game max 3 Series max 0 tokens Game: DBx) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet '' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet ''",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,,games_pass2.parquet,
5452,"DAK: The Campaign in North Africa, 1940-1942",1997.0,196,8.401652134454874,7.592897207498757,0.8087549269561176,0.7436472958498364,0.08524569584251393,8.234570570603546,eligible,"[""Country: Libya"", ""Decades: The 1940's"", ""History: World War II (Africa)"", ""Players: Two-Player Only Games"", ""Players: Wargames with Rules Supporting Only Two Players"", ""Series: OCS - Operational Combat Series (MMP & The Gamers)""]","[""Dean Essig""]","[""Wargame"", ""World War II""]","[""Hexagon Grid"", ""Simulation""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Series: OCS - Operational Combat Series (MMP & The Gamers),0,0,eligible,eligible,,"title 'DAK: The Campaign in North Africa, 1940-1942' year 1997.0 weight 4.08 designers ['Dean Essig'] n_obs 196 adj 8.40 resid 0.81 Q4 0.74 SE 0.0852 LB 8.23 hidden eligible cats ['Wargame', 'World War II'] mechs ['Hexagon Grid', 'Simulation'] | families ['Country: Libya', ""Decades: The 1940's"", 'History: World War II (Africa)', 'Players: Two-Player Only Games'] (0 Game: 1 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 18 (Game max 0 Series max 18 tokens Series: OCS - Operational Combat Series (MMP & The Gamers)) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet '' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet ''",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,,games_pass2.parquet,
5686,Stargrunt II,1996.0,145,7.625455827965627,6.8507555711331065,0.7747002568325208,0.8155705551233225,0.09910977603390549,7.431200666939173,eligible,"[""Components: Miniature agnostic""]","[""Steve Blease"", ""Mike Elliott"", ""Jon M. Tuffley""]","[""Book"", ""Miniatures"", ""Science Fiction"", ""Wargame""]","[""Dice Rolling"", ""Variable Phase Order""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Stargrunt II' year 1996.0 weight 2.96 designers ['Steve Blease', 'Mike Elliott', 'Jon M. Tuffley'] n_obs 145 adj 7.63 resid 0.77 Q4 0.82 SE 0.0991 LB 7.43 hidden eligible cats ['Book', 'Miniatures', 'Science Fiction'] mechs ['Dice Rolling', 'Variable Phase Order'] | families ['Components: Miniature agnostic'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet '' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet ''",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,,games_pass2.parquet,
8045,Princes of the Renaissance,2003.0,2339,7.864250860940865,7.349963528559249,0.514287332381616,0.4880858727170674,0.024676603612297825,7.815884717860761,borderline,"[""Components: Map (Continental / National scale)"", ""Components: Wooden pieces & boards"", ""Country: Italy"", ""Crowdfunding: Giochistarter"", ""Crowdfunding: Kickstarter""]","[""Martin Wallace""]","[""Economic"", ""Negotiation"", ""Renaissance""]","[""Area Majority / Influence"", ""Auction / Bidding"", ""Dice Rolling"", ""Interrupts"", ""Variable Player Powers""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Princes of the Renaissance' year 2003.0 weight 3.50 designers ['Martin Wallace'] n_obs 2339 adj 7.86 resid 0.51 Q4 0.49 SE 0.0247 LB 7.82 hidden borderline cats ['Economic', 'Negotiation', 'Renaissance'] mechs ['Area Majority / Influence', 'Auction / Bidding', 'Dice Rolling'] | families ['Components: Map (Continental / National scale)', 'Components: Wooden pieces & boards', 'Country: Italy', 'Crowdfunding: Giochistarter'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Choose the most profitable side in a series of conflicts to further your own glory!' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Choose the most profitable side in a series of conflicts to further your own glory!'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Choose the most profitable side in a series of conflicts to further your own glory!,games_pass2.parquet,Choose the most profitable side in a series of conflicts to further your own glory!
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990.0,174,7.863286095732696,6.85448405313198,1.008802042600716,0.950855061724325,0.09047443333842489,7.685956206389383,eligible,"[""Components: Miniature agnostic"", ""Country: USA""]","[""Rich Hasenauer""]","[""American Civil War"", ""Book"", ""Miniatures"", ""Wargame""]","[""Dice Rolling"", ""Measurement Movement"", ""Simulation""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Brigade Fire and Fury: Wargaming the Civil War with Miniatures' year 1990.0 weight 3.08 designers ['Rich Hasenauer'] n_obs 174 adj 7.86 resid 1.01 Q4 0.95 SE 0.0905 LB 7.69 hidden eligible cats ['American Civil War', 'Book', 'Miniatures'] mechs ['Dice Rolling', 'Measurement Movement', 'Simulation'] | families ['Components: Miniature agnostic', 'Country: USA'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet '' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet ''",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,,games_pass2.parquet,
12608,Chess960,1996.0,158,8.110360596352983,6.8773613229811446,1.2329992733718385,1.223780063061911,0.09494496798099698,7.924268459110229,eligible,"[""Admin: Outside the Scope of BGG"", ""Category: Combinatorial"", ""Components: 8 x 8 Grids"", ""Digital Implementations: Ai Ai"", ""Digital Implementations: BoardSpace"", ""Digital Implementations: GrandGamesArena"", ""Digital Implementations: MindSports"", ""Digital Implementations: PlayStrategy"", ""Digital Implementations: Pychess"", ""Players: Two-Player Only Games"", ""Traditional Games: Chess""]","[""Bobby Fischer""]","[""Abstract Strategy""]","[""Grid Movement"", ""Pattern Movement"", ""Square Grid"", ""Static Capture"", ""Variable Set-up""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Chess960' year 1996.0 weight 3.32 designers ['Bobby Fischer'] n_obs 158 adj 8.11 resid 1.23 Q4 1.22 SE 0.0949 LB 7.92 hidden eligible cats ['Abstract Strategy'] mechs ['Grid Movement', 'Pattern Movement', 'Square Grid'] | families ['Admin: Outside the Scope of BGG', 'Category: Combinatorial', 'Components: 8 x 8 Grids', 'Digital Implementations: Ai Ai'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 is_volume_sequel 0 is_container 0 (title 0 desc 0 cats Game System False) | eco max 0 (Game max 0 Series max 0 tokens ) | BGG page fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudfl via games_pass2.parquet snippet 'Disrupt book knowledge with a different force structure every game.' | fetch attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured | desc_source games_pass2.parquet snippet 'Disrupt book knowledge with a different force structure every game.'",,,,attempted webfetch https://boardgamegeek.com/boardgame/{gid} -> HTTP 403 Cloudflare (bot protection) — fallback to local description + structured,Disrupt book knowledge with a different force structure every game.,games_pass2.parquet,Disrupt book knowledge with a different force structure every game.
