binary_pair,users,observations,median_n,pct_of_binary_users
adjacent_9_10,13124,58336,3.0,24.33
adjacent_8_9,12955,49435,3.0,24.02
wide_8_10,7500,27386,3.0,13.9
adjacent_7_8,6458,26415,3.0,11.97
wide_7_9,3021,8774,2.0,5.6
wide_7_10,2070,7244,3.0,3.84
wide_6_8,1472,4323,3.0,2.73
extreme_1_10,985,11397,3.0,1.83
adjacent_6_7,941,3228,3.0,1.74
wide_6_9,865,2287,2.0,1.6
wide_6_10,748,2489,2.0,1.39
wide_5_8,381,1021,2.0,0.71
extreme_5_10,379,2196,3.0,0.7
wide_5_9,277,667,2.0,0.51
extreme_3_10,267,963,2.0,0.49
extreme_4_10,234,751,2.0,0.43
wide_5_7,216,573,2.0,0.4
extreme_2_10,209,768,2.0,0.39
wide_4_8,177,444,2.0,0.33
extreme_4_9,174,436,2.0,0.32
extreme_1_9,160,465,2.0,0.3
extreme_3_8,146,364,2.0,0.27
extreme_3_9,137,323,2.0,0.25
adjacent_5_6,130,958,2.0,0.24
extreme_1_8,128,349,2.0,0.24
extreme_2_9,102,288,2.0,0.19
extreme_2_8,91,212,2.0,0.17
wide_4_7,88,212,2.0,0.16
wide_3_7,65,148,2.0,0.12
wide_4_6,57,137,2.0,0.11
adjacent_4_5,49,146,2.0,0.09
extreme_1_7,37,144,2.0,0.07
adjacent_2_3,34,73,2.0,0.06
wide_3_5,34,75,2.0,0.06
wide_3_6,33,73,2.0,0.06
adjacent_1_2,33,89,2.0,0.06
adjacent_3_4,27,423,2.0,0.05
extreme_2_7,25,54,2.0,0.05
wide_1_4,23,61,2.0,0.04
wide_2_6,21,68,2.0,0.04
wide_1_3,21,48,2.0,0.04
wide_1_5,17,43,2.0,0.03
extreme_1_6,13,33,2.0,0.02
wide_2_5,11,24,2.0,0.02
wide_2_4,10,20,2.0,0.02
