threshold,baseline,reps,p_single_value,p_k_le2,p_modal_ge80,p_modal_ge90,p_modal_eq100,p_entropy_lt05,p_top2_ge95,p_binary_extreme,p_binary_adjacent
1,uniform_1_to_10,200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,empirical_universe,200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,uniform_1_to_10,200000,0.009865,0.28126,0.009865,0.009865,0.009865,0.009865,0.28126,0.09056,0.05323
3,empirical_universe,200000,0.045865,0.49331,0.045865,0.045865,0.045865,0.045865,0.49331,0.01335,0.22417
5,uniform_1_to_10,200000,8.5e-05,0.01333,0.00435,8.5e-05,8.5e-05,8.5e-05,0.01333,0.00439,0.002545
5,empirical_universe,200000,0.00313,0.104035,0.045675,0.00313,0.00313,0.00313,0.104035,0.00105,0.06377
10,uniform_1_to_10,200000,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
10,empirical_universe,200000,0.0,0.002735,0.00141,9.5e-05,0.0,9.5e-05,0.002735,0.0,0.00245
20,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,empirical_universe,200000,0.0,1e-05,0.0,0.0,0.0,0.0,6e-05,0.0,1e-05
50,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,empirical_universe,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,uniform_1_to_10,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,empirical_universe,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
