band_filtered,band_full,users
1,1,100513
1,10-24,38
1,2-4,6612
1,25-49,2
1,5-9,230
1,50-99,1
10-24,10-24,90252
10-24,100-249,8
10-24,25-49,5760
10-24,50-99,62
100-249,100-249,42467
100-249,250-499,1601
100-249,500-999,9
1000+,1000+,1062
2-4,10-24,260
2-4,2-4,77827
2-4,25-49,10
2-4,5-9,5620
2-4,50-99,1
25-49,100-249,29
25-49,25-49,66813
25-49,250-499,3
25-49,50-99,4973
250-499,1000+,2
250-499,250-499,13635
250-499,500-999,784
5-9,10-24,5649
5-9,100-249,1
5-9,25-49,44
5-9,5-9,58745
5-9,50-99,5
50-99,100-249,3379
50-99,250-499,6
50-99,50-99,53701
500-999,1000+,280
500-999,500-999,4571
