volume_band,users,observations,median_entropy_bits,median_modal_share,pct_f_single_value,pct_f_k_le2,pct_f_sd_lt_05,pct_f_sd_lt_02,pct_f_modal_ge90,pct_f_modal_eq100,pct_f_entropy_lt05,pct_f_top2_ge95,pct_degenerate_broad,pct_degenerate_strict
1,107396,107396,-0.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
2-4,83718,232634,1.0,0.5,25.853,77.338,27.802,24.486,25.853,25.853,25.853,77.338,0.0,0.0
5-9,64444,436829,1.5566567074628228,0.4444444444444444,3.391,16.946,8.078,3.262,3.391,3.391,3.391,16.946,0.0,0.0
10-24,96082,1532266,1.9969459359997104,0.391304347826087,0.756,2.615,1.955,0.75,1.262,0.756,1.241,2.882,2.896,0.143
25-49,71818,2538959,2.1884790868834987,0.35714285714285715,0.281,0.565,0.699,0.304,0.494,0.281,0.468,1.028,0.854,0.38
50-99,57086,4008961,2.2569275767918686,0.34831460674157305,0.18,0.3,0.455,0.2,0.361,0.18,0.336,0.594,0.585,0.282
100-249,44077,6772865,2.2937471962563416,0.3474576271186441,0.091,0.17,0.338,0.111,0.227,0.091,0.213,0.447,0.429,0.17
250-499,14421,4943810,2.3271529760127163,0.34532374100719426,0.021,0.069,0.243,0.049,0.111,0.021,0.104,0.243,0.305,0.076
500-999,4851,3246648,2.3378183402111,0.3474264705882353,0.021,0.144,0.392,0.103,0.206,0.021,0.165,0.433,0.474,0.144
1000+,1062,1514852,2.3668435117746425,0.33795143944019157,0.188,0.188,0.471,0.188,0.471,0.188,0.377,0.659,0.565,0.282
