candidate,description,source,n,pct_pop,mean_resid_Q3bFam,median_resid,sd_resid,share_top5,beta_added,se_beta,cv_delta_R2,jaccard_top1_vs_Q3bFam,folds_beta,in_strong_39,pruned_already,added_coverage_if_flagged
edition_title_any,title contains edition/anniversary/deluxe/premium/heritage/big box/collector/ultimate/essential/revised/second edition (heuristic 501),title,501,3.4086270240849093,0.11565914329773037,0.14114769706546504,0.5681906351408971,0.10578842315369262,0.12294883262141715,0.024485815295668418,0.0005603265019410442,0.9210526315789473,+0.125 +0.119 +0.148 +0.127 +0.096,2,0,501
edition_collectors,Collector's Edition pattern,title,21,0.14287658184787044,0.1785608164079421,0.18008921072868045,0.9098792162801659,0.3333333333333333,,,,,,0,0,21
edition_ultimate,Ultimate Edition pattern,title,7,0.04762552728262349,0.4853267491062739,0.47071555881661453,0.3346217912284294,0.14285714285714285,,,,,,0,0,7
edition_kickstarter,Kickstarter Edition pattern,title,15,0.10205470131990747,0.42849490809973706,0.5071217218161674,0.39908463829463736,0.2,,,,,,1,0,15
edition_complete_collector,Complete Collector pattern,title,1,0.006803646754660498,1.2661336944034645,1.2661336944034645,,1.0,,,,,,0,0,1
edition_essential,Essential Edition pattern,title,3,0.020410940263981495,0.521457485263262,0.5969438872048238,0.2525798179808694,0.0,,,,,,0,0,3
edition_second_edition,Second Edition pattern,title,112,0.7620084365219758,0.20054113629208242,0.17321216243687232,0.4390789007121476,0.07142857142857142,0.20430717625936132,0.05071370684632117,0.0004320985039408809,0.972972972972973,+0.203 +0.210 +0.215 +0.218 +0.172,0,0,112
edition_anniversary,Anniversary pattern,title,12,0.08164376105592598,0.13952680297082223,0.37643738218494516,0.8760356657365265,0.3333333333333333,,,,,,0,0,12
edition_deluxe,Deluxe pattern,title,35,0.23812763641311743,0.23172727203406793,0.25341201369023203,0.5156047129038246,0.11428571428571428,,,,,,0,0,35
high_version_ge10,n_version >=10,game_links version,588,4.000544291740373,-0.007115403122579972,0.04881755622392436,0.5214839414989814,0.025510204081632654,-0.012073796833273342,0.028579890347403537,-0.0001036008178414427,1.0,+0.010 -0.005 -0.026 +0.001 -0.042,0,0,588
any_version,n_version >=1,game_links version,2220,15.104095795346307,0.023150590081852992,0.08121781080430912,0.5644124753649482,0.0545045045045045,0.05753035044846379,0.017793496907208453,0.00023804151608752822,0.9466666666666667,+0.052 +0.073 +0.055 +0.056 +0.050,1,0,2220
multi_reimpl,n_reimpl >1 (multiple reimplementations),game_links reimplementation,869,5.912369029799973,0.04644612893315794,0.11018456519163422,0.5487178405870299,0.05293440736478711,0.25752598676900906,0.04244392961003096,0.00093011160444334,0.9337748344370861,+0.286 +0.272 +0.226 +0.231 +0.271,0,0,869
game_system,Admin: Game System Entries,families,32,0.21771669614913594,0.1619077917087574,0.15237864463401962,0.5915257121157403,0.1875,,,,,,0,0,32
expansion_family,Expansion family,families,42,0.2857531636957409,0.06605461412423667,0.1526175964487302,0.46000211872808666,0.023809523809523808,,,,,,0,0,42
promo,Promotional family,families,35,0.23812763641311743,-0.0634069414183691,-0.0417887906713128,0.6894239327158894,0.08571428571428572,,,,,,0,0,35
series_any,any Series: except 18xx,families Series:,3222,21.921349843516126,0.06548156206264033,0.08593657558890078,0.4832943962476982,0.04996896337678461,0.0937517588589677,0.011188292774278985,0.0017398986101355707,0.9210526315789473,+0.081 +0.101 +0.100 +0.094 +0.092,6,0,3222
game_family,any Game: family (franchise),families Game:,2740,18.641992107769763,0.031765219631993365,0.054581230098688316,0.5566174837583486,0.07627737226277373,0.04599163552246056,0.012223994844200387,0.00036078734220323927,0.9210526315789473,+0.046 +0.045 +0.052 +0.043 +0.045,17,0,2740
n_expansion_ge5,n_expansion >=5,game_links expansion,267,1.8165736834943529,-0.009178183982649333,0.0357694964100812,0.46554093504418753,0.02247191011235955,-0.012682859924250986,0.03827433719764525,-3.040870486237246e-05,0.9863945578231292,-0.004 -0.019 -0.028 +0.012 -0.023,0,0,267
cardset,n_cardset >=1 (card set entry),game_links cardset,843,5.7354742141788,0.10876462612020522,0.13689402666364714,0.4616332498884125,0.045077105575326216,0.16196452379839216,0.022320704058236888,0.0013865523476386254,0.959731543624161,+0.164 +0.162 +0.179 +0.157 +0.147,0,0,843
integration,n_integration >=1,game_links integration,167,1.1362090080283032,0.056485539483188116,0.12484453151671904,0.4929031618142248,0.029940119760479042,0.06167994917328422,0.043017913854216,-3.410378089208077e-05,1.0,+0.115 +0.050 +0.048 +0.037 +0.058,0,0,167
desc_expansion,description contains 'expansion',description,20,0.13607293509320995,0.3707564389657365,0.5215333651764187,0.49669430281684007,0.15,,,,,,0,0,20
