game_id,title,year,weight,min_players,max_players,families,designers,n_obs,adj_mean,resid_Q3bFam,n_version_tgt,n_contained_tgt,decision,reason,evidence,confidence
5336,Talisman (Third Edition),1994.0,2.0884,2.0,8.0,"[""Game: Talisman"", ""Theme: Wizards""]","[""Jervis Johnson""]",1580,6.428518843944176,0.0027942193906769,0,0,borderline,edition_title_Game_family_no_corroboration,"title 'Talisman (Third Edition)' contains edition pattern + families Game: Talisman but no version/contained link, designer overlap 0",borderline
20963,Fury of Dracula (Second Edition),2005.0,2.9534,2.0,5.0,"[""Books: Dracula"", ""Components: Map (Continental / National scale)"", ""Continents: Europe"", ""Creatures: Vampires"", ""Game: Fury of Dracula"", ""Mechanism: Hidden Movement"", ""Players: One versus Many""]","[""Stephen Hand"", ""Kevin Wilson""]",9123,7.371426985051254,0.0202345797154404,0,0,borderline,edition_Game_family_possible,families Game: Fury of Dracula + designer 2 year 10 weight 0.33 vs base 181279 title 'Fury of Dracula (Second Edition)' but weight/year diff larger or no link,borderline
23142,Mag·Blast: Third Edition,2006.0,1.5576,2.0,8.0,"[""Admin: Better Description Needed!"", ""Series: Fantasy Flight Silver Line""]","[""Anders M. Petersen"", ""Christian T. Petersen""]",1944,6.212026674394017,-0.0234014735910834,0,0,borderline,edition_title_no_structured_corroboration,title 'Mag·Blast: Third Edition' contains edition pattern but no version/contained link or Game: family,borderline
37184,Dungeons & Dragons Miniatures Game (Second Edition),2008.0,2.4545,2.0,2.0,"[""Collectible: Collectible Miniatures Games"", ""Players: Two-Player Only Games"", ""Setting: Dungeons & Dragons""]","[""Stephen Schubert"", ""Rob Heinsoo""]",215,6.8704313300601125,0.141147697070604,0,0,borderline,edition_title_no_structured_corroboration,title 'Dungeons & Dragons Miniatures Game (Second Edition)' contains edition pattern but no version/contained link or Game: family,borderline
104162,Descent: Journeys in the Dark (Second Edition),2012.0,3.2169,1.0,5.0,"[""Category: Dungeon Crawler"", ""Components: Miniatures"", ""Creatures: Monsters"", ""Game: Descent \u2013 Journeys in the Dark"", ""Mechanism: Campaign Games"", ""Misc: Watch It Played How To Videos"", ""Players: Games with Solitaire Rules"", ""Players: One versus Many"", ""Setting: The Realms of Terrinoth""]","[""Corey Konieczka"", ""Daniel Clark (I)"", ""Kevin Wilson"", ""Adam Sadler""]",23870,7.755849690861478,-0.045051912646663,0,0,borderline,edition_Game_family_possible,families Game: Descent – Journeys in the Dark + designer 1 year 7 weight 0.13 vs base 17226 title 'Descent: Journeys in the Dark (Second Edition)' but weight/year diff larger or no link,borderline
131111,Codex: Card-Time Strategy – Deluxe Set,2016.0,3.6212,2.0,5.0,"[""Crowdfunding: Kickstarter"", ""Digital Implementations: VASSAL"", ""Series: Fantasy Strike (Sirlin)""]","[""David Sirlin""]",1055,8.372303457816434,0.5416425908859139,0,0,borderline,edition_title_no_structured_corroboration,title 'Codex: Card-Time Strategy – Deluxe Set' contains edition pattern but no version/contained link or Game: family,borderline
142271,Anomia: Party Edition,2013.0,1.0364,3.0,6.0,"[""Series: Anomia""]","[""Andrew Innes""]",1673,7.2687115582000255,0.7381578134363727,0,0,borderline,edition_title_no_structured_corroboration,title 'Anomia: Party Edition' contains edition pattern but no version/contained link or Game: family,borderline
147568,Risk: The Walking Dead – Survival Edition,2013.0,1.96,2.0,5.0,"[""Admin: Better Description Needed!"", ""Comic Books: The Walking Dead"", ""Components: Miniatures"", ""Creatures: Zombies"", ""Game: Risk (Official)"", ""Versions & Editions: Versions with IP after the original release""]",[],444,6.30917916179393,-0.1033802047870526,0,0,borderline,edition_Game_family_possible,families Game: Risk (Official) + designer 0 year 0 weight 0.02 vs base 147523 title 'Risk: The Walking Dead – Survival Edition' but weight/year diff larger or no link,borderline
160044,"Warhammer 40,000 (Seventh Edition)",2014.0,4.125,2.0,12.0,"[""Game: Warhammer 40,000 (Seventh Edition)"", ""Setting: Warhammer 40,000 Wargames""]",[],284,7.134149038938869,-0.693901222959667,0,0,borderline,edition_title_Game_family_no_base,"title 'Warhammer 40,000 (Seventh Edition)' + Game: Warhammer 40,000 (Seventh Edition) but no other game with same family found",borderline
165090,CLUE: Firefly Edition,2014.0,2.25,3.0,6.0,"[""Game: Cluedo / Clue (Parker Brothers, et al)"", ""TV Shows: Firefly""]",[],115,6.113141276024479,-0.5302534374936929,0,0,borderline,edition_title_Game_family_no_corroboration,"title 'CLUE: Firefly Edition' contains edition pattern + families Game: Cluedo / Clue (Parker Brothers, et al) but no version/contained link, designer overlap 0",borderline
