mode,flag_col,description,n,pct_pop,mean_resid_Q3bFam,median_resid,beta_added,se_beta,fold_betas,cv_delta_R2,jaccard_top1,spec_share_ge10_mean,spec_share_ge20_mean,tvd_global_mean,tvd_type_mean,share_own_mean,cross_n_supported_ge10_mean,has_broad_rate,has_niche_drop_rate,prop_adequate_pct,prop_borderline_pct,prop_insufficient_pct,ess_ratio_median,max_weight_median,ref_penetration_mean,in_strong_39,belongs_in,decision
coop,flag_coop_mech,Cooperative,1543,10.498026942441149,-7.190037432722013e-12,0.027772975310059955,,,,,,0.8392054933660772,0.6809567096206333,0.12698305829548084,0.15117168356892993,0.5884533427513324,5.711600777705768,0.7640959170447181,0.23460790667530784,13.804277381723914,66.68826960466625,19.50745301360985,0.2539134259663723,1618.6018442603222,0.007483958873482247,22,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
solo_mech,flag_solo_mech,Solo / Solitaire mech,1397,9.504694516260717,0.010636465607227991,0.013417465621999192,0.0160909925367518,0.017507205999144296,+0.016 +0.017 +0.011 +0.019 +0.017,1.6615075266512846e-05,1.0,0.8401527102985185,0.6791901105517425,0.12902839450528883,0.12070501760454465,0.6281042932605363,4.891911238367931,0.8539727988546886,0.14531138153185397,31.78239083750895,50.25053686471009,17.96707229778096,0.3091675808763934,1476.529756664773,0.012080852439321752,9,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
solo_first,flag_solo_first,solo-first min1 max≤2,691,4.701319907470404,0.1274940714427582,0.1623364520942321,0.17578846388422925,0.023721034156605723,+0.190 +0.174 +0.156 +0.177 +0.183,0.0014256863644521722,0.9466666666666667,0.9006301980078243,0.7749135358263197,0.1154543600506335,0.11086252174004924,0.7073374703008051,3.8465991316931984,0.8422575976845152,0.15629522431259044,15.77424023154848,49.782923299565844,34.44283646888567,0.2401499467562018,2132.135858297593,0.0025060609147101597,4,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
duel,flag_duel,1-2p duel max≤2,2555,17.38331745815757,0.0800358415013051,0.11012771124393339,0.200791275434869,0.016588542196590093,+0.203 +0.189 +0.198 +0.196 +0.217,0.0038461136429615017,0.8136645962732919,0.8986625136939201,0.7841081326017343,0.12944283424363773,0.1100975423576604,0.6626014656136907,3.6194205168363354,0.8304620203602192,0.16758026624902114,25.16634050880626,41.52641878669276,33.30724070450098,0.2811736490217601,1719.498209302451,0.0034941127938270884,8,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
strict_solo,flag_strict_solo,strict solo 1p==1,249,1.6941080419104642,0.12099437872393533,0.1470937693739094,0.14092702252067313,0.036368649423629905,+0.155 +0.106 +0.153 +0.151 +0.143,0.00032215098303178813,0.959731543624161,0.8696596231470565,0.7136288510697506,0.11767151406148112,0.10428464830085872,0.7376371870858875,3.9518072289156625,0.8192771084337349,0.18072289156626506,15.261044176706829,48.99598393574297,35.7429718875502,0.3192188965836595,2272.9532911498072,0.0024475994178355795,0,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
wargame_duel,flag_wargame_duel,Wargame duel,1153,7.844604708123554,0.07441092905472356,0.11848660656716081,0.2040849207187339,0.025893347657856433,+0.211 +0.201 +0.197 +0.209 +0.202,0.001689938736203156,0.9466666666666667,0.9064501120736265,0.7972136038704845,0.10077489439129972,0.1049884385098359,0.7216477356525561,4.012142237640937,0.8447528187337381,0.1552471812662619,0.0,52.298352124891586,47.701647875108414,0.1749475776236026,3696.4423828111208,0.001710693865642922,0,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
euro_duel,flag_euro_duel,Euro duel,1402,9.53871275003402,0.08466175023947096,0.10386362589898912,0.1424964940109678,0.0183963558536874,+0.142 +0.130 +0.143 +0.135 +0.163,0.0015078741960490305,0.8717948717948718,0.83312163098004,0.673811721120939,0.1530192498283351,0.15309605868278198,0.6140420152892886,3.2962169878658103,0.8187009279086367,0.1777301927194861,45.86305278174037,32.66761768901569,21.46932952924394,0.38460700870932785,1283.648854417147,0.004960790414509217,8,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
team,flag_team_mech,Team-Based,802,5.45652469723772,0.030354746011450492,0.03723589812936012,0.035909085977496896,0.020431043581104716,+0.043 +0.032 +0.026 +0.042 +0.037,6.327698868513476e-05,0.959731543624161,0.7608734306088841,0.5657668080261848,0.1420562057493257,0.1399199250075012,0.5656133384392908,4.6807980049875315,0.8416458852867831,0.15835411471321695,32.7930174563591,46.633416458852864,20.57356608478803,0.32524414321649114,1538.9946856857969,0.008327687452621151,3,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
semi_coop,flag_semi_coop,Semi-Cooperative,98,0.6667573819567287,-0.2516883374148727,-0.22345813172386864,-0.2582155742128569,0.05439357137455784,-0.244 -0.254 -0.261 -0.286 -0.245,0.0006121363444542283,1.0,0.7778212089543197,0.5968677174549619,0.12341454412240982,0.11030535422465793,0.5740935584928909,4.76530612244898,0.9489795918367347,0.05102040816326531,37.755102040816325,43.87755102040816,18.367346938775512,0.3431407395951564,1358.9423618988963,0.010788523672937079,0,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
coop_solo,flag_coop_solo,Coop+Solo,495,3.3678051435569465,0.03600480940888631,0.04295079300847782,0.05567729743777403,0.029733020132612593,+0.083 +0.048 +0.050 +0.035 +0.064,2.0591663073554756e-05,0.959731543624161,0.8295958161822349,0.6569623428270557,0.1088003826313711,0.11454651710289841,0.6428180302735635,6.2,0.804040404040404,0.19595959595959597,21.21212121212121,63.030303030303024,15.757575757575756,0.2778855608886858,1530.3277630933048,0.012446034792223365,9,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
heavy,flag_heavy,Heavy weight >=3.5,929,6.3205878350796025,-0.045354188440135036,-0.02204553991914615,-0.08193062170506019,0.02345094850926408,-0.091 -0.081 -0.084 -0.065 -0.088,0.00029238286290311777,0.9863945578231292,0.863369093546665,0.7289811434832265,0.14788886733992349,0.11930186424484805,0.6169742279434259,4.389666307857912,0.8945102260495156,0.10441334768568353,24.757804090419803,50.269106566200215,24.97308934337998,0.2275582978526648,1045.542503454291,0.00954005280824428,2,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
light,flag_light,Light weight <=1.5,4293,29.20805551775752,-0.018242724237630382,0.0351780342497543,-0.05893605554716543,0.014586704613208844,-0.051 -0.073 -0.060 -0.056 -0.055,0.00036992896812815257,0.9466666666666667,0.7756920710811217,0.5890037595345368,0.17416909964007393,0.16895611396432836,0.5674210607919082,3.627738927738928,0.8545454545454545,0.14382284382284383,17.61006289308176,58.490566037735846,23.89937106918239,0.3495492449477241,1793.3726675289656,0.003886978490236146,8,audience-selection,"keep as monitoring flag (not model, not blanket penalty)"
game_system,flag_game_system,Game System,32,0.21771669614913594,0.16190779171588715,0.15237864464125117,0.16556996266451235,0.09509807455079813,+0.242 +0.072 +0.251 +0.126 +0.119,-5.639670502699534e-05,0.9863945578231292,0.8131806077043136,0.6390389630656573,0.08175448006015895,0.1479115054070403,0.6126496937157913,3.59375,0.90625,0.09375,62.5,9.375,28.125,0.4055459981996056,1272.433698217661,0.008521454956504292,0,eligibility/screening,eligibility check
edition_title,flag_edition_title,Edition title,501,3.4086270240849093,0.11565914330714747,0.14114769707060404,0.12294883262141718,0.024485822964763163,+0.125 +0.119 +0.148 +0.127 +0.096,0.0005603265019332726,0.9210526315789473,0.7617930134707341,0.5901671175502923,0.13301329439184673,0.12443816358149266,0.6649333165891277,4.612774451097804,0.7964071856287425,0.20359281437125748,26.546906187624753,48.10379241516966,25.349301397205586,0.3217308661973868,1533.769295438708,0.006408918551678047,2,eligibility/screening,eligibility check
high_version,flag_high_version,High version >=10,588,4.000544291740373,-0.007115403116534372,0.04881755623270756,,,,,,0.742185197275636,0.5473121284567798,0.115868024377485,0.10205452911872945,0.5911840396364596,5.096938775510204,0.814625850340136,0.18537414965986396,47.10884353741497,47.7891156462585,5.1020408163265305,0.3783897651052468,1445.567229210601,0.04731941718315656,0,eligibility/screening,eligibility check
