game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket
12,27540,27540,0.09867148200696504,exclude_>2500
173,7719,7623,0.027312008254869083,exclude_>2500
178,217,213,0.000763145449073477,eligible_<1700
180,139,138,0.0004944322627799991,eligible_<1700
181,34214,33414,0.11971709875747023,exclude_>2500
183,148,147,0.0005266778451352165,eligible_<1700
185,713,691,0.0024757441563839086,eligible_<1700
190,202,202,0.0007237341817504336,eligible_<1700
195,106,102,0.0003654499333591298,eligible_<1700
199,5828,5810,0.020816314831534746,exclude_>2500
206,317,317,0.0011357610674004328,eligible_<1700
214,2876,2866,0.010268426558894764,exclude_>2500
424,1053,1026,0.0036759963884947762,eligible_<1700
481,3669,3659,0.013109620648637804,exclude_>2500
483,12881,12618,0.0452083064620147,exclude_>2500
486,243,239,0.0008562993536552159,eligible_<1700
487,274,266,0.0009530361007208679,eligible_<1700
497,638,633,0.0022679392923169524,eligible_<1700
499,388,381,0.0013650629863708671,eligible_<1700
507,176,174,0.0006234145922008685,eligible_<1700
509,786,778,0.0027874514524843428,eligible_<1700
510,223,223,0.0007989738739126073,eligible_<1700
514,587,572,0.002049385900798257,eligible_<1700
519,115,115,0.00041202688564999926,eligible_<1700
828,383,363,0.0013005718216604326,eligible_<1700
834,1056,1045,0.0037440703956891238,eligible_<1700
853,348,346,0.001239663499433911,eligible_<1700
855,3469,3455,0.012378720781919544,exclude_>2500
865,222,210,0.0007523969216217378,eligible_<1700
866,183,174,0.0006234145922008685,eligible_<1700
869,541,537,0.001923986413861301,eligible_<1700
870,543,534,0.001913237886409562,eligible_<1700
908,3063,3042,0.010899006836063459,exclude_>2500
916,110,109,0.0003905298307465211,eligible_<1700
929,8138,8075,0.028931453057597777,exclude_>2500
935,526,515,0.0018451638792152142,eligible_<1700
937,306,299,0.0010712699026899982,eligible_<1700
940,172,172,0.0006162489072330424,eligible_<1700
950,432,429,0.001537039425598693,eligible_<1700
954,125,125,0.0004478553104891297,eligible_<1700
982,499,462,0.0016552732275678232,eligible_<1700
988,471,466,0.0016696045975034754,eligible_<1700
1017,995,994,0.003561345429009559,eligible_<1700
1032,1914,1668,0.005976181263166946,borderline_1700-2500
1037,638,622,0.0022285280249939093,eligible_<1700
1467,269,260,0.0009315390458173897,eligible_<1700
1468,105,100,0.00035828424839130373,eligible_<1700
1470,230,228,0.0008168880863321725,eligible_<1700
1477,122,114,0.00040844404316608626,eligible_<1700
1484,1618,1574,0.005639394069679121,eligible_<1700
1491,1215,1208,0.004328073720566949,eligible_<1700
1916,300,288,0.0010318586353669547,eligible_<1700
1919,398,315,0.0011285953824326067,eligible_<1700
1920,332,316,0.0011321782249165198,eligible_<1700
1931,781,763,0.0027337088152256475,eligible_<1700
1961,614,603,0.0021604540177995613,eligible_<1700
1969,133,123,0.00044068962552130356,eligible_<1700
1987,115,100,0.00035828424839130373,eligible_<1700
1992,892,861,0.003084827378649125,eligible_<1700
1998,149,148,0.0005302606876191296,eligible_<1700
2000,150,146,0.0005230950026513034,eligible_<1700
2002,144,141,0.0005051807902317383,eligible_<1700
2004,386,376,0.001347148773951302,eligible_<1700
2040,165,159,0.000569671954942173,eligible_<1700
2073,518,417,0.0014940453157917366,eligible_<1700
2078,182,137,0.0004908494202960861,eligible_<1700
2079,585,455,0.0016301933301804319,eligible_<1700
2091,131,123,0.00044068962552130356,eligible_<1700
2099,106,106,0.00037978130329478196,eligible_<1700
2114,615,606,0.0021712025452513004,eligible_<1700
2121,150,134,0.000480100892844347,eligible_<1700
2130,356,349,0.00125041202688565,eligible_<1700
2133,574,556,0.0019920604210556486,eligible_<1700
2138,105,83,0.0002973759261647821,eligible_<1700
2157,157,149,0.0005338435301030425,eligible_<1700
2168,561,499,0.0017878383994726055,eligible_<1700
2179,424,422,0.0015119595282113017,eligible_<1700
2180,179,176,0.0006305802771686945,eligible_<1700
