spec,fold,feature,beta,mean,sd,beta_full,ols_se
Q3b,1,fam_18XX,,,,,
Q3b,2,fam_18XX,,,,,
Q3b,3,fam_18XX,,,,,
Q3b,4,fam_18XX,,,,,
Q3b,5,fam_18XX,,,,,
Q3b_x18XX,1,fam_18XX,0.7481540336237162,0.7485412307896523,0.022814126643210645,0.7483006430984792,0.06224986878178305
Q3b_x18XX,2,fam_18XX,0.7739411347378949,0.7485412307896523,0.022814126643210645,0.7483006430984792,0.06224986878178305
Q3b_x18XX,3,fam_18XX,0.7150642047337183,0.7485412307896523,0.022814126643210645,0.7483006430984792,0.06224986878178305
Q3b_x18XX,4,fam_18XX,0.7409391428413442,0.7485412307896523,0.022814126643210645,0.7483006430984792,0.06224986878178305
Q3b_x18XX,5,fam_18XX,0.7646076380115878,0.7485412307896523,0.022814126643210645,0.7483006430984792,0.06224986878178305
Q3bFam,1,fam_18XX,0.7477462019875832,0.7485289867625395,0.02289192937031898,0.7483291498362761,0.062192702523803364
Q3bFam,2,fam_18XX,0.7738479288743823,0.7485289867625395,0.02289192937031898,0.7483291498362761,0.062192702523803364
Q3bFam,3,fam_18XX,0.7149295221039583,0.7485289867625395,0.02289192937031898,0.7483291498362761,0.062192702523803364
Q3bFam,4,fam_18XX,0.7411336889191478,0.7485289867625395,0.02289192937031898,0.7483291498362761,0.062192702523803364
Q3bFam,5,fam_18XX,0.7649875919276263,0.7485289867625395,0.02289192937031898,0.7483291498362761,0.062192702523803364
Q4,1,fam_18XX,,,,,
Q4,2,fam_18XX,,,,,
Q4,3,fam_18XX,,,,,
Q4,4,fam_18XX,,,,,
Q4,5,fam_18XX,,,,,
Q4Fam,1,fam_18XX,0.6517133438460718,0.6642329398700342,0.023395254495930152,0.6640646989962585,0.06650795929279787
Q4Fam,2,fam_18XX,0.6962582261775503,0.6642329398700342,0.023395254495930152,0.6640646989962585,0.06650795929279787
Q4Fam,3,fam_18XX,0.6335562307300805,0.6642329398700342,0.023395254495930152,0.6640646989962585,0.06650795929279787
Q4Fam,4,fam_18XX,0.6711481427278306,0.6642329398700342,0.023395254495930152,0.6640646989962585,0.06650795929279787
Q4Fam,5,fam_18XX,0.6684887558686381,0.6642329398700342,0.023395254495930152,0.6640646989962585,0.06650795929279787
Q3bFam_yearlin,1,fam_18XX,0.6692330563835939,0.6812389818820048,0.024835716338505367,0.6810576134099946,0.06534922264414443
Q3bFam_yearlin,2,fam_18XX,0.7094172235243899,0.6812389818820048,0.024835716338505367,0.6810576134099946,0.06534922264414443
Q3bFam_yearlin,3,fam_18XX,0.6483131916437522,0.6812389818820048,0.024835716338505367,0.6810576134099946,0.06534922264414443
Q3bFam_yearlin,4,fam_18XX,0.6772737465355285,0.6812389818820048,0.024835716338505367,0.6810576134099946,0.06534922264414443
Q3bFam_yearlin,5,fam_18XX,0.7019576913227595,0.6812389818820048,0.024835716338505367,0.6810576134099946,0.06534922264414443
Q3b,1,fam_Cooperative Game,,,,,
Q3b,2,fam_Cooperative Game,,,,,
Q3b,3,fam_Cooperative Game,,,,,
Q3b,4,fam_Cooperative Game,,,,,
Q3b,5,fam_Cooperative Game,,,,,
Q3b_x18XX,1,fam_Cooperative Game,,,,,
Q3b_x18XX,2,fam_Cooperative Game,,,,,
Q3b_x18XX,3,fam_Cooperative Game,,,,,
Q3b_x18XX,4,fam_Cooperative Game,,,,,
Q3b_x18XX,5,fam_Cooperative Game,,,,,
Q3bFam,1,fam_Cooperative Game,0.07767764064363486,0.0828674833275234,0.005879510342643994,0.0829289413247841,0.01663617339607948
Q3bFam,2,fam_Cooperative Game,0.09178571193368187,0.0828674833275234,0.005879510342643994,0.0829289413247841,0.01663617339607948
Q3bFam,3,fam_Cooperative Game,0.08141000252706768,0.0828674833275234,0.005879510342643994,0.0829289413247841,0.01663617339607948
Q3bFam,4,fam_Cooperative Game,0.07805082555622814,0.0828674833275234,0.005879510342643994,0.0829289413247841,0.01663617339607948
Q3bFam,5,fam_Cooperative Game,0.08541323597700448,0.0828674833275234,0.005879510342643994,0.0829289413247841,0.01663617339607948
Q4,1,fam_Cooperative Game,,,,,
Q4,2,fam_Cooperative Game,,,,,
Q4,3,fam_Cooperative Game,,,,,
Q4,4,fam_Cooperative Game,,,,,
Q4,5,fam_Cooperative Game,,,,,
Q4Fam,1,fam_Cooperative Game,,,,,
Q4Fam,2,fam_Cooperative Game,,,,,
Q4Fam,3,fam_Cooperative Game,,,,,
Q4Fam,4,fam_Cooperative Game,,,,,
Q4Fam,5,fam_Cooperative Game,,,,,
Q3bFam_yearlin,1,fam_Cooperative Game,0.11788701771630176,0.12271261458133709,0.009210056727416585,0.12272706594689439,0.017431633873411647
Q3bFam_yearlin,2,fam_Cooperative Game,0.13740390855990817,0.12271261458133709,0.009210056727416585,0.12272706594689439,0.017431633873411647
Q3bFam_yearlin,3,fam_Cooperative Game,0.11555843371308824,0.12271261458133709,0.009210056727416585,0.12272706594689439,0.017431633873411647
Q3bFam_yearlin,4,fam_Cooperative Game,0.11659651971900584,0.12271261458133709,0.009210056727416585,0.12272706594689439,0.017431633873411647
Q3bFam_yearlin,5,fam_Cooperative Game,0.12611719319838147,0.12271261458133709,0.009210056727416585,0.12272706594689439,0.017431633873411647
Q3b,1,fam_Legacy Game,,,,,
Q3b,2,fam_Legacy Game,,,,,
Q3b,3,fam_Legacy Game,,,,,
Q3b,4,fam_Legacy Game,,,,,
Q3b,5,fam_Legacy Game,,,,,
Q3b_x18XX,1,fam_Legacy Game,,,,,
Q3b_x18XX,2,fam_Legacy Game,,,,,
Q3b_x18XX,3,fam_Legacy Game,,,,,
Q3b_x18XX,4,fam_Legacy Game,,,,,
