spec,weighting,target,n_games,n_features,r2_in,rmse_in,mae_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,beta_logn,beta_logn_fold_sd,beta_weight,beta_weight_fold_sd,corr_resid_logn,corr_cvresid_logn,spearman_resid_logn,max_abs_bandmean_resid
Q0_linear,ols,adj,16549,3,0.19654843001587974,0.7813368130956209,0.6009051250156148,0.19615443940357585,0.013510463241316245,0.7814717075476549,0.010505341563963395,0.29794738080970334,0.005046544219239104,,,9.674188122720798e-16,-0.00015322274129237815,0.03770186076481215,0.304668317311822
Q0_linear,wls_n,adj,16549,3,0.18410640534534717,0.7873633522941189,0.6007579624729958,0.18327271721349853,0.017070649893526416,0.7876864061263336,0.011171348075912196,0.44147903103904945,0.005790799353499386,,,-0.11179461661796548,-0.1124107791491202,-0.06789946154609211,0.43002065862805555
Q0_flex_year,ols,adj,16549,5,0.2951917183772863,0.7318025764669457,0.5548495766167463,0.29470547236047845,0.015583634750718634,0.7319934595190879,0.011819434925376064,0.4375401112044467,0.00500002030016393,,,-1.4724940504381947e-13,-0.00017595807705211456,0.030998438408791473,0.1483316401605
Q0_flex_year,wls_n,adj,16549,5,0.27077103306741035,0.7443726209066259,0.564657307705195,0.2699481192058035,0.01919984368582915,0.7447104734912614,0.01309610892342177,0.49102170413736884,0.0058301591542750456,,,-0.08040894661192373,-0.08124441227447554,-0.04601791130128336,0.24671873713497067
Q0_flex_year,gls_eff,adj,16549,5,0.2947261145568345,0.7320442548285704,0.5541936128433138,0.2942550221635347,0.015225011493198664,0.7322265165106062,0.011519590349764767,0.45793592867777233,0.00414021164566983,,,-0.021692228814903996,-0.021823239610262616,0.010682715559503004,0.15615614652114218
Q0_flex_bands,ols,adj,16549,16,0.28171866065212636,0.7387640046649339,0.5622911861719643,0.2799575683379926,0.014807458369555826,0.7396082610659052,0.011254858540731294,,,,,-0.013435211496582139,-0.013734994988476247,0.014145617588593399,1.437505576758354e-14
Q0_flex_bands,wls_n,adj,16549,16,0.26092778013617457,0.7493796134750895,0.5724036565302595,0.2588312875588705,0.015016500331391408,0.750382071465282,0.011387894385598393,,,,,-0.043443198234675705,-0.04391200080243973,-0.017845124985539484,0.12762051348999431
Q1_core,ols,adj,16549,6,0.5400197509803196,0.5911912899499036,0.43995618798144354,0.5396687557326767,0.01918382704814916,0.5913159910405579,0.015829183470228308,0.3228778665865346,0.004584897909660358,0.5468710558143002,0.00214748403225857,-1.8957000934627355e-13,-0.00017010656307592345,0.017521608692466165,0.1470129820809757
Q1_core,wls_n,adj,16549,6,0.5165163966069214,0.6061070143823614,0.44789501004456306,0.5160184321702583,0.02200195822754495,0.6062915897068998,0.017171803170613578,0.412076484925529,0.007628762512756274,0.44545887859008676,0.007329571455305986,-0.10822905206986601,-0.10897588023718892,-0.08670016685660797,0.2889981099780065
Q1_core,gls_eff,adj,16549,6,0.5396517502652239,0.5914277297987934,0.4396220442497029,0.5393317163458802,0.018836568971640266,0.591535125408827,0.015572513942074866,0.3411945766600967,0.0037705629720684625,0.5465843449663285,0.0019644694115951073,-0.023937162128409024,-0.024066073329713396,-0.005751122824582599,0.16184151857547646
Q2_structure,ols,adj,16549,11,0.546458309450995,0.5870391184145574,0.43521684403288324,0.5458338773263559,0.02029088726557825,0.5873309252151576,0.016689943221824623,0.3237262050283728,0.004104389281896356,0.48394101423456154,0.004722704399632795,-5.914937341170774e-13,-0.0001126366712904299,0.019564220034486934,0.13256369633237358
Q2_structure,wls_n,adj,16549,11,0.5199004363096951,0.6039821317148232,0.44569478821047503,0.5194738775450579,0.023583046139254094,0.6041007798918506,0.01810150955117016,0.43762744691179634,0.009520254676914789,0.43437978608462424,0.0046846908711128295,-0.121364550920287,-0.12162311003659614,-0.10086914410166711,0.3129959601959444
Q3_categories,ols,adj,16549,39,0.572443832867612,0.569973970100644,0.42000634305719864,0.5704413447807412,0.022103398896358643,0.5711578260471478,0.018000026124515272,0.3516300847789599,0.00531422787381551,0.4676713791717569,0.00348352971028314,-9.627004234035519e-13,-0.00012747245329320592,0.025975714003469878,0.12793205946198888
Q3_categories,wls_n,adj,16549,39,0.5398985854221772,0.5912691490603302,0.4335605124458262,0.5383027110747538,0.02161267122879127,0.592157175091826,0.016988460536778126,0.4501099265105788,0.009741437737340998,0.41708570561744784,0.005002713196679579,-0.12543792016700717,-0.12544102695726303,-0.10453812419538065,0.32039558716556416
Q3_categories,gls_eff,adj,16549,39,0.5720234507912952,0.5702541063631363,0.41949366779607256,0.5700984460491045,0.021735801900472345,0.5713905585064252,0.017738502062433867,0.3731920815620251,0.004394778185316246,0.4668415604641655,0.0031535888216682557,-0.02556223129008154,-0.025579979661300312,0.0008087551431269137,0.16090342277919384
Q3b_flex_volume,ols,adj,16549,46,0.5843975289309644,0.5619497670171794,0.4144297588759404,0.5821894267159451,0.023359154952727345,0.5632644174688681,0.018947996720432538,,,0.46134583685419184,0.003484767876524894,-0.004173682691900983,-0.004262127693593786,-0.0027416068674785813,3.723970979189076e-12
Q3b_flex_volume,wls_n,adj,16549,46,0.5616207028334987,0.5771430270659654,0.42573354821210024,0.5599494763791414,0.02219604262474718,0.5780952815852046,0.017864691981391363,,,0.41257104919477844,0.0034045307774790584,-0.02601140559700985,-0.026305418784355616,-0.02872233418424046,0.06007727812447529
Q4_mechanics,ols,adj,16549,73,0.5883907575406153,0.5592435629750424,0.41134818807089346,0.5849415737618434,0.023905637057765723,0.5613963760608438,0.01939220309815263,0.34383180549197884,0.005754629909756887,0.4324802457516624,0.004106736068574634,-1.2056640882944645e-11,-0.00041390869065643373,0.026346973312777845,0.12964850531232117
Q4_mechanics,wls_n,adj,16549,73,0.5533642544121474,0.5825526389553796,0.4264437071288402,0.5513902960234909,0.021676459331328002,0.5836963604991625,0.017218538350190733,0.4517161887230027,0.007332945367253694,0.40883576338957495,0.0031852126871176317,-0.13093226726210316,-0.12993364356989506,-0.10690588474421647,0.3395429706869933
Q0_flex_year,ols,raw,16549,5,0.2678464818684696,0.6947645564177855,0.5261910066708294,0.2674579533925579,0.009547178884430182,0.694901678827881,0.007100554500572788,0.39014418673703355,0.0036216334530186356,,,3.535589227497232e-13,-0.0001652143543744271,0.014951230359295908,0.24579399945792826
Q0_flex_year,wls_n,raw,16549,5,0.23273712906472743,0.7112277106799045,0.5376067883160279,0.23191074024066233,0.01704611464044474,0.7115447648821764,0.010418164321313542,0.5116607915042714,0.0033090166917817735,,,-0.131336268509413,-0.13193314301694922,-0.11607852779834416,0.34140025522438877
Q3_categories,ols,raw,16549,39,0.5645278745447619,0.535817333098465,0.399414363479565,0.5623268040471024,0.021011491510936366,0.5370350583519794,0.015378453588176598,0.3176385866309988,0.0038208903567048557,0.4093341814772445,0.0019437962461124102,-1.1646503241936407e-12,-0.0001277909639193202,-0.005400574174740735,0.19038821353799115
Q3_categories,wls_n,raw,16549,39,0.5159029468218204,0.5649406137318734,0.42153201783119376,0.5141495457780177,0.023177327116446943,0.5658157977194437,0.01577031991955938,0.4610296550688811,0.00873330156296599,0.3536766472194379,0.004743616363994888,-0.1711879175757237,-0.17076198202857984,-0.17986622104129785,0.3810710993044973
Q3b_flex_volume,ols,raw,16549,46,0.5741550043490145,0.5298614844897923,0.3939040673948641,0.5717072178056705,0.020905859628951435,0.5312420671022029,0.015344553183863676,,,0.4046432597650355,0.001773731881431606,0.006341338135912224,0.006203801150113417,-0.005438538002723235,4.468893528990536e-12
Q3b_flex_volume,wls_n,raw,16549,46,0.5449660122115583,0.5477198697317298,0.4069669388613006,0.5430367177565559,0.02147659753240481,0.5487498955491837,0.015505491614984351,,,0.3494426230547474,0.0038421349079753387,-0.0003561872576760227,-0.0008482832090111837,-0.015524800626970937,0.04318117833347817
