decile,games,median_n,raw_mean,adj_mean
"(-0.001, 2.0]",1695,82.0,6.873441357450862,7.143423885091912
"(2.0, 2.104]",1630,113.0,6.327850840852942,6.594574178036824
"(2.104, 2.212]",1661,144.0,6.37660002097131,6.644226226697919
"(2.212, 2.332]",1658,187.0,6.410308410509474,6.67994753659806
"(2.332, 2.467]",1646,250.0,6.44719494079402,6.725614050450336
"(2.467, 2.63]",1648,350.0,6.518906243500025,6.8120306151310785
"(2.63, 2.822]",1658,530.0,6.599277463022027,6.908515426989653
"(2.822, 3.075]",1655,872.0,6.735073620988893,7.052773056096654
"(3.075, 3.446]",1656,1743.0,6.853651964864327,7.184982447284321
"(3.446, 5.087]",1657,5701.0,7.178288612619783,7.504387666607238
