game_id,game name,release year,bgg_weight,residual,n_obs
156546,Monikers,2015,1.09,1.2926,6607
1353,Time's Up!,1999,1.2012,1.1459,5962
18833,Lord of the Rings: The Confrontation,2005,2.1934,1.0317,6420
46213,Telestrations,2009,1.0692,0.9082,18877
150,PitchCar,1995,1.1203,0.9014,11175
108687,Puerto Rico,2011,3.2239,0.8816,5629
92828,Dixit: Odyssey,2011,1.1601,0.8213,21146
215,Tichu,1991,2.345,0.8024,15687
327,Loopin' Louie,1992,1.0509,0.8021,9546
5,Acquire,1963,2.488,0.7909,20432
3201,Lord of the Rings: The Confrontation,2002,2.1494,0.7700,6909
397598,Dune: Imperium – Uprising,2023,3.5252,0.7565,8869
904,Nightmare Productions,2000,2.0965,0.7559,5807
118,Modern Art,1992,2.2765,0.7526,23096
266507,Clank! Legacy: Acquisitions Incorporated,2019,2.7412,0.7510,9745
220,High Society,1995,1.4817,0.7373,14540
172,For Sale,1997,1.2486,0.7336,31909
41,Can't Stop,1980,1.1422,0.7260,19425
182631,Star Realms: Colony Wars,2015,1.8742,0.7027,8214
256916,Concordia Venus,2018,3.0087,0.6981,6433
293141,King of Tokyo: Dark Edition,2020,1.6294,0.6981,5420
165722,KLASK,2014,1.0447,0.6906,10897
291453,SCOUT,2019,1.3897,0.6734,19694
218417,Aeon's End: War Eternal,2017,2.9257,0.6431,5888
189932,Tyrants of the Underdark,2016,2.5403,0.6409,9452
47,Chinatown,1999,2.2237,0.6319,11597
188866,Awkward Guests: The Walton Case,2016,2.3151,0.6295,8559
135779,A Fake Artist Goes to New York,2011,1.0957,0.6265,9128
146652,Legendary Encounters: An Alien Deck Building Game,2014,2.7078,0.6255,12921
7854,YINSH,2003,2.6232,0.6193,9112
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,2.6643,0.6031,21275
12,Ra,1999,2.3039,0.6023,27540
46,Medici,1995,2.216,0.5893,8446
316554,Dune: Imperium,2020,3.0781,0.5860,46940
31627,Ticket to Ride: Nordic Countries,2007,1.9668,0.5816,14132
117959,Las Vegas,2012,1.1667,0.5769,11627
271320,The Castles of Burgundy,2019,2.9139,0.5682,11746
150145,Skull King,2013,1.726,0.5662,11633
36932,Claustrophobia,2009,2.4839,0.5587,6936
230253,Star Realms: Frontiers,2018,1.8733,0.5549,5343
365717,Clank!: Catacombs,2022,2.4892,0.5523,8014
1382,Winner's Circle,2001,1.6061,0.5496,5701
760,Battle Line,2000,1.8882,0.5395,17480
161614,Stockpile,2015,2.1256,0.5376,7281
13004,The Downfall of Pompeii,2004,1.8439,0.5285,8389
93,El Grande,1995,2.9315,0.5207,29933
128271,Ginkgopolis,2012,2.9,0.5199,8277
56692,Parade,2007,1.4557,0.5171,8128
193042,Junk Art,2016,1.193,0.5092,7771
372,Schotten Totten,1999,1.6692,0.5017,12185
2653,Survive: Escape from Atlantis!,1982,1.693,0.4997,26095
54043,Jaipur,2009,1.463,0.4953,52305
166669,San Juan (Second Edition),2014,2.0962,0.4949,7504
11170,Heroscape Master Set: Rise of the Valkyrie,2004,2.3007,0.4939,7868
294484,Unmatched: Cobble & Fog,2020,1.9662,0.4921,8097
163166,One Night Ultimate Werewolf: Daybreak,2015,1.4065,0.4917,6028
25021,Sekigahara: The Unification of Japan,2011,2.802,0.4852,6099
198740,Lovecraft Letter,2017,1.431,0.4846,5033
39856,Dixit,2008,1.1912,0.4711,64620
158600,Hanamikoji,2013,1.6736,0.4710,19235
21348,Ticket to Ride: Märklin,2006,2.2422,0.4703,9033
124361,Concordia,2013,2.9855,0.4698,41235
225694,Decrypto,2018,1.8259,0.4600,23792
195539,The Godfather: Corleone's Empire,2017,2.6438,0.4598,7742
302723,Forgotten Waters,2020,2.0889,0.4591,6281
121,Dune,1979,3.4527,0.4577,5709
12942,No Thanks!,2004,1.1293,0.4571,28144
421006,The Lord of the Rings: Duel for Middle-earth,2024,2.0716,0.4545,6710
66589,Navegador,2010,3.08,0.4538,9364
84876,The Castles of Burgundy,2011,2.9701,0.4515,62576
173346,7 Wonders Duel,2015,2.2276,0.4495,93303
329839,So Clover!,2021,1.1226,0.4479,9292
20437,Lords of Vegas,2010,2.3401,0.4467,7719
51,Ricochet Robots,1999,2.3734,0.4439,9147
219215,Werewords,2017,1.1474,0.4438,5494
43015,Hansa Teutonica,2009,3.0887,0.4429,16049
209418,Dominion (Second Edition),2016,2.1742,0.4417,10598
266830,QE,2019,1.5442,0.4405,6703
232832,Century: Golem Edition,2017,1.7089,0.4388,12733
223770,Startups,2017,1.5814,0.4342,5151
92415,Skull,2011,1.118,0.4336,24983
3,Samurai,1998,2.4406,0.4328,16336
1465,Wizard,1984,1.703,0.4292,11921
2346,DVONN,2001,2.6491,0.4288,5382
324856,The Crew: Mission Deep Sea,2021,2.0506,0.4278,19985
128671,Spartacus: A Game of Blood and Treachery,2012,2.7275,0.4243,8832
168584,Love Letter: Batman,2015,1.1884,0.4229,5608
5782,Coloretto,2003,1.2696,0.4225,21545
34219,Biblios,2007,1.6924,0.4202,17799
271896,Star Wars: Outer Rim,2019,2.5961,0.4187,12888
256952,Zombie Kidz Evolution,2018,1.3765,0.4184,5294
8125,Santiago,2003,2.4797,0.4162,5458
82222,Xia: Legends of a Drift System,2014,3.2034,0.4154,9900
33604,Say Anything,2008,1.0926,0.4119,6237
27173,Vikings,2007,2.5414,0.4073,8503
161936,Pandemic Legacy: Season 1,2015,2.8283,0.4071,51131
253344,Cthulhu: Death May Die,2019,2.4911,0.4026,13262
167791,Terraforming Mars,2016,3.2726,0.3988,93632
72321,The Networks,2016,2.5985,0.3960,6610
156129,Deception: Murder in Hong Kong,2014,1.5887,0.3953,23119
