game_id,game name,release year,bgg_weight,residual,n_obs
4385,A Gamut of Games,1969,2.3235,1.8407,434
120269,Red White & Blue Racin': Stock Car Action Game,2012,1.9231,1.7893,131
33434,Funkenschlag: EnBW,2007,3.1667,1.7325,198
24996,Start Player: A Kinda Collectible Card Game,2006,1.0,1.7212,181
186279,Finska Mini,2011,1.1538,1.6517,468
97683,Age of Rail: South Africa,2011,3.0,1.6362,277
341489,Carrooka,2021,1.1,1.5810,195
4657,Replay Baseball,1973,2.5,1.5721,103
8939,Der wahre Walter,1989,1.2,1.5663,170
1803,Zopp,1997,1.1765,1.5663,158
2470,The Extraordinary Adventures of Baron Munchausen,1998,1.4643,1.5558,379
541,Das Motorsportspiel,1995,2.0,1.5487,381
188530,My Favourite Things,2015,1.2857,1.5328,375
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019,1.6667,1.5076,132
6688,Ninety-Nine,1974,2.0789,1.5042,554
153016,Telestrations: 12 Player Party Pack,2011,1.0577,1.4807,3140
156372,Heart of Crown: Fairy Garden,2013,2.5714,1.4500,304
14188,Bughouse Chess,1960,2.7805,1.4493,362
351600,Mortum: Medieval Detective – The Shelter,2022,1.4,1.4400,131
2981,Breaking Away,1991,2.2712,1.4318,460
161880,The Quiet Year,2013,1.3846,1.4148,406
4485,Hotel Life,1989,2.5,1.4105,139
249768,My First Adventure: Finding the Dragon,2018,1.0,1.4039,100
207951,Tintas,2016,1.4167,1.3823,312
260234,Middle-Earth Strategy Battle Game: Rules Manual,2018,3.1,1.3742,144
62814,Tumblin-Dice Medium,2008,1.0,1.3737,215
13089,Wie ich die Welt sehe...,2004,1.1304,1.3693,366
2251,Strat-O-Matic Baseball,1962,2.3909,1.3692,1071
165748,Psycho Raiders,2014,2.8182,1.3577,197
220975,History Maker Golf,2017,2.3,1.3470,130
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024,2.75,1.3365,234
172844,Charms,2014,2.0909,1.3359,254
141067,History Maker Baseball,2013,2.2,1.3346,207
2794,Spinball,2001,1.1875,1.3223,171
5217,Eleusis,1956,2.875,1.3222,216
1770,Aliens,1989,2.2254,1.3214,713
241203,Ascension: Year Four Collector's Edition,2017,2.0,1.3212,122
1757,Yacht Race,1960,2.0,1.3196,120
58782,Bluffer,1993,1.1667,1.3193,145
2919,Search for the Emperor's Treasure,1981,1.7619,1.3176,193
56995,The Twelve Doctors: Doctor Who Card Game,2009,2.375,1.3096,139
261588,Ascension: Year Five Collector's Edition,2019,2.0,1.3095,107
159333,Fendo,2014,2.0,1.3053,121
156546,Monikers,2015,1.09,1.2926,6607
4642,Sports Illustrated Baseball,1972,1.963,1.2919,177
68199,Catchup,2010,2.1,1.2889,135
237009,Urbino,2017,2.1111,1.2884,207
12071,Second Season Pro Football Game,1999,2.7857,1.2843,132
275626,Dominion: Einsteiger-Bigbox,2019,2.0,1.2797,114
345976,System Gateway (fan expansion for Android: Netrunner),2021,3.5,1.2760,660
265754,Exceed: Street Fighter – M. Bison Box,2019,2.3333,1.2703,134
7290,Dynasty League Baseball Powered by Pursue the Pennant,1985,2.5357,1.2675,222
34450,Bluff,1973,1.0,1.2516,160
9539,Beat the 8 Ball,1975,1.0,1.2458,196
7487,Flutter,1950,1.6667,1.2450,103
76728,Freeze,2010,1.1111,1.2445,104
301480,Binho Classic,2019,1.0,1.2445,112
401168,nana: Christmas Edition,2022,1.0,1.2409,100
1278,Dutch InterCity,1999,2.4545,1.2358,209
165595,JamSumo,2014,1.1667,1.2206,350
12157,Unanimo,1990,1.1515,1.2203,951
895,APBA Pro Baseball,1951,1.8889,1.2190,290
197786,Say my Name,2015,1.1667,1.2151,146
252657,luz,2014,2.0,1.2150,228
5243,Montage,1973,2.5385,1.2115,209
165332,Puerto Rico,2007,3.0769,1.2031,117
223952,Boast or Nothing,2017,1.4167,1.2019,364
4079,What's My Word?,1972,2.1143,1.2010,375
186567,Baseball Highlights: 2045 – Super Deluxe Edition,2015,2.125,1.1988,513
19056,Square on Sale,2002,2.5,1.1849,178
156455,Viticulture: Complete Collector's Edition,2014,3.32,1.1837,806
1271,Volltreffer,1999,1.8333,1.1826,175
244258,The Red Dragon Inn 7: The Tavern Crew,2018,1.6,1.1810,310
4688,Angola,1988,3.18,1.1746,540
183836,Ferox,2015,2.1429,1.1745,121
275972,Star Trek: Alliance – Dominion War Campaign,2021,3.0588,1.1723,193
295564,Unmatched Game System,2019,1.9333,1.1722,2193
2667,What Were You Thinking?,1998,1.2,1.1714,257
25537,Trötofant,2005,1.0,1.1667,148
21358,Savage Worlds,2003,2.9474,1.1657,173
