game_id,game name,release year,bgg_weight,residual,n_obs
2921,The Game of Life,1960,1.1709,-1.9504,12829
181,Risk,1959,2.06,-1.6727,34214
5894,Twister,1966,1.0881,-1.5248,5165
1258,Phase 10,1982,1.2495,-1.3410,10659
1927,Munchkin,2001,1.8183,-1.3074,47483
3699,Killer Bunnies and the Quest for the Magic Carrot,2002,1.8806,-1.3024,5646
2719,Connect Four,1974,1.1775,-1.1927,9385
258,Fluxx,1997,1.3874,-1.1740,17494
98,Axis & Allies,1981,3.0337,-1.1670,10313
10093,Axis & Allies,2004,3.2219,-1.1281,5682
2952,Trivial Pursuit: Genus Edition,1981,1.6368,-1.1060,8058
4143,Guess Who?,1979,1.0893,-1.0499,6641
50381,Cards Against Humanity,2009,1.1712,-1.0133,27495
131835,Boss Monster: The Dungeon Building Card Game,2013,1.8466,-0.9862,16436
103343,A Game of Thrones: The Board Game (Second Edition),2011,3.7363,-0.9594,33088
172225,Exploding Kittens,2015,1.0789,-0.9527,34432
2392,Mastermind,1971,1.78,-0.9474,7805
2471,Zombies!!!,2001,1.612,-0.9162,14226
192457,Cry Havoc,2016,3.2972,-0.8794,6830
2452,Jenga,1983,1.1,-0.8736,15701
27710,Catan Dice Game,2007,1.229,-0.8621,6605
175324,Fog of Love,2017,2.247,-0.8534,7943
234190,Unstable Unicorns,2017,1.4749,-0.8507,9314
17223,World of Warcraft: The Boardgame,2005,3.5151,-0.8398,5491
29387,Zombie Fluxx,2007,1.434,-0.8373,6522
291572,Oath,2021,4.1241,-0.8371,7617
1829,Risk 2210 A.D.,2001,2.7171,-0.8280,6709
297978,Mariposas,2020,2.2024,-0.8121,5224
74,Apples to Apples,1999,1.1524,-0.7609,18815
6472,A Game of Thrones,2003,3.4497,-0.7322,10216
2223,UNO,1971,1.0995,-0.7262,29272
3955,BANG!,2002,1.6323,-0.7237,31395
296912,Fort,2020,2.4456,-0.7156,10427
15987,Arkham Horror,2005,3.586,-0.7122,36619
138788,Dungeon Roll,2013,1.3306,-0.7042,8195
39953,A Game of Thrones: The Card Game,2008,3.2563,-0.7023,6104
232918,Fallout,2017,3.0067,-0.6967,7609
244536,Tiny Epic Zombies,2018,2.4962,-0.6944,5473
299252,Here to Slay,2020,1.6942,-0.6922,6478
2593,Pass the Pigs,1977,1.0668,-0.6835,6541
283355,Dune,2019,3.9769,-0.6808,8729
1269,Skip-Bo,1967,1.1901,-0.6537,8725
350184,Earth,2023,2.9133,-0.6402,16420
237182,Root,2018,3.8421,-0.6317,51635
148951,Tiny Epic Kingdoms,2014,2.1097,-0.6317,7708
27627,Talisman: Revised 4th Edition,2007,2.1712,-0.6244,14505
257501,KeyForge: Call of the Archons,2018,2.4872,-0.6216,11104
205896,Rising Sun,2018,3.2993,-0.6140,20895
329465,Red Rising,2021,2.31,-0.6094,8289
171233,The Big Book of Madness,2015,2.6923,-0.6078,6826
25071,Munchkin Cthulhu,2007,1.7222,-0.6052,5290
172242,Exploding Kittens: NSFW Deck,2015,1.0823,-0.5956,9725
253664,Taco Cat Goat Cheese Pizza,2018,1.0329,-0.5893,6369
