spec,weighting,target,n_games,n_features,r2_in,rmse_in,mae_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,beta_logn,beta_logn_fold_sd,beta_weight,beta_weight_fold_sd,corr_resid_logn,corr_cvresid_logn,spearman_resid_logn,max_abs_bandmean_resid
Q0_linear,ols,adj,16549,3,0.19654843001587974,0.7813368130956209,0.6009051250156147,0.19527419602776427,0.008612049700465675,0.7816385297927643,0.006524580138658016,0.2979473808097034,0.006459602654943996,,,1.0903071478850196e-15,0.00010644174513516041,0.03770186076481215,0.30466831731182015
Q0_linear,wls_n,adj,16549,3,0.18410640534534717,0.7873633522941189,0.6007579624729961,0.18264705699454784,0.013097194423350424,0.7877073476668692,0.004994783906013894,0.44147903103904895,0.007083343391600869,,,-0.11179461661796487,-0.11156773178447746,-0.06789946154609211,0.4300206586280488
Q0_flex_year,ols,adj,16549,5,0.2951917183772862,0.7318025764669458,0.5548495766168091,0.2940338424259427,0.006715647884477847,0.7321255270316231,0.007693331561676151,0.43754011120442815,0.005123027163086649,,,1.2805046592985004e-13,8.544911032743234e-05,0.030998438408791473,0.1483316401593543
Q0_flex_year,wls_n,adj,16549,5,0.2707710330674127,0.7443726209066248,0.5646573077051974,0.2689795051499987,0.013144744179454975,0.7449438528938528,0.006121657076915681,0.4910217041373688,0.007832603053082436,,,-0.080408946611918,-0.08041953936166864,-0.04601791130128336,0.24671873713488054
Q0_flex_year,gls_eff,adj,16549,5,0.2947261145568355,0.7320442548285699,0.554193612843315,0.293587770466336,0.00679598846666554,0.7323532468563597,0.007392357625801556,0.45793592867777305,,,,-0.02169222881490032,-0.021620509881829248,0.010682715559503004,0.15615614652107407
Q0_flex_bands,ols,adj,16549,16,0.28171866065212636,0.7387640046649339,0.5622911861719643,0.2797796530876052,0.007895909101490208,0.7394687822644587,0.007225118148532453,,,,,-0.013435211496581789,-0.013586622777409907,0.014145617588593399,1.3671603531812642e-14
Q0_flex_bands,wls_n,adj,16549,16,0.26092778013617446,0.7493796134750896,0.5724036565302594,0.2580774811934133,0.011915468369354528,0.7504849345862024,0.0054689038030284265,,,,,-0.04344319823467547,-0.043836949847555366,-0.017845124985539484,0.12762051348999903
Q1_core,ols,adj,16549,6,0.5400197509803197,0.5911912899499034,0.43995618798146063,0.5395207923525956,0.007317513335381285,0.5913355473921188,0.011115379861796105,0.3228778665865447,0.005759722759103104,0.5468710558143002,0.0014379913624543597,-3.685278808957947e-13,4.446910449800131e-05,0.017521608692466165,0.14701298208147573
Q1_core,wls_n,adj,16549,6,0.5165163966066629,0.6061070143825233,0.4478950100447365,0.5155753963905408,0.005418314725619583,0.6064887043300107,0.008601412903699654,0.41207648492571,0.008574007381792745,0.4454588785900892,0.0053621677026931425,-0.10822905207039303,-0.10811642804699077,-0.08670016685660797,0.28899810998287395
Q1_core,gls_eff,adj,16549,6,0.5396517502652782,0.5914277297987585,0.43962204424962026,0.5391555477934046,0.007098422363560126,0.5915666900317079,0.010816562659215505,0.34119457666008773,,0.5465843449663282,,-0.023937162127941645,-0.023919262390879787,-0.005751122824582599,0.1618415185716756
