game_id,game name,release year,bgg_weight,residual,n_obs
153016,Telestrations: 12 Player Party Pack,2011,1.0577,1.4807,3140
2251,Strat-O-Matic Baseball,1962,2.3909,1.3692,1071
156546,Monikers,2015,1.09,1.2926,6607
295564,Unmatched Game System,2019,1.9333,1.1722,2193
1353,Time's Up!,1999,1.2012,1.1459,5962
225482,Seas of Strife,2015,1.3091,1.0838,1743
294693,Nokosu Dice,2016,2.0698,1.0615,1222
16747,Tumblin' Dice,2004,1.0492,1.0615,4786
138704,Northern Pacific,2013,1.4516,1.0549,1083
384,TurfMaster,1998,1.94,1.0506,1030
22348,Duplik,2005,1.2087,1.0377,2293
18833,Lord of the Rings: The Confrontation,2005,2.1934,1.0317,6420
284777,Unmatched: Jurassic Park – InGen vs Raptors,2020,2.0556,1.0117,2488
175307,Love Letter: Adventure Time,2015,1.098,0.9909,1829
371433,Terrorscape,2023,2.2708,0.9882,1384
939,Star Wars: The Queen's Gambit,2000,2.475,0.9862,2222
17419,CATAN 3D Collector's Edition,2005,2.6446,0.9780,1029
364766,MicroMacro: Crime City – All In,2022,1.0732,0.9667,1234
121288,Dixit: Journey,2012,1.2556,0.9629,4550
278292,Anachrony: Infinity Box,2020,4.0,0.9519,1489
355997,Thunder Road: Vendetta – Maximum Chrome,2023,2.2787,0.9498,1069
552,Bus,1999,3.0429,0.9486,4136
631,Daytona 500,1990,1.7788,0.9452,1007
27976,Heroscape Master Set: Swarm of the Marro,2007,2.265,0.9382,2332
336755,King of Tokyo: Monster Box,2021,1.4286,0.9346,1226
